009casino.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. 0LK0C9TFRvr9KuaAaU8u0tEHqzuOrRQQglue/lECMtVPMbr3Wbf4m7PQI2+2ZuCL/nB+COhAwnL9athH0A2Sww==
00mm.mom.	3600	in	ns	ns1cnb.name.com.
00mm.mom.	3600	in	ns	ns2knz.name.com.
00mm.mom.	3600	in	ns	ns3cna.name.com.
00mm.mom.	3600	in	ns	ns4jnz.name.com.
00mm.mom.	900	in	nsec	01.mom. NS RRSIG NSEC
00mm.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. AEVBlNZKqIEu2gJzHkpq3shWcDhZsNqEc5DCIva5ttDgoqsEL0dYLXaHXk4/AohsYK9D3RiV3wJTbrDSRiT3ZQ==
01.mom.	3600	in	ns	ns1.dyna-ns.net.
01.mom.	3600	in	ns	ns2.dyna-ns.net.
01.mom.	900	in	nsec	0101.mom. NS RRSIG NSEC
01.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. xJw9NiBlHw4BcMuRSBdNSqB8xDjL76S5gJ3P/JZ/bNqfnl+CpV4OXOxcBfPtzUBMSQ580LoTPq+x5l2gITbuiQ==
0101.mom.	3600	in	ns	ns1.netsto.net.
0101.mom.	3600	in	ns	ns2.netsto.net.
0101.mom.	900	in	nsec	0123.mom. NS RRSIG NSEC
0101.mom.	900	in	rrsig	NSEC 13 2 900 20260221083310 20260122070310 34859 mom. xiFCNiJdPyJuGxAjjm+TzX6WBuMtdyE85QV60f+PrC/PEthjuzVQLvK8dbwRQ224yUWmrbBkWDi8hYtJgWsRrg==
0123.mom.	3600	in	ns	bowen.ns.cloudflare.com.
0123.mom.	3600	in	ns	itzel.ns.cloudflare.com.
0123.mom.	900	in	nsec	0123moviestv.mom. NS RRSIG NSEC
0123.mom.	900	in	rrsig	NSEC 13 2 900 20260221083310 20260122070310 34859 mom. RfW21mZQGXTG3A3crjz3WYaYYAMSuzwGbpBMNwXxwSBgPwEjeys+8Y4x97EzIWErIXwrHUDOBhiyTpICP60gmA==
0123moviestv.mom.	3600	in	ns	darl.ns.cloudflare.com.
0123moviestv.mom.	3600	in	ns	zainab.ns.cloudflare.com.
0123moviestv.mom.	900	in	nsec	012bet.mom. NS RRSIG NSEC
0123moviestv.mom.	900	in	rrsig	NSEC 13 2 900 20260129000827 20251229223827 34859 mom. xC767k+vV0BfgGmr5yYyMnoH6PF9mxmFZU/VZt8jpNN6aZLyirl7JbY2O5PZahbDGeiBKfTjcQPeotJbwvP1EA==
012bet.mom.	3600	in	ns	chance.ns.cloudflare.com.
012bet.mom.	3600	in	ns	dawn.ns.cloudflare.com.
012bet.mom.	900	in	nsec	013bet.mom. NS RRSIG NSEC
012bet.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. Pe63Q5TlY4moiLGI0kbX99BCm8MuP63bWzP8Lw3lkG5JR7hhYipJySGF/Kxxiq5klKbeJmhlUT0kxcEUcvKsdA==
013bet.mom.	3600	in	ns	chance.ns.cloudflare.com.
013bet.mom.	3600	in	ns	dawn.ns.cloudflare.com.
013bet.mom.	900	in	nsec	013bet3.mom. NS RRSIG NSEC
013bet.mom.	900	in	rrsig	NSEC 13 2 900 20260216145942 20260117132942 34859 mom. XrvKFiJ5pJwPbTsswyrZ0n3juwIQFvXaRqKTCxQfUvtFmjECTB1e9EzSz6uLgT0LWL1fCSN6lWRNqL7v+dCQUg==
013bet3.mom.	3600	in	ns	chance.ns.cloudflare.com.
013bet3.mom.	3600	in	ns	dawn.ns.cloudflare.com.
013bet3.mom.	900	in	nsec	017bet.mom. NS RRSIG NSEC
013bet3.mom.	900	in	rrsig	NSEC 13 2 900 20260204230629 20260105213629 34859 mom. v8Cg5pCAD+dUNIiZuFvA/yqDoQVIiTQ/TkCBjB5UaMpW26Z/HwPgOQKPk+eilmrqVjI5II4ci+Cicyf9RFQe4w==
