nexus.	21600	in	soa	ns-tld1.charlestonroadregistry.com. cloud-dns-hostmaster.google.com. 2026010509 21600 3600 259200 900
04mm4cn1fjco4tuer9og8bmcqnqqt1k1.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. IgUuM9CqEieow+VGvt1nJKGB6h/Jb8qDYtaZQ8ZiViOh4oSZh1s7sOA7vIYfoJ7fyKnpVnckb98pJoqIGRvcCgazcjjPNw/8HXNBl6ajQalRcLwBV0X/lzL56uamyaS2nuIUTKC387RXGG5A+CaQWNZoUEBg9rnGvIsgdr1vHKg=
0500oee3mmlv49sicbedrmvohmumtlrn.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 053POBVQP3IQ3ES977L43P7PI4U2R1LG NS
0500oee3mmlv49sicbedrmvohmumtlrn.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. HWPf+JHFBxwlhm3G4vECpDQYdN4ziuye+JGpDV0qJOMiu3gZdXWM7CWU48HLbiZFb75HOhfqu27eYcJajHZKprTKa+7fDeSjk/Zc4M80vD0hGCrQ++3x/F2y1vT6ez6NHrqu6jIrbjbgi94ormuIc9HKADXOn/ds1gqY83AtPiQ=
053pobvqp3iq3es977l43p7pi4u2r1lg.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 05RLHSMA5RRV1JOV5FIMSUSARSFT5DKB NS
053pobvqp3iq3es977l43p7pi4u2r1lg.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. JtQUcuPOpHhmfk76yRJMRYICkDsh+3UbZ9rDat6SeOR9Q3rSXXbGhOqLtDIOYlDafqv3Hbx2zmam1fPvkuvZWOxCIbeJloMUcoIS8HlffRymQea1jxxutv94XZGoquTgY4FLXRNyWaKmJ4xdYIh3GE20qHCfmW0en4qiuZ+CDwQ=
05rlhsma5rrv1jov5fimsusarsft5dkb.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 05V3N7I1SQOB6GM58HL5VKUMBEKJNOA4 NS
05rlhsma5rrv1jov5fimsusarsft5dkb.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. JoWD/qmO1tgy4z4R9DPAVmcKvEwI69/iIt99E/taomqOIvNFG4IdkHPqB79U9WKeruUGZ2GFdXYioiluA2P0kws1fSxwvhOIRNvnCmDUO2oGwrhRmz9sHPFOaVvg+8VB/e5DIu4gO66WxtO5uvwPwVtHEpfW2gWQGRk13NjOyPo=
05v3n7i1sqob6gm58hl5vkumbekjnoa4.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 0655RH6KII13L896LMO16HG3MNMDJBJA NS
05v3n7i1sqob6gm58hl5vkumbekjnoa4.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. Z9VjYnngP6uOx+7g+7CuEzGP5MzJZ3y0r5gdA6/zr2xiLzqKBU373c+A+yCTTPn58yaCsFmMrpIeMyQ6yeYtbMI/iLj8vqOyaZAkLhf/r7dKgLiAt0IKvN9yshudVHvgUsxlQLA+dYanU2Kp0jBfHsVrCE6b57HkDK+Kq9qt4oY=
0655rh6kii13l896lmo16hg3mnmdjbja.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 0682OKLS7ANIBOII08ONOPSMPRCHR63N NS
0655rh6kii13l896lmo16hg3mnmdjbja.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. RJY7faGn8InIOdcalKKkbPTDQbGKc9gWPKBw9ut3JgxdR1pMx/b/dRjfg+0/KnrlDKezTZBpp8bQ3JaZkk98W6Ps+XNXrDOtbwDOM2D7EWYUJmKP4mcZQJ+obpO+crWHg6XOy8f8BTfW7ZhY7GpJIMdS64YfpgK0coJHY/mF0+0=
0682okls7aniboii08onopsmprchr63n.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 078T93BSRUMBL9LBFD479NBJ8RUSLHF2 NS DS RRSIG
0682okls7aniboii08onopsmprchr63n.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. GnPyHrjug3VeAZ+oEEbGlNrGn/kgz46h/K4Pqz0LTHNVppp3hAo4D6amfPmZHj6j+fS2ULzHzM6Py1c+N5jcbYf6DesLNXjpQLV82im4WC3O4gM+QH31NSSGsfebDqQ6LBce074p2Su+uhgL5JqrXjiYqV01TCbBNTGKverIQf4=
078t93bsrumbl9lbfd479nbj8ruslhf2.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 07KJC8JR03TNTLI2SFDILFQ13V40T2JU NS
078t93bsrumbl9lbfd479nbj8ruslhf2.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. hSqLhV1zDUjPisRJ7p4HHFL39vPIGoFhwjiqVIa++oMcD+5uSRYVWOZcI7zlvG6F9hKrvMUMbN9Qu3EXsIOoHgnk+PNw7/GVS95JOn0nB/MAloj4TAKN2GMHmST5t+aLD/tjcSM9YGfrIFTaPeIrDygdEltlGZEZ3GfW1WRAti8=
07kjc8jr03tntli2sfdilfq13v40t2ju.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 084MV4MQ3C1U2TA30P4004NRKI05PTSK NS
07kjc8jr03tntli2sfdilfq13v40t2ju.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. JeFplczJpm2CMcoQcVrQWtkAaCd7I6H6GR5Kv86TI1pqLkuyPIAgnQP+mDtPFSD0L4TLM9mRyh+wPUMJn7cVUqulDdqf1pZnm48mnsWyZsohAOgeupOjH8KkU449qs0zfJ1yPB4MAkU2UESGo2wZ+FqytTMSJsp1c8TxNhnxO1I=
084mv4mq3c1u2ta30p4004nrki05ptsk.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 09FBIGEQMGGLA17F6UVELR0L0EP7U4DT NS
084mv4mq3c1u2ta30p4004nrki05ptsk.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. JC8/T3kxfoiZmkmRdaaJ7UYKOKQpWc+SI/CrqgvYRszxtCi33UqDe8TllavpAtUNqpTcx0LenvgfmWgdQ8Qbk4SVXL1CmwhEX1FFVAPTMfhYCbWJmnyZwpUYvVfR6dfC16dwHc5fD9eDvgcGegAqff8ewI4NRI2jxRXDnaYa/B4=
09fbigeqmggla17f6uvelr0l0ep7u4dt.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 09S6CUKR2U492O6LFNJ8AMTLA9SH76PT NS
09fbigeqmggla17f6uvelr0l0ep7u4dt.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. CtdRWKIrJdvBRcYhMNRvxzOMeSssjWYn/22nYCsmFKqRQ5KU10RV5f+prQrM9EPTsTidn4SYbtNKkTNTVB+v/U6DfrE/DGpdw7OB8Wxf5luSchWqvRSLaPRZvC0Z03ihZo2uZfKAcUBweJuwbzcOOrbRMVhn4mvvDgTvgrbIaiY=
09s6cukr2u492o6lfnj8amtla9sh76pt.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 09S97CPGH97IEDTL64JI8DQQR1OT1K8Q NS
09s6cukr2u492o6lfnj8amtla9sh76pt.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. FXHiYYkrKJ/mdKCpGkjUmwbcz1XiDWRHQdot6DI6WVOQgs6yid0WwNpZdvu9HRjC5Sb51AGIjM268ltDvhd8WZtsWFo9gSImw0yl4JYGVfy9yRNZSJdAmcuWi3O7zbBMp9y7nOqlDnKgA6/R13X1iF0xF7mdT8tAkwwc1uqnHtA=
09s97cpgh97iedtl64ji8dqqr1ot1k8q.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 09VTD8P94GJ16HQIR6ERHTIDS6402Q61 NS
09s97cpgh97iedtl64ji8dqqr1ot1k8q.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. IyIl+HYlh+1Smi1hsmIFQswOZQ285S9as6P8r/B2mPcLIVqmFH54M97qkaKP0Sn5X2Yr43S3kp+KuDOCVz35ITzZYtjh7LGETCNQa3VmjE+UgQuZzM2jTPT/foClgw0RlmY0UBDBwBjxRseUR0thnoSDLukgp4/RcdWLbsKhMcw=
09vtd8p94gj16hqir6erhtids6402q61.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 09VTLCPUFFDL5LHRFL9TVSPMK1HQJV3K NS DS RRSIG
09vtd8p94gj16hqir6erhtids6402q61.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. ZvANBfJeNd8cMHeIjWuBgMu9Bd6hpHKLICrVChkgbZOyTiSR+MeNvdt49FZqdefGFdQyCRDHED70lYvfPyKg7rMMiB3dS4wUTt87THBiKJvpaPjilcxuLEZc3BnY0MG4i21ZIo/iEBoHnz1+KAMTFjFJi5t9PJzWIFMNdNTPU8k=
09vtlcpuffdl5lhrfl9tvspmk1hqjv3k.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 0A2GRJ34QA3HVU7O0ISR9BRUSLES8HJ8 NS
09vtlcpuffdl5lhrfl9tvspmk1hqjv3k.nexus.	900	in	rrsig	NSEC3 8 2 900 20260126072134 20260104072134 65268 nexus. BOOfZ9uZrP3ubJ0ubuMhLhFqeUra6pgpXb6Kd70A/7Dy8KJ56RcUJtjLLfA9iUqDY2AtAhiik3qKPkoMt++TP8hXQ1RNbez8RLhTEoRVzXhQ0g2MV7lGoSuoTStFNS3E8eNur6hWnqP1oaD8uV+QQ0tFgjbLrB252rxSbvz1ChE=
0a2grj34qa3hvu7o0isr9brusles8hj8.nexus.	900	in	nsec3	1 0 1 1ECB6C8E1E197EE5 0ABG2GQNEGMIA7MKLGQQ2J3VENVS68TV NS
