0161ic2jqubh0crhqud452jqctffs0io.beer.	900	in	rrsig	NSEC3 8 2 900 20250918143854 20250904140149 21996 beer. sdhDBZkhOXE21jO8tQwBeok1Ii5zApBngObfhMRQG00/KQYdWXJihUz7+Vz00vJqrzAmJ22gl8idcolXSEULNAk5kDrI97KxuN+0WLAS4KgHvjz9rQzpvD/z1y/mW8RO5b3fhx43z168j4Dx3DCuKAybqI0S5JAYg6Gzlck0aVHJGKf+PxD9DhicDSBixopykmaNViGsBrilQRitbt8sBQ==
0163094773291.beer.	3600	in	ds	3435 13 2 B3ED3F993AC97F97FC9A6782B29DE58B1A42D7DF8683A2D72AC2C4D1EE4352A3
0163094773291.beer.	3600	in	ns	launch1.spaceship.net.
0163094773291.beer.	3600	in	ns	launch2.spaceship.net.
0163094773291.beer.	3600	in	rrsig	DS 8 2 3600 20250918131335 20250904122507 21996 beer. rybtzQDy45y0diN3WkFRtwMS86m4Cv2/Qa8LLF/HEP2YIb/+wYVHeH5KD6TvVkKZwCZ5UAekgpFqG5EGWX6xntp34DpcGYgKcCwGEvqyg8Ga3whQiiuz9JBuWyxwVmtD3v0/iDln198dSkFtizpGWoreay7yC26hZ5Gc9q1XyyOtC3B5UHa9BJB0OWp0Z1xoQbD3QSrlGsm1wCSkAMQk5w==
0165344132728.beer.	3600	in	ds	16249 13 2 E2EDBB52BED0D864E82B114A604F6393F982E41AC112B202D7C46AC2FE47DBCE
0165344132728.beer.	3600	in	ns	launch1.spaceship.net.
0165344132728.beer.	3600	in	ns	launch2.spaceship.net.
0165344132728.beer.	3600	in	rrsig	DS 8 2 3600 20250915015101 20250901014808 21996 beer. aOlzVLIKvcKVQLurN83JLs8ScYrMGxMGBShdx0sZeIiagSgik4qR3NX3S345PzAODi7AdZszdyMH5nJlb221sSn69p63JXlaj6HIPwPb88luSJEl8jHJrGKGAWid6avOOk/vRG0ZHiwm/GPBYSZab0LSmveBbJQwMkxvwSIjo6YjI4kYnu2CBDJSdpDzYQjbi6yLn5LL8CZWG0NLRC00OA==
0167729302698.beer.	3600	in	ds	51811 13 2 1500249607FFD5D0189B32087F4B61E0A16939F8D8845262EAB1C966BFF6E7AB
0167729302698.beer.	3600	in	ns	launch1.spaceship.net.
0167729302698.beer.	3600	in	ns	launch2.spaceship.net.
0167729302698.beer.	3600	in	rrsig	DS 8 2 3600 20250918131335 20250904122507 21996 beer. N1fSmZGq/InRGnNbRNx1efuVrYb0elFgblk+GtWKwdV3k+3/mslUrR1YsOuU3MfqUGW3VFvckxc/2uCp9DIEwVnQzEB3ouLWw5Avw2K+jZVpKaJTeBSP5PReIPfjtph7O9pxyJQrNz+bjOK8Sh3nXIFzwNHx2ZXK/8yaie/HcXXiXmIlEecV1eq4fOfT25N3KDMoJTlWLQ622V4TH9t0kg==
0170797293.beer.	3600	in	ds	56912 13 2 5314CCB344D2512E1442D80D7FA2C82595FFD8F3C3B3D67E35874D82D9BB4C3F
0170797293.beer.	3600	in	ns	launch1.spaceship.net.
0170797293.beer.	3600	in	ns	launch2.spaceship.net.
0170797293.beer.	3600	in	rrsig	DS 8 2 3600 20250913063354 20250830060113 21996 beer. wucDwFiWNNXryWrQ4e2gqUFGcYZ9nlntgD9E/qw9Vohvw0i3cF9p0AVVkbSNp0gJiBR9f41vkDce11ySgaHSJgfqUQWCmUjtS4+IpfeveiocJ0AUekMJhsRFGZmHwrxanZABIIZjmkm8++IqNjhCMMxmouv2X9VDT+OUPokOxUCoURd0AXPjl1OytpetLKGLnCgsedbFy88KVFQvHLsqcA==
01721964.beer.	3600	in	ds	25283 13 2 7265C299BC57B900A043F0D2F5B4D483D549D8311C17EDB9EAEF618792891F20
01721964.beer.	3600	in	ns	launch1.spaceship.net.
01721964.beer.	3600	in	ns	launch2.spaceship.net.
01721964.beer.	3600	in	rrsig	DS 8 2 3600 20250913103439 20250830094846 21996 beer. Nujvm89+mHN2ahLoHmWN9mXz8BibL/7094x5U7iPgMwLSCLKfBcyzsakzfn8KKa4T5KueppXebsH2PVfUh/FRoKlUiKDo2sF6R/8iCXhmVzkk0Tnt7tWjXvJMGs7qOAbohIUyMbPGpxUHvFgsu98rS5HGC78TXuocwJPsf3WQELPHR66P7mK7elWBpR/CSvbvmDgIf/IhP1Yxcbh/gMDjw==
0183964503.beer.	3600	in	ds	6825 13 2 7A510ED84AB01EA85CA2D58B0CF7D1F26F266E1BDB7FDF34755D7C38222CD752
0183964503.beer.	3600	in	ns	launch1.spaceship.net.
0183964503.beer.	3600	in	ns	launch2.spaceship.net.
0183964503.beer.	3600	in	rrsig	DS 8 2 3600 20250913154706 20250830154134 21996 beer. yvuyiK9d3+5tzSUpfgshsQmCi4sJ0qV+7he91vI1A/wEy/oLnRDxN349ml1NaoTXPFohPWZqRBVkuK8CL9km1ZM73yt9PeN2Rcz9mwro4ymeESVtOHx6L2yav7xUh507c5KN7Y9mtKpkLQyGwbtwQBd7ZTSVVWas5eNhYmzsu6g50Uh83HTltVArrYLUZyiEo49YcvzWPzj7mhcUDUUIMg==
01848015.beer.	3600	in	ds	46557 13 2 D3D742976974707555D86FB651ABEDA7D5D0FD60C915D658121841E7DD3C5546
01848015.beer.	3600	in	ns	launch1.spaceship.net.
01848015.beer.	3600	in	ns	launch2.spaceship.net.
01848015.beer.	3600	in	rrsig	DS 8 2 3600 20250913103439 20250830094846 21996 beer. mToUaS9rGsiryght3ydy1tZox7wWBCqbeECZkapaWlJiVmTR+4JzewRoIedx0GknhJr3tippKPzzlM8bPgdQBmPPNlnsDAYlJ/1PQ32EwrPIizUsTjiXZWJOkOyR5U9RmqGFPDspDOMstg6iaFOWAoeFLU8Q3DrYTfDUPg3XgLHz2T+Ac4MscStKAbDutKQcBcYLctEOgqi5oedsc9BC2g==
01a30astife9a7c24bdd6av8ec54kt7t.beer.	900	in	nsec3	1 1 0 - 01DNGON8Q5GG5CF8JVDMQETMTEO8KISM NS DS RRSIG
