41367.xn--p1acf.	3600	in	ns	n1.xundns.com.
41367.xn--p1acf.	3600	in	ns	n2.xundns.com.
425599.xn--p1acf.	3600	in	ns	a.dnspod.com.
425599.xn--p1acf.	3600	in	ns	b.dnspod.com.
425599.xn--p1acf.	3600	in	ns	c.dnspod.com.
43185.xn--p1acf.	3600	in	ns	n1.xundns.com.
43185.xn--p1acf.	3600	in	ns	n2.xundns.com.
43615.xn--p1acf.	3600	in	ns	n1.xundns.com.
43615.xn--p1acf.	3600	in	ns	n2.xundns.com.
43962.xn--p1acf.	3600	in	ns	n1.xundns.com.
43962.xn--p1acf.	3600	in	ns	n2.xundns.com.
4444.xn--p1acf.	3600	in	ns	ns1.sprinthost.ru.
4444.xn--p1acf.	3600	in	ns	ns2.sprinthost.ru.
4444.xn--p1acf.	3600	in	ns	ns3.sprinthost.net.
4444.xn--p1acf.	3600	in	ns	ns4.sprinthost.net.
4554.xn--p1acf.	3600	in	ns	ns3.nic.ru.
4554.xn--p1acf.	3600	in	ns	ns4.nic.ru.
4554.xn--p1acf.	3600	in	ns	ns8.nic.ru.
45619.xn--p1acf.	3600	in	ns	n1.xundns.com.
45619.xn--p1acf.	3600	in	ns	n2.xundns.com.
457169.xn--p1acf.	3600	in	ns	n1.xundns.com.
457169.xn--p1acf.	3600	in	ns	n2.xundns.com.
46218.xn--p1acf.	3600	in	ns	n1.xundns.com.
46218.xn--p1acf.	3600	in	ns	n2.xundns.com.
47938.xn--p1acf.	3600	in	ns	n1.xundns.com.
47938.xn--p1acf.	3600	in	ns	n2.xundns.com.
48396.xn--p1acf.	3600	in	ns	n1.xundns.com.
48396.xn--p1acf.	3600	in	ns	n2.xundns.com.
484701.xn--p1acf.	3600	in	ns	a.dnspod.com.
484701.xn--p1acf.	3600	in	ns	b.dnspod.com.
484701.xn--p1acf.	3600	in	ns	c.dnspod.com.
486666.xn--p1acf.	3600	in	ns	ns1.prime-gr.ru.
486666.xn--p1acf.	3600	in	ns	ns2.prime-gr.ru.
502502.xn--p1acf.	3600	in	ns	statuspage1.nic.ru.
502502.xn--p1acf.	3600	in	ns	statuspage2.nic.ru.
50472.xn--p1acf.	3600	in	ns	n1.xundns.com.
50472.xn--p1acf.	3600	in	ns	n2.xundns.com.
50637.xn--p1acf.	3600	in	ns	n1.xundns.com.
50637.xn--p1acf.	3600	in	ns	n2.xundns.com.
51098.xn--p1acf.	3600	in	ns	n1.xundns.com.
51098.xn--p1acf.	3600	in	ns	n2.xundns.com.
511333.xn--p1acf.	3600	in	ns	a.dnspod.com.
511333.xn--p1acf.	3600	in	ns	b.dnspod.com.
511333.xn--p1acf.	3600	in	ns	c.dnspod.com.
51346.xn--p1acf.	3600	in	ns	n1.xundns.com.
51346.xn--p1acf.	3600	in	ns	n2.xundns.com.
513762.xn--p1acf.	3600	in	ns	ns1.dyna-ns.net.
513762.xn--p1acf.	3600	in	ns	ns2.dyna-ns.net.
513763.xn--p1acf.	3600	in	ns	ns1.dyna-ns.net.
513763.xn--p1acf.	3600	in	ns	ns2.dyna-ns.net.
52196.xn--p1acf.	3600	in	ns	n1.xundns.com.
52196.xn--p1acf.	3600	in	ns	n2.xundns.com.
525278.xn--p1acf.	3600	in	ns	a.dnspod.com.
525278.xn--p1acf.	3600	in	ns	b.dnspod.com.
525278.xn--p1acf.	3600	in	ns	c.dnspod.com.
53253.xn--p1acf.	3600	in	ns	a.dnspod.com.
53253.xn--p1acf.	3600	in	ns	b.dnspod.com.
53253.xn--p1acf.	3600	in	ns	c.dnspod.com.
53412.xn--p1acf.	3600	in	ns	n1.xundns.com.
53412.xn--p1acf.	3600	in	ns	n2.xundns.com.
53476.xn--p1acf.	3600	in	ns	n1.xundns.com.
53476.xn--p1acf.	3600	in	ns	n2.xundns.com.
53491.xn--p1acf.	3600	in	ns	n1.xundns.com.
53491.xn--p1acf.	3600	in	ns	n2.xundns.com.
54231.xn--p1acf.	3600	in	ns	n1.xundns.com.
54231.xn--p1acf.	3600	in	ns	n2.xundns.com.
550151.xn--p1acf.	3600	in	ns	a.dnspod.com.
550151.xn--p1acf.	3600	in	ns	b.dnspod.com.
550151.xn--p1acf.	3600	in	ns	c.dnspod.com.
555.xn--p1acf.	3600	in	ns	ns1.hosting.reg.ru.
555.xn--p1acf.	3600	in	ns	ns2.hosting.reg.ru.
5551111.xn--p1acf.	3600	in	ns	ns1.ihc.ru.
5551111.xn--p1acf.	3600	in	ns	ns2.ihc.ru.
55555.xn--p1acf.	3600	in	ns	ns1.nameself.com.
55555.xn--p1acf.	3600	in	ns	ns2.nameself.com.
555555.xn--p1acf.	3600	in	ns	ns1.kaluga.org.
555555.xn--p1acf.	3600	in	ns	ns2.kaluga.org.
56218.xn--p1acf.	3600	in	ns	verify1.registrar.eu.
56218.xn--p1acf.	3600	in	ns	verify2.registrar.eu.
56218.xn--p1acf.	3600	in	ns	verify3.registrar.eu.
56219.xn--p1acf.	3600	in	ns	verify1.registrar.eu.
56219.xn--p1acf.	3600	in	ns	verify2.registrar.eu.
56219.xn--p1acf.	3600	in	ns	verify3.registrar.eu.
56220.xn--p1acf.	3600	in	ns	verify1.registrar.eu.
56220.xn--p1acf.	3600	in	ns	verify2.registrar.eu.
56220.xn--p1acf.	3600	in	ns	verify3.registrar.eu.
56221.xn--p1acf.	3600	in	ns	verify1.registrar.eu.
56221.xn--p1acf.	3600	in	ns	verify2.registrar.eu.
56221.xn--p1acf.	3600	in	ns	verify3.registrar.eu.
56222.xn--p1acf.	3600	in	ns	verify1.registrar.eu.
56222.xn--p1acf.	3600	in	ns	verify2.registrar.eu.
56222.xn--p1acf.	3600	in	ns	verify3.registrar.eu.
56223.xn--p1acf.	3600	in	ns	verify1.registrar.eu.
56223.xn--p1acf.	3600	in	ns	verify2.registrar.eu.
56223.xn--p1acf.	3600	in	ns	verify3.registrar.eu.
56224.xn--p1acf.	3600	in	ns	verify1.registrar.eu.
56224.xn--p1acf.	3600	in	ns	verify2.registrar.eu.
56224.xn--p1acf.	3600	in	ns	verify3.registrar.eu.
56225.xn--p1acf.	3600	in	ns	verify1.registrar.eu.
56225.xn--p1acf.	3600	in	ns	verify2.registrar.eu.
56225.xn--p1acf.	3600	in	ns	verify3.registrar.eu.
56226.xn--p1acf.	3600	in	ns	verify1.registrar.eu.
56226.xn--p1acf.	3600	in	ns	verify2.registrar.eu.
56226.xn--p1acf.	3600	in	ns	verify3.registrar.eu.
56227.xn--p1acf.	3600	in	ns	verify1.registrar.eu.
56227.xn--p1acf.	3600	in	ns	verify2.registrar.eu.
56227.xn--p1acf.	3600	in	ns	verify3.registrar.eu.
57139.xn--p1acf.	3600	in	ns	n1.xundns.com.
57139.xn--p1acf.	3600	in	ns	n2.xundns.com.
57241.xn--p1acf.	3600	in	ns	n1.xundns.com.
