06uaun0m7t9ljk350uv5mjkg3fhmkkqj.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917120130 20250910204937 10069 okinawa. MIfW80JsCuhJzR/DRr4RseHsJdkUTtzam8QOYYFC73bsjn3RrGbaNWr4reJU1i5UR6ZOxcGxVlB18EWTg7v6DfkOJF8qnRbsZYu1Jq7gTQ5C9oVpSOrlNFBC9CAdQcvg656Tct9wh09l0tCH9NOR7HNSdZHnfKybNU2GzRvM7Pc=
076li62aj657au2qk7h1erk42hfd7j7a.okinawa.	3600	in	nsec3	1 0 0 - 07EIKS4KCFANVB1G3437GB5B55PLTH23 NS
076li62aj657au2qk7h1erk42hfd7j7a.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918010608 20250910204937 10069 okinawa. L+VoBz9jFStUEz5hAhMMCe+w2p78Q3x0KqPDYi7GJKSLEF0vpybuLq74vUqBelfjPEfyqQFU6sW4MdaeeLM/TVTkJgUggtVzyuvNVB7/CMuXpjOp/Foz9R451vVA7slY5oSPLCo1ghjo9ZlWI/2i4v3WP7jTUbz7BNb75uybFJU=
07eiks4kcfanvb1g3437gb5b55plth23.okinawa.	3600	in	nsec3	1 0 0 - 07I75VEBUV0IM61IJOSR70FJK80QB1E4 NS
07eiks4kcfanvb1g3437gb5b55plth23.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917105803 20250910204937 10069 okinawa. XLCc0kiw/8nMnraXsO2rUQtk4754m7zYR6IMpI7Po228QJMOa5+Bzd63Zx5jT8gQmBe6VpBN3sCq4wQG4j8+kTemANAWEkXmlJWUR8kNpy8NieVr1GizSF34A8Xn4Lo/tKTnEjeHF7q5vO3Np6mHblsfC4QWDGiAJf/sfOmtit0=
07i75vebuv0im61ijosr70fjk80qb1e4.okinawa.	3600	in	nsec3	1 0 0 - 07IIICI1AF7OBO20OAVRDICCHVLPR61C NS
07i75vebuv0im61ijosr70fjk80qb1e4.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918065321 20250910204937 10069 okinawa. TZBhTmkje3lopqRu+U3wvLEb9y2PLm//21/rgvkvNri+RBTJA8FIVO5s1wQfeqU0UPtXRCJoH5D0oKc92OwQ7GoxBHyZKiJZAB1/9zVYB0+My+VI1yge2Oq1v2+Mv/OPMP6FX6VCxzM31zXi6AcEveA70DzVm+QNGValKylOMmc=
07iiici1af7obo20oavrdicchvlpr61c.okinawa.	3600	in	nsec3	1 0 0 - 07NF3T3NJB0HGRNL06IF0GN7VHVDRV3D NS
07iiici1af7obo20oavrdicchvlpr61c.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250917130829 20250910204937 10069 okinawa. j+hHCijQhYADxMwgOIMpFRDfoAC7fygPb61z04zHE6Z3rruti7amAYdmJnJimecAgGomAoGA3DatcyoMcfWsd/lNjaKmMcsK6Vy5UIizr6iRtlVPwvrHAmSDsYoIfG5JKbqrALw582mMG5Wq2B/6VmcBlLMmp9l4or+/XPzWBWw=
07nf3t3njb0hgrnl06if0gn7vhvdrv3d.okinawa.	3600	in	nsec3	1 0 0 - 07STS89MRG9FSHH8D0I1P9MA238BEP2U NS
07nf3t3njb0hgrnl06if0gn7vhvdrv3d.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918084042 20250910204937 10069 okinawa. bkDtDaUBZzODVE47ODIy80wd+krhWstx1NzopMGV2XQenpIlfrtsQ6+2F+gsnL586EGQxSFef6ozAc/HOfJsm0x3JObYL2XOOFlPu2w9zeU6b6jVjPbZ/rdDhoczykazTA3fjM0pRjV59SLOPMCSqaAGegFDbrKoEsp6rUj9k/w=
07sts89mrg9fshh8d0i1p9ma238bep2u.okinawa.	3600	in	nsec3	1 0 0 - 084J65C2DR8SQRO86SMBHH5RU8EQI6QD NS
07sts89mrg9fshh8d0i1p9ma238bep2u.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918094235 20250910204937 10069 okinawa. qU6I+Rda0veSOmTsbvxJRvo1aZIV7pOmei7RkbAc0n9KQQ56sxtY6heqi3KkolEJiDcMZypF78OddPR27XGoVXJFDBS/NC8LM3U5sSkNzHLoiXlkBzeUx/RPhIYIwXmEqdCTmWtiXHkU75aJVsPpL8N5uULQIs5AlMBMGFCjoRc=
084j65c2dr8sqro86smbhh5ru8eqi6qd.okinawa.	3600	in	nsec3	1 0 0 - 085P1UU2NDO4E5G68C569O635OBGJJ6H NS
084j65c2dr8sqro86smbhh5ru8eqi6qd.okinawa.	3600	in	rrsig	NSEC3 8 2 3600 20250918031922 20250910204937 10069 okinawa. q4lQ1BxsAIAVVTtfRNSyAOzD61geH3WCeVdUyxI38HHlcljw8xEFc3sHolTdqu+SEflw82Xbo8IZXxph2/PjJx3hcTcL96iKomKkbeCwChMzsQ6gl2Ai1G0WDkUP+GWxi10yMD5nclJpAxgakxCzCIGMnjo6aIwVdAdLhkWsH6E=
085p1uu2ndo4e5g68c569o635obgjj6h.okinawa.	3600	in	nsec3	1 0 0 - 08EN3308VEJAI6VBU63BOMTLNJ2F495H NS
