88m.condos.	3600	in	ns	ns07.domaincontrol.com.
88m.condos.	3600	in	ns	ns08.domaincontrol.com.
8octavia.condos.	3600	in	ds	29546 8 2 C94C31E6EA7AA4887BE3AC232EC4A311AC772ACFFC2E39DD9404F0B8FAEC1794
8octavia.condos.	3600	in	ns	ns-cloud-b1.googledomains.com.
8octavia.condos.	3600	in	ns	ns-cloud-b2.googledomains.com.
8octavia.condos.	3600	in	ns	ns-cloud-b3.googledomains.com.
8octavia.condos.	3600	in	ns	ns-cloud-b4.googledomains.com.
8octavia.condos.	3600	in	rrsig	DS 8 2 3600 20250930152632 20250909142632 30993 condos. dJ0pNH3R+HS8hGhr2e6DiUbw99aD5s4mvGjXkkKXQG8LoNDVriy5TqcFZYWk4bHJYiU8QBeThQnZ1iSUcHOMivUwxigCc47hxwyoo1SNXLx2dtJbaQq20uTVwhC9RaU74VSoFmHpp1sb/cD98dhrcqyp08fFWMP2YFNCP/CUaLM=
8xbet.condos.	3600	in	ns	adele.ns.cloudflare.com.
8xbet.condos.	3600	in	ns	yahir.ns.cloudflare.com.
904.condos.	3600	in	ns	curitiba.ns.porkbun.com.
904.condos.	3600	in	ns	fortaleza.ns.porkbun.com.
904.condos.	3600	in	ns	maceio.ns.porkbun.com.
904.condos.	3600	in	ns	salvador.ns.porkbun.com.
93ocean.condos.	3600	in	ns	ns13.domaincontrol.com.
93ocean.condos.	3600	in	ns	ns14.domaincontrol.com.
977j1oameukujgnj2q6ptii6mm3ghulf.condos.	3600	in	nsec3	1 1 0 73 9PGCNB59AGOO8FTNP2JAVQ6UASA6VUR4 NS DS RRSIG
977j1oameukujgnj2q6ptii6mm3ghulf.condos.	3600	in	rrsig	NSEC3 8 2 3600 20250930152632 20250909142632 30993 condos. YdCfncdZ7vnRJcfd/WYx2zHO4S22ARuBqeEPC81lIP5nasbieivaOoo+n0/mU2b8FdiqsAULNcarf3c03pxja/XOkCi9MUOzFfmeR0381q8pUzwXFm27Rkh0TlUCKfTQRLKYR4nTgwxzONh97mCiiDKc3JU7s5K7ncJlzzK1Tmc=
99acres.condos.	3600	in	ns	ns1.infoedgeindia.net.
99acres.condos.	3600	in	ns	ns2.infoedgeindia.net.
99acres.condos.	3600	in	ns	ns3.infoedgeindia.net.
99acres.condos.	3600	in	ns	ns4.infoedgeindia.net.
9pgcnb59agoo8ftnp2javq6uasa6vur4.condos.	3600	in	nsec3	1 1 0 73 ACEHQVQREG7IJV36JE70EHR5TSPM719P NS DS RRSIG
9pgcnb59agoo8ftnp2javq6uasa6vur4.condos.	3600	in	rrsig	NSEC3 8 2 3600 20250930152632 20250909142632 30993 condos. BzyUm17ESwC9EjRfq98GGeD/FN4yMDq9fAm5hLByVUg9UGY4Ytt01w4DSKwc9ca6Ys9eFiPOOM5H9x7czIF0oYe2mF3GpMF5d/FdfCsj1gww5Fx2BGNa6ox477Zc+jUovw8HdqpiEnUiwRZQ3ctx44HzadrCwG3vC3k1MNPBQAo=
a2z.condos.	3600	in	ds	36469 8 2 18F13D79DD553A9940D9F1B8C3D75B865F0E4AA8BF8790809253CBCED29A6CA3
