1d1sqqpc1r34bij5uo5jvmntipr11eem.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. IKSnYrPA43vd7xNHbea0G84kGp0EocZ5Xja45o2EkpW98jTCbqBOS8BfAiuFe0B4iF+CVO+02rbWKF/+iM9dudHtNjgmaVy5AXORQx5bh00VEWMSJkFXlUlNYSvDr+1nrSN2v6ux67oVMyCEbD+BThRq2ElJjT9dw5W18WywVFo=
1dbi2lhud1sktehdggcetcnnkc4oe1p6.jetzt.	3600	in	nsec3	1 1 0 73 1K2NRS632MI9BE0OO4S7I9GOKR1AIGCP NS DS RRSIG
1dbi2lhud1sktehdggcetcnnkc4oe1p6.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. GNnT1inAkmZTXyWut2mvlrZbkPnv5v3kkO7ZU32BEZO6IlJKq6wn8vB42XF9bUN7rFsbTqCH8Fc82lqbRKBzivUqqhy/xF7I6IEdRhCiAaLu9klF/FLrVbl8xOrIKJ+M9pycxUtiMqq4N1WvA6ISm42xs2LHd8AgpT15DXUKfJk=
1k2nrs632mi9be0oo4s7i9gokr1aigcp.jetzt.	3600	in	nsec3	1 1 0 73 1O7G5JKP7URQ4DS1MBS5PGNJJQN9FEJD NS DS RRSIG
1k2nrs632mi9be0oo4s7i9gokr1aigcp.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. q6wc6wKmKbtBLnJbP6b7wYU9cf+zjpREiLqcQVFvn+0V/S10b7ZjdcPReeeQeK+ZNPhRxm9VYoTP/pAW378d/232ToXjHYOTSL61YVZ/p6OLd/SVOWcUks6+Uw2Xa05B6klCIUPmPFOTu68zRg8TE4F9RtmLJL3jg6d20xaB7UQ=
1o7g5jkp7urq4ds1mbs5pgnjjqn9fejd.jetzt.	3600	in	nsec3	1 1 0 73 1PSBIVF84HVLSFMJ8G4A3LQK0CBQMKT8 NS DS RRSIG
1o7g5jkp7urq4ds1mbs5pgnjjqn9fejd.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. A2BiznFoN5xYYoCWQRrEN20kJq3LDaUTXzViU3v9v8r1eF2Ug2UEVxOkFjFgNsCBUJguCHrXEEr+RRWTHPOIIkUf3/OFuyPl77oZH88fJX81QSr0Ysw0g7UZpk/gudL/wqMjMH3NQMubVK6n8i6Hd2o1aSKTBzvpVy2T6wWBxRk=
1prozent.jetzt.	3600	in	ns	ns.udag.de.
1prozent.jetzt.	3600	in	ns	ns.udag.net.
1prozent.jetzt.	3600	in	ns	ns.udag.org.
1psbivf84hvlsfmj8g4a3lqk0cbqmkt8.jetzt.	3600	in	nsec3	1 1 0 73 1VQPLN9U45FCP8CLE0V5GKO31DMGVG8R NS DS RRSIG
1psbivf84hvlsfmj8g4a3lqk0cbqmkt8.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. b8l7R4RwID0jg1CZ9pSdjcuafwWBI+97syLxF8EBRDe6cERW6s3kMyet4GYM9+L5TuXd0z+MXPCmLR9DXxOfslua3MWHx9fwGnOvRghKuVoalZTdU2wEgeSVx13oYhk037YL5dOPp8yirrP8HiyYJUC+r8luX4wVvkd7rQmyBfk=
1red.jetzt.	3600	in	ns	rosalyn.ns.cloudflare.com.
1red.jetzt.	3600	in	ns	yadiel.ns.cloudflare.com.
1stein.jetzt.	3600	in	ns	ns1018.ui-dns.com.
1stein.jetzt.	3600	in	ns	ns1071.ui-dns.de.
1stein.jetzt.	3600	in	ns	ns1115.ui-dns.org.
1stein.jetzt.	3600	in	ns	ns1123.ui-dns.biz.
1tamilyogi.jetzt.	3600	in	ns	rajeev.ns.cloudflare.com.
1tamilyogi.jetzt.	3600	in	ns	ximena.ns.cloudflare.com.
1und1.jetzt.	3600	in	ns	ns-telco.ui-dns.biz.
1und1.jetzt.	3600	in	ns	ns-telco.ui-dns.com.
1und1.jetzt.	3600	in	ns	ns-telco.ui-dns.de.
1und1.jetzt.	3600	in	ns	ns-telco.ui-dns.org.
1v-lsd.jetzt.	3600	in	ns	ns.udag.de.
1v-lsd.jetzt.	3600	in	ns	ns.udag.net.
1v-lsd.jetzt.	3600	in	ns	ns.udag.org.
1vqpln9u45fcp8cle0v5gko31dmgvg8r.jetzt.	3600	in	nsec3	1 1 0 73 22ATGOSREGKV30CK6IOV2NKER7LO0I5C NS DS RRSIG
1vqpln9u45fcp8cle0v5gko31dmgvg8r.jetzt.	3600	in	rrsig	NSEC3 8 2 3600 20260207154830 20260117144830 19005 jetzt. SKhi970yXuqU1NU6+eDH538P3Q21utZyzRUgUnJykOMraqnBHo331yhBJa0a6w2CbYnLuKtNWDTKRv1o8w8NHcTovgK/SvMSzi61VwVeMzDUiWD59e0N31GeS0vw0AwFQ2Ci5Kw6qEqRfaOilGC45aLNJkUgnAhK7SBAf5P/q/E=
1xbet.jetzt.	3600	in	ns	ns1.dns-redirect.com.
1xbet.jetzt.	3600	in	ns	ns2.dns-redirect.com.
1zu1.jetzt.	3600	in	ns	ns1030.ui-dns.org.
1zu1.jetzt.	3600	in	ns	ns1043.ui-dns.biz.
1zu1.jetzt.	3600	in	ns	ns1121.ui-dns.com.
1zu1.jetzt.	3600	in	ns	ns1121.ui-dns.de.
204.jetzt.	3600	in	ns	cns1.alfahosting.info.
204.jetzt.	3600	in	ns	cns2.alfahosting.info.
204.jetzt.	3600	in	ns	cns3.alfahosting.info.
212.jetzt.	3600	in	ns	ns1.101domain.com.
212.jetzt.	3600	in	ns	ns2.101domain.com.
