rich.	3600	in	soa	a0.nic.rich. hostmaster.donuts.email. 1756257213 7200 900 1209600 3600
oculus.rich.	3600	in	ns	b.ns.facebook.com.
oculus.rich.	3600	in	ns	c.ns.facebook.com.
oculus.rich.	3600	in	ns	d.ns.facebook.com.
oculusrift.rich.	3600	in	ns	a.ns.facebook.com.
oculusrift.rich.	3600	in	ns	b.ns.facebook.com.
oculusrift.rich.	3600	in	ns	c.ns.facebook.com.
oculusrift.rich.	3600	in	ns	d.ns.facebook.com.
oculusvr.rich.	3600	in	ns	a.ns.facebook.com.
oculusvr.rich.	3600	in	ns	b.ns.facebook.com.
oculusvr.rich.	3600	in	ns	c.ns.facebook.com.
oculusvr.rich.	3600	in	ns	d.ns.facebook.com.
own.rich.	3600	in	ns	ns1.netnames.net.
own.rich.	3600	in	ns	ns2.netnames.net.
own.rich.	3600	in	ns	ns5.netnames.net.
own.rich.	3600	in	ns	ns6.netnames.net.
papa.rich.	3600	in	ns	ns51.domaincontrol.com.
papa.rich.	3600	in	ns	ns52.domaincontrol.com.
