1qnspa8i2k3f1q2j9qg80b246te3rd1s.mba.	3600	in	rrsig	NSEC3 8 2 3600 20250922161245 20250901151245 14829 mba. kd2oPNT+9Sf09+XnlpntoYL7UUq2nuNr4YKSPZO0liSPp/FJVmnOHdXBrNCiOoEi7uKauEcSWEtiwgnuBE9ZMj2n327ZIQfGo1CsN+/VQyL3z/ojLkBl0HlTiGGTYcQOp3F6HcXr4uedxMRn0kWvHgfTEG+Z6U0SMgf127xMX8Q=
1st.mba.	3600	in	ns	ns1.hover.com.
1st.mba.	3600	in	ns	ns2.hover.com.
1tamilyogi.mba.	3600	in	ns	aida.ns.cloudflare.com.
1tamilyogi.mba.	3600	in	ns	byron.ns.cloudflare.com.
1teqmigk8e3rc1jtuv6ntcaceqmcctf8.mba.	3600	in	nsec3	1 1 0 73 218N44J0E8IHT75FM697KPRQSJS1NMT4 NS DS RRSIG
1teqmigk8e3rc1jtuv6ntcaceqmcctf8.mba.	3600	in	rrsig	NSEC3 8 2 3600 20250922161245 20250901151245 14829 mba. Hmcn0ryVVZvikCiEAbEKWsqJJqyVJoWJoExoBO3Q5xky11ZLFdddSzAjdTfK0DX2r9x/XeKkFzdT75D3R071wR4U2Y+iN6sU2woL7Ry4nvIU9qkxfZJSfjQf8YXlOfMUUJP3p0njzgIsVeeMaNGnE7knICt8ipJxleQwO82VtWs=
1w.mba.	3600	in	ns	leia.ns.cloudflare.com.
1w.mba.	3600	in	ns	osmar.ns.cloudflare.com.
1win.mba.	3600	in	ns	ns1.pananames.com.
1win.mba.	3600	in	ns	ns2.pananames.com.
1win.mba.	3600	in	ns	ns3.pananames.com.
1win.mba.	3600	in	ns	ns4.pananames.com.
1x.mba.	3600	in	ns	ns1.hover.com.
1x.mba.	3600	in	ns	ns2.hover.com.
1xbet.mba.	3600	in	ns	ali.ns.cloudflare.com.
1xbet.mba.	3600	in	ns	elmo.ns.cloudflare.com.
2.mba.	3600	in	ns	ns.hostland.ru.
2.mba.	3600	in	ns	ns3.hostland.ru.
200.mba.	3600	in	ns	ns59.domaincontrol.com.
200.mba.	3600	in	ns	ns60.domaincontrol.com.
2025.mba.	3600	in	ns	dns13.hichina.com.
2025.mba.	3600	in	ns	dns14.hichina.com.
2029.mba.	3600	in	ns	dean.ns.cloudflare.com.
2029.mba.	3600	in	ns	sierra.ns.cloudflare.com.
21.mba.	3600	in	ns	ns1.pandimensional.net.
21.mba.	3600	in	ns	ns2.pandimensional.net.
211.mba.	3600	in	ns	ns5.myhostadmin.net.
211.mba.	3600	in	ns	ns6.myhostadmin.net.
213.mba.	3600	in	ns	carioca.ns.cloudflare.com.
213.mba.	3600	in	ns	joel.ns.cloudflare.com.
218n44j0e8iht75fm697kprqsjs1nmt4.mba.	3600	in	nsec3	1 1 0 73 21OTVJ88OCB27EKV5GT1698K6JSJ9FS2 NS DS RRSIG
218n44j0e8iht75fm697kprqsjs1nmt4.mba.	3600	in	rrsig	NSEC3 8 2 3600 20250922161245 20250901151245 14829 mba. naQ34MKgPUy/dIXKk4raOXVr8pxksv4ORydsxo2wmkZwJymool9+oP7eSqqef0vK+vx8MHDDE2I83ZlmaRpCB0jZWA/kedvKoM041dqbTdKLCbs5ywBxRe+59ZPrXXoMYPZUUsCuPiHDmukOE55x0GWM8ZDFVvQ9LFwowJJJ5AY=
