2hmdu21dkgs46k91t3umloepoj84bq0e.jewelry.	3600	in	nsec3	1 1 0 73 2I89HC6GT3PPAC5JSFOI545U5I5HK0M3 NS DS RRSIG
2hmdu21dkgs46k91t3umloepoj84bq0e.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. RjfMPV3YVzwLbd32iGKmDbjzuedHDHn7YQ5CkCzjJRU3R/9KqP7r/JtonER356To9m+yJCsqfXep3SzrqR6hSFTKgQYo4GPWWSR0oZEPO3j7XiM0avRVuTYtg3konA9qcnHPvHhh4g1SAU1h8Yy6iZlW2k3WU3dP5/OrMbt1RRg=
2i89hc6gt3ppac5jsfoi545u5i5hk0m3.jewelry.	3600	in	nsec3	1 1 0 73 2V2DRISFVALI6OKEM06MA2AQNA6VEV4Q NS DS RRSIG
2i89hc6gt3ppac5jsfoi545u5i5hk0m3.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. NdVESHs1mtBFojal9IiyJHkfbUyObiLDEqx0XH/i/Vfhmnm/kwSZlWjMh6kH0KkO4OLBEOXY/Q75W7h0sBp7RDLGoYq/c3QtwoxOah/05fQWXAvhCa1BwgQJuBV1PQW8lVZXjSjIU/ptgxAWchvRyNcQtgFcHZFow8nq2GWU1fk=
2pi.jewelry.	3600	in	ns	curitiba.ns.porkbun.com.
2pi.jewelry.	3600	in	ns	fortaleza.ns.porkbun.com.
2pi.jewelry.	3600	in	ns	maceio.ns.porkbun.com.
2pi.jewelry.	3600	in	ns	salvador.ns.porkbun.com.
2v2drisfvali6okem06ma2aqna6vev4q.jewelry.	3600	in	nsec3	1 1 0 73 2VLLJOQIRFO1MFMSLJI2NHLQ7R058NNA NS DS RRSIG
2v2drisfvali6okem06ma2aqna6vev4q.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. Xw8agsluMP98v8oKWhxwts4hyxDIgTMwHIooy29ZBddU5OWS0jpthyA7XgQFWqjIOsemQnNEuJ9DoCfydRt0c+BMKSola24ox8XWXHhrgBsyUNpPh8P6JThSJAC0rr87ej5HCYTBv93WslOmcHVmvHmYqk1QJL0FPXjL6lF2hI0=
2vlljoqirfo1mfmslji2nhlq7r058nna.jewelry.	3600	in	nsec3	1 1 0 73 36RU3349AUBQQCOUBEJ56FR3CLVEC352 NS DS RRSIG
2vlljoqirfo1mfmslji2nhlq7r058nna.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. hgckgirtQyk2wjGt5K4zvVekomq49yu6Zr6uvLHC5Vit6fD41RDYsq6Ut1qe0oDtwU+28Fue6xOzNjEQ0wPMSrfi6XzP3CYaPk7B3NOGMwtrnE4cH9Pj1c0ZQMYZ0FKXSGS/0RHG3vAHBIt6AlPbPJXvOihDDcrpd66mdT2yw5k=
302.jewelry.	3600	in	ns	ns-1436.awsdns-51.org.
302.jewelry.	3600	in	ns	ns-1537.awsdns-00.co.uk.
302.jewelry.	3600	in	ns	ns-26.awsdns-03.com.
302.jewelry.	3600	in	ns	ns-630.awsdns-14.net.
3133.jewelry.	3600	in	ns	ns39.domaincontrol.com.
3133.jewelry.	3600	in	ns	ns40.domaincontrol.com.
333.jewelry.	3600	in	ns	curitiba.ns.porkbun.com.
333.jewelry.	3600	in	ns	fortaleza.ns.porkbun.com.
333.jewelry.	3600	in	ns	maceio.ns.porkbun.com.
333.jewelry.	3600	in	ns	salvador.ns.porkbun.com.
33win.jewelry.	3600	in	ns	hassan.ns.cloudflare.com.
33win.jewelry.	3600	in	ns	hattie.ns.cloudflare.com.
360.jewelry.	3600	in	ns	ns1.sedoparking.com.
360.jewelry.	3600	in	ns	ns2.sedoparking.com.
36ru3349aubqqcoubej56fr3clvec352.jewelry.	3600	in	nsec3	1 1 0 73 3CIKVFM4N76FINFPC359D6C103IEM0KA NS DS RRSIG
36ru3349aubqqcoubej56fr3clvec352.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. g4I45ZUThiRfqaf6AZNitpWN7rYdcdoZKhPMjX+MvKM4gbj8+baIdKMw4hmdUx0MGcFwhw+cZ0YAjdCSiaRB2MeEiZVBBw0vI9m449MPrEVDsvKMVVrwwZszYmOJxZrPgnkTu4bW/UHxcT9gGC+1TCcb/QIF80MYcCPEa/ABHRc=
3cikvfm4n76finfpc359d6c103iem0ka.jewelry.	3600	in	nsec3	1 1 0 73 3DGADOKE0RQC4EUPUFS3UL1JPENCEOEN NS DS RRSIG
3cikvfm4n76finfpc359d6c103iem0ka.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. lWY6P7T8s1/eHuTtp+JdMHCwRsfbIymm14Vyu3rtbBe+CacCkgZ7KacN40gZkR7djogMiFAlErY6Gfb80Ahug/pNbp937TMGlddrWHu3uiUaTPWd8TMQu3rwN2a3iAWC+FOVsPvMMwzBenkgvEc42kPSWOfnmVw9CQsZc+NU38k=
3d.jewelry.	3600	in	ns	tessa.ns.cloudflare.com.
3d.jewelry.	3600	in	ns	yoxall.ns.cloudflare.com.
3dgadoke0rqc4eupufs3ul1jpenceoen.jewelry.	3600	in	nsec3	1 1 0 73 3IJ217V56IH5HAC8HDNTHQ690M7V11C4 NS DS RRSIG
3dgadoke0rqc4eupufs3ul1jpenceoen.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. Ei9T8KrU9i3344ftdVQDCxRDuIQh5GyYFBHZwPcYrwDf1tH92jUl+2bosfF3ZMmBmNBy4FqS2Smrhbc6z31fg55u8OsmuudE/YVzaLYr9g8T6ziKdDLD+A3rSimpXuxElEBs4ps09OMvQ7AtkkOJ3ee6fAPPUJ8DdL1Jo3soUlw=
3dp.jewelry.	3600	in	ns	ns1.dns-redirect.com.
3dp.jewelry.	3600	in	ns	ns2.dns-redirect.com.
3dprint.jewelry.	3600	in	ns	ns11.domaincontrol.com.
3dprint.jewelry.	3600	in	ns	ns12.domaincontrol.com.
3eriq.jewelry.	3600	in	ns	n1.xundns.com.
3eriq.jewelry.	3600	in	ns	n2.xundns.com.
3ij217v56ih5hac8hdnthq690m7v11c4.jewelry.	3600	in	nsec3	1 1 0 73 3QULMB5OGURS5OLI41K71PIHFCTCRLJM NS DS RRSIG
3ij217v56ih5hac8hdnthq690m7v11c4.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. W0O8vy4NQJoN291SZKeWUHcaCc3+WHAJRI9qkWx2KbqaKStVt0rH7drc2E5FxX5u71iLbTjkrK/j37oP3RtUn6t7PGNOwjQFAzy5hM+vsEtHTo/o3SMhOhwxW08aBEqC6z4LlDGB9uVSS1KuP0yHKJhAeY6+8Db7v0aU5DPJuRw=
3qulmb5ogurs5oli41k71pihfctcrljm.jewelry.	3600	in	nsec3	1 1 0 73 427AFAUUD51JQ8L3VES6BVQNG2NQVQM9 NS DS RRSIG
3qulmb5ogurs5oli41k71pihfctcrljm.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. TovDg0urRrjwgpSJD13KfWOpXrttQHRlV9eeQytMr7OwDKnFa6IxbXdSlCv/5rCx5VNfl+6ui/WNW6C2n2OVbJCCglrN7NPmdjBGoCBIoRCCkuM0DHKdIJcQS2SHV3IKlpAEm4SToaILA62/Fzdd7yKyOUki3xPHUnu9Kw4X9XA=
3ylo.jewelry.	3600	in	ns	ns6569.hostgator.com.
3ylo.jewelry.	3600	in	ns	ns6570.hostgator.com.
427afauud51jq8l3ves6bvqng2nqvqm9.jewelry.	3600	in	nsec3	1 1 0 73 4A1EBEGD7E57LDBCMH2VRB288F23LS9S NS DS RRSIG
427afauud51jq8l3ves6bvqng2nqvqm9.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. a1Xv7o4PgY8A9w9k1laYJZOBiyoWdPTdal8YMLt1feEPC/MxQJGB3XQRlzfoLONaEIbSvivYf1AjXFCiXjmT0WbzHCHMksTQ8k8sILUFKiIsp3GuJZRLuke4CUmQLZsAGOPgMUOR2q9TgVqM4wpLD7anvaoVDeL8PKh4uxLtZPo=
44u.jewelry.	3600	in	ns	ns.ccn.net.
44u.jewelry.	3600	in	ns	ns2.ccn.net.
44u.jewelry.	3600	in	ns	ns3.ccn.net.
4a1ebegd7e57ldbcmh2vrb288f23ls9s.jewelry.	3600	in	nsec3	1 1 0 73 4EAF5J5MNBIM9SE4547IQ8BM2H1EMD9I NS DS RRSIG
4a1ebegd7e57ldbcmh2vrb288f23ls9s.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. lDKGYPgVa7Ip4gZ3mM0aNU0BT1EQwcm/7g/2EAz/TjCUWmVgcoA+7l2+t0GxrlPQyiEsRfxJFTlbiG1MhqhWyRhSLxTAIMjqAoUVn/igiEAIAukQqSoiaxW48/VgVX19epj/r6FYsCYy+m3onRXlDHwmOAA8VEbPWz4b6afZFTs=
4am.jewelry.	3600	in	ns	ns1.dns-redirect.com.
4am.jewelry.	3600	in	ns	ns2.dns-redirect.com.
4eaf5j5mnbim9se4547iq8bm2h1emd9i.jewelry.	3600	in	nsec3	1 1 0 73 4GJFPVKDRUEB14FQ9UHVBFGHPGOVHVR5 NS DS RRSIG
4eaf5j5mnbim9se4547iq8bm2h1emd9i.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. DMMuNARfaZFUAqY2LNAvHI4xvpmP8vcljLBymIEGHOrhGpRuG2SXv1YJoWPDqb8JOl5/RQPuZQ2J/PYM+ItUrfWR3Y8vgY+LgRTGcM007CjsUUO4AQ4WwbQjG3y+9Kj8cdTxNRpWMYmBeZDAYUQmsBAhYGuRm8wCq3uQBSt280A=
4gjfpvkdrueb14fq9uhvbfghpgovhvr5.jewelry.	3600	in	nsec3	1 1 0 73 4UVVUNUCBPN9OBRKLV2IF8Q2GVJAP1NL NS DS RRSIG
4gjfpvkdrueb14fq9uhvbfghpgovhvr5.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. EPx85WxVuv6VLJgnjaYDw+mVJNjKiCCiyu7gDHHqRM42eXI4dj1Iwckk5C97lookTYX83+Qh/JenpefEYnOkWRHR1UJHYdxMQXNe6SZHV4nNornKw8FouPlfMMHJQVNaeIoht8DXQhgWmLFuW0zjZx4ZQeIwrL8c1WIUdbEVaRk=
4u.jewelry.	3600	in	ds	28780 8 2 F49329DAA8F8674A58DCDF338CD6F081CDF8F98D705ED7323E0B813A001443CB
4u.jewelry.	3600	in	ns	ns-cloud-b1.googledomains.com.
4u.jewelry.	3600	in	ns	ns-cloud-b2.googledomains.com.
4u.jewelry.	3600	in	ns	ns-cloud-b3.googledomains.com.
4u.jewelry.	3600	in	ns	ns-cloud-b4.googledomains.com.
4u.jewelry.	3600	in	rrsig	DS 8 2 3600 20251022155527 20251001145527 65259 jewelry. fczTj0lAXRU68E6sX5AdnSesOx4wQAFlQd7YeFgVX6AZkIQo3UJFRppYPVsVYZBJDS0JFpshcgrS4Xj3dlsBqxd+Q06RDT3E5YmGhgt0ZNRo5aelWprD4uvwhL89Y9/Rq9lNErVmQpux7upGzyajvbFeo+3MRjyAAp76ZlhI1QA=
4uvvunucbpn9obrklv2if8q2gvjap1nl.jewelry.	3600	in	nsec3	1 1 0 73 53L4TNMS5OJCP2TFNH9EREL2TFPEHJ1T NS DS RRSIG
4uvvunucbpn9obrklv2if8q2gvjap1nl.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. WRRoyukRooqoaGREeKGJxln2tGSssrvl5mmebX+Mo5bLL5d557w5uLtxvfHSBjqHd8jW3EDkg4vU6NIuXEnIv8VplOP+WDcMmr599O2Uv3r9rmkwYKXAMxw4kpU95Wd6gGwnXc2YAKPWcAFlaCZZR1XK69JNcZmZHN4nCWboY4I=
5280.jewelry.	3600	in	ns	pdns11.domaincontrol.com.
5280.jewelry.	3600	in	ns	pdns12.domaincontrol.com.
53l4tnms5ojcp2tfnh9erel2tfpehj1t.jewelry.	3600	in	nsec3	1 1 0 73 54JE00LAA20DTE2SBF5V34DO1KUG6PFN NS DS RRSIG
53l4tnms5ojcp2tfnh9erel2tfpehj1t.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. TOpVCLOQaD5+Y85hdTnW+riAdzXOEfymGg7lNNA/o008V7DCfC4gW9ASHOwgMCtqewhCLBagrJRQDdEJvAnCH7oJkLmdkpg+K0dhtLT0MeQOi+uL+81F6QzXf1U8sWUe8yTflFXfHLwQN8JdyXF52bEa4xc+ViUpPvUM99AEpqs=
54je00laa20dte2sbf5v34do1kug6pfn.jewelry.	3600	in	nsec3	1 1 0 73 58TD81GKTOCDLGQO72O6HRFNG1LP7RNI NS DS RRSIG
54je00laa20dte2sbf5v34do1kug6pfn.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. aI/JXSM8lq3U8B79S7YGLuQ3yFqgk/qY4JKmXPuXfjz8qhPreRks1D8Dqcfvy3hNbwpI6JZtgkNM5dI6tqTmxS5umyy3TaU8Kk0n9BHiGk2YvlyVL4fGLir24iUOxC2vRP/NE2q9zN5VhzzSR4HPdbvvdTs00NqWQdXOI7HO+FA=
58td81gktocdlgqo72o6hrfng1lp7rni.jewelry.	3600	in	nsec3	1 1 0 73 5AME617R7D7N6I0MF120VK18SNKJJH5Q NS DS RRSIG
58td81gktocdlgqo72o6hrfng1lp7rni.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. Ighm4jvliuVTu37QPelGTpavtqY0Z+3m31mUtOphJrtuaGf69YzEKNh/d41ezGRyfG+DbYo8wyphwv/Mdu1hDJlfBFRbfuRhGpT92RYEfW9pT4aCuzi0rTVxY8QttQlg3NjLdvzjUI24DQ+C/07OY6XJzrUjFgtzQYCLSf7mmaY=
5ame617r7d7n6i0mf120vk18snkjjh5q.jewelry.	3600	in	nsec3	1 1 0 73 5D8UMQQ0DHT8HI7C9L0IDAVJ7P79VGAT NS DS RRSIG
5ame617r7d7n6i0mf120vk18snkjjh5q.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. l76D2vFcgFpclj6Sk127j1xW9j6W01uUboh0RRq7cNJ5ZbxJkc0Kdb+n8+UBPYmXTfPKJiLdTHIu2YXiiaaaNjHyBcyvEO6jQ8/4/JY/FkL7ajwXQ12hR/X48H9w4K1KOcJi8Bzz9ceGNwmeW6lOwltHKIcVSJDTf3H8eq7oah0=
5d8umqq0dht8hi7c9l0idavj7p79vgat.jewelry.	3600	in	nsec3	1 1 0 73 61IKDLOG5K8KEV1F9U46TKP91113RRQA NS DS RRSIG
5d8umqq0dht8hi7c9l0idavj7p79vgat.jewelry.	3600	in	rrsig	NSEC3 8 2 3600 20251022155527 20251001145527 65259 jewelry. mNAVMsjwn+MeceFglkdi5cX7xgltR7uE9DwOmYNYOGyU8p8x4QRBUkV4NB/Ejl9ksQjhZ5HftAe4pY2gHTJxo6Qnoxw0dgNFYGkv2KIVI/Q2XQuR9u+fir8qJKY4N5kSllT3LlBUagZ894eR3wVpmJCKhq0D9zNguCyV846evRE=
5movierulz.jewelry.	3600	in	ns	rose.ns.cloudflare.com.
5movierulz.jewelry.	3600	in	ns	yew.ns.cloudflare.com.
