oculusvr.xn--1ck2e1b.	3600	in	ns	c.ns.facebook.com.
oculusvr.xn--1ck2e1b.	3600	in	ns	d.ns.facebook.com.
orium.xn--1ck2e1b.	3600	in	ns	dns1.cscdns.net.
orium.xn--1ck2e1b.	3600	in	ns	dns2.cscdns.net.
prime.xn--1ck2e1b.	3600	in	ns	nsgbr.comlaude.co.uk.
prime.xn--1ck2e1b.	3600	in	ns	nssui.comlaude.ch.
prime.xn--1ck2e1b.	3600	in	ns	nsusa.comlaude.net.
rakuten.xn--1ck2e1b.	3600	in	ns	nsgbr.comlaude.co.uk.
rakuten.xn--1ck2e1b.	3600	in	ns	nssui.comlaude.ch.
rakuten.xn--1ck2e1b.	3600	in	ns	nsusa.comlaude.net.
register.xn--1ck2e1b.	3600	in	ns	ns1.amzndns.co.uk.
register.xn--1ck2e1b.	3600	in	ns	ns1.amzndns.com.
register.xn--1ck2e1b.	3600	in	ns	ns1.amzndns.net.
register.xn--1ck2e1b.	3600	in	ns	ns1.amzndns.org.
register.xn--1ck2e1b.	3600	in	ns	ns2.amzndns.co.uk.
register.xn--1ck2e1b.	3600	in	ns	ns2.amzndns.com.
register.xn--1ck2e1b.	3600	in	ns	ns2.amzndns.net.
register.xn--1ck2e1b.	3600	in	ns	ns2.amzndns.org.
rogervivier.xn--1ck2e1b.	3600	in	ns	ns1.barbero.zone.
rogervivier.xn--1ck2e1b.	3600	in	ns	ns2.barbero.zone.
rolex.xn--1ck2e1b.	3600	in	ns	dns1.p03.nsone.net.
rolex.xn--1ck2e1b.	3600	in	ns	dns2.p03.nsone.net.
rolex.xn--1ck2e1b.	3600	in	ns	dns3.p03.nsone.net.
rolex.xn--1ck2e1b.	3600	in	ns	dns4.p03.nsone.net.
shopbop.xn--1ck2e1b.	3600	in	ns	nsgbr.comlaude.co.uk.
shopbop.xn--1ck2e1b.	3600	in	ns	nssui.comlaude.ch.
shopbop.xn--1ck2e1b.	3600	in	ns	nsusa.comlaude.net.
strial.xn--1ck2e1b.	3600	in	ns	dns1.cscdns.net.
strial.xn--1ck2e1b.	3600	in	ns	dns2.cscdns.net.
thebookdepository.xn--1ck2e1b.	3600	in	ns	nsgbr.comlaude.co.uk.
thebookdepository.xn--1ck2e1b.	3600	in	ns	nssui.comlaude.ch.
thebookdepository.xn--1ck2e1b.	3600	in	ns	nsusa.comlaude.net.
tods.xn--1ck2e1b.	3600	in	ns	ns1.barbero.zone.
tods.xn--1ck2e1b.	3600	in	ns	ns2.barbero.zone.
topvalu.xn--1ck2e1b.	3600	in	ns	rns1.rightsdns.com.
topvalu.xn--1ck2e1b.	3600	in	ns	rns2.rightsdns.com.
tudor.xn--1ck2e1b.	3600	in	ns	dns1.p03.nsone.net.
tudor.xn--1ck2e1b.	3600	in	ns	dns2.p03.nsone.net.
tudor.xn--1ck2e1b.	3600	in	ns	dns3.p03.nsone.net.
tudor.xn--1ck2e1b.	3600	in	ns	dns4.p03.nsone.net.
tudorwatch.xn--1ck2e1b.	3600	in	ns	dns1.p03.nsone.net.
tudorwatch.xn--1ck2e1b.	3600	in	ns	dns2.p03.nsone.net.
tudorwatch.xn--1ck2e1b.	3600	in	ns	dns3.p03.nsone.net.
tudorwatch.xn--1ck2e1b.	3600	in	ns	dns4.p03.nsone.net.
tumblr.xn--1ck2e1b.	3600	in	ns	ns1.tumblr.com.
tumblr.xn--1ck2e1b.	3600	in	ns	ns2.tumblr.com.
tumblr.xn--1ck2e1b.	3600	in	ns	ns3.tumblr.com.
tumblr.xn--1ck2e1b.	3600	in	ns	ns4.tumblr.com.
tupperware.xn--1ck2e1b.	3600	in	ns	ns1.tupperware.net.
tupperware.xn--1ck2e1b.	3600	in	ns	ns2.tupperware.net.
tupperware.xn--1ck2e1b.	3600	in	ns	ns3.tupperware.net.
twitch.xn--1ck2e1b.	3600	in	ns	nsgbr.comlaude.co.uk.
twitch.xn--1ck2e1b.	3600	in	ns	nssui.comlaude.ch.
twitch.xn--1ck2e1b.	3600	in	ns	nsusa.comlaude.net.
tyreplus.xn--1ck2e1b.	3600	in	ns	dns1.cscdns.net.
tyreplus.xn--1ck2e1b.	3600	in	ns	dns2.cscdns.net.
v0n0.nic.xn--1ck2e1b.	3600	in	a	65.22.76.3
v0n0.nic.xn--1ck2e1b.	3600	in	aaaa	2a01:8840:004a:0000:0000:0000:0000:0003
v0n1.nic.xn--1ck2e1b.	3600	in	a	65.22.77.3
v0n1.nic.xn--1ck2e1b.	3600	in	aaaa	2a01:8840:004b:0000:0000:0000:0000:0003
v0n2.nic.xn--1ck2e1b.	3600	in	a	65.22.78.3
v0n2.nic.xn--1ck2e1b.	3600	in	aaaa	2a01:8840:004c:0000:0000:0000:0000:0003
v0n3.nic.xn--1ck2e1b.	3600	in	a	161.232.38.3
v0n3.nic.xn--1ck2e1b.	3600	in	aaaa	2a01:8840:010c:0000:0000:0000:0000:0003
v2n0.nic.xn--1ck2e1b.	3600	in	a	65.22.79.3
v2n0.nic.xn--1ck2e1b.	3600	in	aaaa	2a01:8840:004d:0000:0000:0000:0000:0003
v2n1.nic.xn--1ck2e1b.	3600	in	a	161.232.39.3
v2n1.nic.xn--1ck2e1b.	3600	in	aaaa	2a01:8840:010d:0000:0000:0000:0000:0003
waon.xn--1ck2e1b.	3600	in	ns	rns1.rightsdns.com.
waon.xn--1ck2e1b.	3600	in	ns	rns2.rightsdns.com.
whatsapp.xn--1ck2e1b.	3600	in	ns	a.ns.facebook.com.
whatsapp.xn--1ck2e1b.	3600	in	ns	b.ns.facebook.com.
whatsapp.xn--1ck2e1b.	3600	in	ns	c.ns.facebook.com.
whatsapp.xn--1ck2e1b.	3600	in	ns	d.ns.facebook.com.
wholefoods.xn--1ck2e1b.	3600	in	ns	nsgbr.comlaude.co.uk.
wholefoods.xn--1ck2e1b.	3600	in	ns	nssui.comlaude.ch.
wholefoods.xn--1ck2e1b.	3600	in	ns	nsusa.comlaude.net.
woot.xn--1ck2e1b.	3600	in	ns	nsgbr.comlaude.co.uk.
woot.xn--1ck2e1b.	3600	in	ns	nssui.comlaude.ch.
woot.xn--1ck2e1b.	3600	in	ns	nsusa.comlaude.net.
xn-----0b4asja7ccgu2b4b0gd0eejfg2jpa1b1e9zva7a0347s4da2797e8qri.xn--1ck2e1b.	3600	in	ns	kara.ns.cloudflare.com.
xn-----0b4asja7ccgu2b4b0gd0eejfg2jpa1b1e9zva7a0347s4da2797e8qri.xn--1ck2e1b.	3600	in	ns	wilson.ns.cloudflare.com.
xn-----0b4asja8cbew2b4b0gd0edbjm2jpa1b1e9zva7a0347s4da2797e7qri.xn--1ck2e1b.	3600	in	ns	bonnie.ns.cloudflare.com.
xn-----0b4asja8cbew2b4b0gd0edbjm2jpa1b1e9zva7a0347s4da2797e7qri.xn--1ck2e1b.	3600	in	ns	thomas.ns.cloudflare.com.
xn--1ck2e1b.	3600	in	dnskey	256 3 8 AwEAAdTXPBzmhy6DXKERE8SexF6V4FAbu7kUoC6FCPA0WWZKous586wYNvpS5mkf/xkTTrZs3u8lmwCdmvFoZMSk0jj+YNQ92JuOcSyK48Lbg8EaJ7PLUlbvZqbxvCm27SQTkHptgW6fEcJTjefw/+zkVD3JoXrR3aWR8SyeKRIF1CSb
xn--1ck2e1b.	3600	in	dnskey	256 3 8 AwEAAfGAMBkq6Wj89b8tZiAAzTtHyTUZ/Yb8IWVXQuZix7b4SkFKL+4dU4vhM0POxDpccM53SFfx0gqYn/jqBL5bW76tIILfEU4dSIoL6eZX13y+9UnAbWMVvmZhR//BtSrIbpI5KjBivZsAFQypmdxrQdieTStvNxawDR1POIi5QgqHfvIFpg7fDPdfhlgDLJIiFGJlqd/HuM09IgFbOYpLOUs=
xn--1ck2e1b.	3600	in	dnskey	257 3 8 AwEAAbQJe3mFFQnZS0a+PMgiIKZMPZYKB8QuMjk5Ux1+v7US0syx787ConUWYkRu0g9ajHfpGh43xrRBUtu6Oy9mgZ+8pb6PFTRwq0Smg8rtnrNkofqX9XU5A3Hh+h8WguUuSVcefOV+jgt+nmOu9Eaoawci/thgSSmWpV3txSh3xKj+619B0ozoggNFSmHvkXFOJr1Tc8X4d7Ty+YsBjNLfvX/8GxDOaSwGh1Dju6FEtI1vIMH6N0IOx5zlAkhXM4r3H607VLaY3x2t6sz83cZXN6TjwA8VmJHvWkxE1ti2oU6qL/d1zLsU05DzXnHcHqV9tW25J0t1Xm9UzyCuscD+RQE=
xn--1ck2e1b.	3600	in	dnskey	257 3 8 AwEAAcAi3p7qTsGKfxDDw9Jxm+7gNVFk/F07kct1tzH1vIGpiLiKgPUmnvX6E0Hpq6XGg4vxzJUU6LHXCPDcCjm39YuiygnvqeuHLo+6SRiTzHcbqQ4b8mVbz3qH0ElyxpwNs9jP4U24lImf294sjE2joF5aeCHPKum1l4oduRmA1MuWXlXGm/zrR75JM4P5Ynv8tSQ1JiQGjg2tcAWaKjg/j190EjiUM+vELLKoCM6R77g8VMRV7Tm2hZlcizYXFik36+NLxtAsg3oKqbqamXuw11NVi+HieXZJxWIPiTdJB8HQwQVyz0P2iix+2V1I8Aj7YyQ4wwumI3bsrtCDsNAyO0U=
xn--1ck2e1b.	3600	in	ns	v0n0.nic.xn--1ck2e1b.
xn--1ck2e1b.	3600	in	ns	v0n1.nic.xn--1ck2e1b.
xn--1ck2e1b.	3600	in	ns	v0n2.nic.xn--1ck2e1b.
xn--1ck2e1b.	3600	in	ns	v0n3.nic.xn--1ck2e1b.
xn--1ck2e1b.	3600	in	ns	v2n0.nic.xn--1ck2e1b.
xn--1ck2e1b.	3600	in	ns	v2n1.nic.xn--1ck2e1b.
xn--1ck2e1b.	3600	in	nsec3param	1 0 0 73
xn--1ck2e1b.	3600	in	rrsig	DNSKEY 8 1 3600 20251022161919 20251001151919 53164 xn--1ck2e1b. cN43XfQSat6MXYQZ/bYoekSJoAzuO56zAH3epy7tcIGoHV5ay2I+sKtT8AZ0gdgnZsCZb8aYaRUSHUiudAUj/u692O8ALWY3DyB2Qq7AjAiDEEV308cCE3Sknc+ny7NK39MCcob2Z5sWd52kXI/n5VycTvvuTTuKwhK/ATY8Dbv4ll+UJZxodHJ7E0EwZ6qftfN4vO0WAFFlCfS19eYZG6a+HaR0tUy7saLe76Iflqn5HLwDa/pDZGGwzJYLIJItHNZ6XysGkQyPF/znTROJBBIG1f96me4gu7OzCmgzTKpIgqXC+MPWM+ADBrVBvFngkKWLq7s02Bh8Or8Zieo0Ig==
xn--1ck2e1b.	3600	in	rrsig	NS 8 1 3600 20251022161919 20251001151919 38178 xn--1ck2e1b. eG+oqyRYhY3m1RoYSgwd1ITl5OBtCBozY0pwfR/9AggiwRUTcg5NPKXPcaguQx8+AP8VdYc3ynZigWJCSCqMbDf6YdXyKtIl+zVYTwNdgTgfkLImL8OQhxvA4AFrR3UtkPDGz0mAba9wVBugUT24ZaP0W2UbHZG3a3Zcc7uQwaY=
