050706.christmas.	3600	in	ds	64059 13 2 D5F22CED6F1CDA3B60E444A9F99941ADA9C38CD793DFFAE9CFA34A2AF1874847
050706.christmas.	3600	in	ns	launch1.spaceship.net.
050706.christmas.	3600	in	ns	launch2.spaceship.net.
050706.christmas.	3600	in	rrsig	DS 13 2 3600 20260216142959 20260117125959 58362 christmas. SNtILuvlliQ8uj2kIeKnS+suvpougSVahXkS+yqXocMbpKdO80BOXKJ3uZEYgBaS0hKYINQyaNClQ3huoR9NSw==
050706.christmas.	900	in	nsec	051262.christmas. NS DS RRSIG NSEC
050706.christmas.	900	in	rrsig	NSEC 13 2 900 20260216142959 20260117125959 58362 christmas. Uebf3ghD5LIoxWmeC4Tx5z4r5HtXlRJGPJUIOXNn7PJYhgU+wjxAwli9Lgpk6PiI7B/H6pquuwsYnXIIO+nDig==
051262.christmas.	3600	in	ds	41163 13 2 E2E6314008628A7DC62831B85026D121E3B69EB873CE367BE354E202C22154E9
051262.christmas.	3600	in	ns	launch1.spaceship.net.
051262.christmas.	3600	in	ns	launch2.spaceship.net.
051262.christmas.	3600	in	rrsig	DS 13 2 3600 20260216142959 20260117125959 58362 christmas. BJtxpa73ys2S0tSmQRvh0w3UiwHnAOLocrwKRffV28+CcQ89QeMhI5ww4iDDFJ3SPXLBDKBJD+nFIKx0K332/g==
051262.christmas.	900	in	nsec	054953.christmas. NS DS RRSIG NSEC
051262.christmas.	900	in	rrsig	NSEC 13 2 900 20260207065417 20260108052417 58362 christmas. SFpgUGlzTPB4zc9e1fq6hJXgTIV1/68RwyKKZFtTKtbKhJWQNIgkAWGMDMO+/PlyLfY9vvD/SUuxF1qlWbRPHg==
054953.christmas.	3600	in	ds	10213 13 2 57DEC3CFBC26F166C4DCA56ED18C74E571A73B2471744F118899D039104DCDA5
054953.christmas.	3600	in	ns	launch1.spaceship.net.
054953.christmas.	3600	in	ns	launch2.spaceship.net.
054953.christmas.	3600	in	rrsig	DS 13 2 3600 20260216142959 20260117125959 58362 christmas. 6W5q1Cd5tC+gm2tiTHS5akxwvuX4WwqX2b0Tj8zVylgV2F//WTbpI2I7f/go7XMjVt7shQm/ncf9FVvrfytK/w==
054953.christmas.	900	in	nsec	055686.christmas. NS DS RRSIG NSEC
