0jgskd7lcd9qtb66opbttdaobm3ctgnv.bot.	60	in	rrsig	NSEC3 8 2 60 20251031020200 20250926015921 47949 bot. nu5bfzYhMOy95CTHWLReL6dCjgY/0sGnAZGm8dlDtuYHXx2kM/pIsnR6LNvyCCQjSWt0uJLAKcG5QbLIOq91jqiIgeceqhpS8B0waePbJ4+bmod5Xk03gwyIhxM/o57ainOwMvdWFr3ZFA2GaI4y4Z0aznyytcjq1gA1FnUdWW2yhL6BEVSAav6MFoa21Vp1QglcWZzXSouWFbfq3bfnFoJh9FDYKaSAIA0spa01n8DiaVHzsWeTQ/TfElHaH0y7Kxuetqf3rT0sF+mpAvZdW+w2NcZcgzHgiBRWVfR6C/WotCqLpmWSfUTAIKcKnscMIvKYbIfJmwDYioz81ZU2mg==
0jgt1jj6l0ubi8qabrg1g3l6voho2qkt.bot.	60	in	nsec3	1 1 0 - 0JSBEAOGU5PEGPFJ7U7IUJ2G7R5MHF4U NS DS RRSIG
0jgt1jj6l0ubi8qabrg1g3l6voho2qkt.bot.	60	in	rrsig	NSEC3 8 2 60 20251104080150 20250930071131 47949 bot. I/zs2rS3UwObU7BZqttyBYUw9Z2Aoz1jPzEbL93aFFYnUFingm9PBggqQPflJTqUHTPwm1/0935Vo3kUz+JZe6EuYC/T8WeJFpTFSHPAQwuXmzvRdUXD86JH8RznSO9ADSUNq1pDPoKimX7zQXaYxZQCW5Ce2MZduDvConAywcEUxVuw4c6PdQFYw74I7mmqS0KDQxNrcfUo+3a1U09UjAmRCLYCsLavq7ra4dswNO0upA0PVAVrw8m1nKEWsKM36/r5p32xXibdq1W/aC3F9lk3A1X3yVE65ZDqNRbWXD+dxjL8nvP7s+woMp7eDgsfNd3c6BTIz1p1hv1/Npr55g==
0jsbeaogu5pegpfj7u7iuj2g7r5mhf4u.bot.	60	in	nsec3	1 1 0 - 0N1912J310OMPKL4G5UOIQ4I2JQF1FGI NS DS RRSIG
0jsbeaogu5pegpfj7u7iuj2g7r5mhf4u.bot.	60	in	rrsig	NSEC3 8 2 60 20251104001722 20250929232410 47949 bot. F07Tab2zTllw1+KJLvQw4fL/tu9Vwd5A//7XVPax2Fx2ja08U/Ozaf2MZWrB8zGbzlTTyPPzG0+66f96RL9mQs9Ek5b0cIjlK7QD0+DQlgL6wIauXhOrEGjZouVJgNkd05ARYPNlFKsl83e8+kuU4oCJ9anhmRnu6/TW+Yl2McuPVCpABkhy3sDSLpQp15OxodVn8iXS+FEAIuIq3QywQASfp7P/BfCdNtIM4G6d12K9WwYHSSyiX2AfwHknjHW6ko867h2Doan20FHsck1dtrJy0ZlU23fWB1ZabTa4siugrEpQrsR65bpSDVLLNyvCB1k6pHhS3dAzMp4krIaqiQ==
0k.bot.	172800	in	ns	pdns1.registrar-servers.com.
0k.bot.	172800	in	ns	pdns2.registrar-servers.com.
0n1912j310ompkl4g5uoiq4i2jqf1fgi.bot.	60	in	nsec3	1 1 0 - 0PBR0038BVL8HE6GOFAL6825QSFQRR2T NS DS RRSIG
0n1912j310ompkl4g5uoiq4i2jqf1fgi.bot.	60	in	rrsig	NSEC3 8 2 60 20251104001722 20250929232410 47949 bot. QlDoYaCsoH983cL3m74I2hej0N0k1mUDsCGRGJiMBeew57fu01p1uUYYPX1YZUxkFSLLcKuue0bYPlJLZXVn3WQa4cqcgOVxytjWN80HHoj+2tGvl4bo+EoXZGUTxFzeA54Ha7E86behxnXwcNlHdTuKawKp7HmRcW7W9Qr9c++EHdD2LcuSQv41/PKARN3wPlmmET8dgGOMOm9qWaI5i4ycO8wgTiGBgYYaKkwFAVgNAyNQHRadx+n4pHT00U6hin291+bFMAHZaR7/AZl4ut0uVyz4mJfVNpVZLg+ihjmEAi5/MRAPqUJ5bkbcwxWGgIURY68bsZoKf41dtFL5Ww==
0o.bot.	172800	in	ns	curitiba.ns.porkbun.com.
