039qh8k0camvp3i6abmap7p1t6mkbr88.tattoo.	900	in	nsec3	1 1 0 - 03IN1SBR24GGUHQU5CO7C65610QMK2H0 NS DS RRSIG
039qh8k0camvp3i6abmap7p1t6mkbr88.tattoo.	900	in	rrsig	NSEC3 13 2 900 20250909235326 20250826231941 58469 tattoo. LSv6UUvbZ/xElhXgrTTnAKSoEb/xtC7+/QjI49Ak+DZ2VQhAtiahqMTxB41Jufgh5zZqPlXUAxdI1YeXi6pgQg==
03in1sbr24gguhqu5co7c65610qmk2h0.tattoo.	900	in	nsec3	1 1 0 - 046VAUA8K5JQJIMRLKRU15IJ2GKF0AUN NS DS RRSIG
03in1sbr24gguhqu5co7c65610qmk2h0.tattoo.	900	in	rrsig	NSEC3 13 2 900 20250909161132 20250826160340 58469 tattoo. b4XUGOCGoqE4lANax2RV1PlQe0wWjpnncVL8ILfKqNbXj339fdDuv5GA+HPf9ELXgFxzNGFCGuME7v+raUMs3w==
03rrywxh.tattoo.	3600	in	ds	9641 13 2 D7E4E0718FE4B892AFAB3E9A4A9661E768B0578458898FD5B50D090577E96A5E
03rrywxh.tattoo.	3600	in	ns	launch1.spaceship.net.
03rrywxh.tattoo.	3600	in	ns	launch2.spaceship.net.
03rrywxh.tattoo.	3600	in	rrsig	DS 13 2 3600 20250904202635 20250821200544 58469 tattoo. GQ+L7IHZMzSmJLpTcwOvGCkJdRhBTt7mlW+AXlVWmKkVHFVU8+GSb7mIaVA6sA3qKmVhzjxcvXibj5QkP732Cg==
0401.tattoo.	3600	in	ns	ns1.wordpress.com.
0401.tattoo.	3600	in	ns	ns2.wordpress.com.
0401.tattoo.	3600	in	ns	ns3.wordpress.com.
04072071.tattoo.	3600	in	ds	41599 13 2 70F11A81438211C54E98D27EB4B9856372327BA43C35B8533133B6860B32AB30
04072071.tattoo.	3600	in	ns	launch1.spaceship.net.
04072071.tattoo.	3600	in	ns	launch2.spaceship.net.
