0goq04op11nnh5jnf2jbqnjrfeasrcvt.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. XCty75slL35X0Xj9dVAT8ltkqrVE4NvxQJO2XqNH8OxU3xzx4yE3RbifH5mA8mJAlEVdnuDFbLi4yS/YYV0ltXgsLM37id42S+xYJQmg2KMHiotlOEMM07GYt4fvMPJrPCNAjpqumxMoLviV2uNCFvoKbxjKa27qSyXLkHVbzAo=
0hrqq0572d6ucc16dtrn0uq2ckt4a67a.marketing.	3600	in	nsec3	1 1 0 73 0HSUQOQFOPDNUPVGBDE2L2JC1BAA6I3N NS DS RRSIG
0hrqq0572d6ucc16dtrn0uq2ckt4a67a.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. tHf427wEL5recz/Ae8PvUxQgzaZQa3PfTSuA0vd8p9LR4bwAjm85TbUoUm17c0zEPo67+posADbgqVdEpx5Ve2EU8p6B7+FnlHlK8tvW0V19YbOtzKA5mXNeo+cXi2/oMEOTkUb+5dwiAgB+EilV9vd7+DQG67zRakQoPhC9VM8=
0hsuqoqfopdnupvgbde2l2jc1baa6i3n.marketing.	3600	in	nsec3	1 1 0 73 0IB9PS2J0D3V50QTELLDCE6KQCAM5T3P NS DS RRSIG
0hsuqoqfopdnupvgbde2l2jc1baa6i3n.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. HNNYsoNVusz5eXz97M+8SGJ0X1Vn4FGaV6bbRscN50f62c2S92ejBiuaGqcw8PFoLCpX10IAhcNfQy6kRqfYWyJiPESx0X6LllqkzaRkELCLvNBbeyFCS6oHMnu1L/oqN/4x/Ilm+X9AlLoo3Rax2b9Pk2T/F1GaTImJYttUvIE=
0ib9ps2j0d3v50qtelldce6kqcam5t3p.marketing.	3600	in	nsec3	1 1 0 73 0IQPL9RT0PB0FAD93F7CK5O4G92I2BEI NS DS RRSIG
0ib9ps2j0d3v50qtelldce6kqcam5t3p.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. qGJjQtYLjj1nyurMkyxoTO+4Xu2m4pGluEhQR69RrI/1KUPyvNh53K5QlsSKiIqF1TMkAHVDX5ua4q7giMtxQeijsBZcsNS1fGdS/+ruqUYn7tKMrDdMhD4DAW0tRbGepevOhuj439Fy86dhz42b8W1Pty8aJCuZI9CMGImtCtQ=
0iqpl9rt0pb0fad93f7ck5o4g92i2bei.marketing.	3600	in	nsec3	1 1 0 73 0JHM74UVH2D22N7OHLQQA15PGLKFIMTQ NS DS RRSIG
0iqpl9rt0pb0fad93f7ck5o4g92i2bei.marketing.	3600	in	rrsig	NSEC3 8 2 3600 20250922160438 20250901150438 22341 marketing. m0kKcqpLvMVeG2IOpstUcw7AvqergHtpl73KXhotWA4Hs1Usb0ivicnniM4jQOOlMghOiWs2fFUmQbm4wHE+YMUOuxUIrIWuHCPnGcoKrD/l/OrKdegO1JJ1EL06px81PBu0VgTCdHmaDAoBG77XWeZpbKZaoFPt8qlWC7UiGA4=
0jhm74uvh2d22n7ohlqqa15pglkfimtq.marketing.	3600	in	nsec3	1 1 0 73 0K7QUGG6VDLV1N024R38A1T3KRN53TRA NS DS RRSIG
