180.restaurant.	3600	in	ns	ns3.elkdata.net.
1815.restaurant.	3600	in	ns	ns1026.ui-dns.biz.
1815.restaurant.	3600	in	ns	ns1096.ui-dns.de.
1815.restaurant.	3600	in	ns	ns1098.ui-dns.com.
1815.restaurant.	3600	in	ns	ns1122.ui-dns.org.
1853.restaurant.	3600	in	ns	ns17.domaincontrol.com.
1853.restaurant.	3600	in	ns	ns18.domaincontrol.com.
1876.restaurant.	3600	in	ns	ns25.domaincontrol.com.
1876.restaurant.	3600	in	ns	ns26.domaincontrol.com.
1881.restaurant.	3600	in	ns	ns.udag.de.
1881.restaurant.	3600	in	ns	ns.udag.net.
1881.restaurant.	3600	in	ns	ns.udag.org.
188bet.restaurant.	3600	in	ns	felicity.ns.cloudflare.com.
188bet.restaurant.	3600	in	ns	jo.ns.cloudflare.com.
1910.restaurant.	3600	in	ds	15316 13 2 6278D268FA080932133EA684CB6A8E4DBF7659378773F49AF984E88B789BCAAA
1910.restaurant.	3600	in	ns	launch1.spaceship.net.
1910.restaurant.	3600	in	ns	launch2.spaceship.net.
1910.restaurant.	3600	in	rrsig	DS 8 2 3600 20260207160022 20260117150022 35283 restaurant. ofRT2Ot086Jw2nP3zxfRrZc1ZMcEHLKc73EoQXJ8xHfSk/zSUP54RJaIB4mPLk4vUFkTL5+8pZE2/a/paHFhN98LODM0o2un+EHOeFrwf0V3g1Mx6jfm5tB5TW8w+npCKisOiw+5eeJI00r6ld7M1hNrcGBDJgjef0+8TOamM6k=
1926.restaurant.	3600	in	ns	ns15.domaincontrol.com.
1926.restaurant.	3600	in	ns	ns16.domaincontrol.com.
1986.restaurant.	3600	in	ns	dns37.servidoresdns.net.
1986.restaurant.	3600	in	ns	dns38.servidoresdns.net.
19west.restaurant.	3600	in	ns	ns49.domaincontrol.com.
19west.restaurant.	3600	in	ns	ns50.domaincontrol.com.
1a-mallorca.restaurant.	3600	in	ns	ns.udag.de.
1a-mallorca.restaurant.	3600	in	ns	ns.udag.net.
1a-mallorca.restaurant.	3600	in	ns	ns.udag.org.
1a.restaurant.	3600	in	ns	ns.udag.de.
1a.restaurant.	3600	in	ns	ns.udag.net.
1a.restaurant.	3600	in	ns	ns.udag.org.
1c7e3n94ob15s2ultr2cfk8mqh7kb8fq.restaurant.	3600	in	nsec3	1 1 0 73 1DIRMJHIRHOCUCOD96DTHRN0N2MLSQP2 NS DS RRSIG
1c7e3n94ob15s2ultr2cfk8mqh7kb8fq.restaurant.	3600	in	rrsig	NSEC3 8 2 3600 20260207160022 20260117150022 35283 restaurant. qPTKkOKLHGm+sA8TzTXT4TEX/3aYWzmqCjBgHWP2sYQGZ4e27ijeOUM+nXBxnVC0B5kC0R1sViGbicSSBiNge+l/wRSogYnyHZPcVbp7ESjRqoTBCyGUJlk5kXe7cXyLQAHr+9IOTJvPMU+jHSRVkwQu7sxTnpmQb/K+unOxXsg=
1dirmjhirhocucod96dthrn0n2mlsqp2.restaurant.	3600	in	nsec3	1 1 0 73 1DPLH7M4BOE5S3ECOEG6B9GILHFIG9TK NS DS RRSIG
1dirmjhirhocucod96dthrn0n2mlsqp2.restaurant.	3600	in	rrsig	NSEC3 8 2 3600 20260212005950 20260121235950 35283 restaurant. FB+lLQcYx+C1ADr5T4JhVPYgns9AinTmM328EOqjs8uN0cSPQMF1OHts/YlK4C2+j0dI97zH42IwbnJCTqO0/NRGlDJ+6o1G6W4JKX2DJioSbgCifPu8/JSSZ4kC5dhFIlMPGuuSyvt5dfarlx+DZWIENN3EZzXc48o6rqPRNkk=
1dplh7m4boe5s3ecoeg6b9gilhfig9tk.restaurant.	3600	in	nsec3	1 1 0 73 1DVVLB41VDAT1A628B7OJ2FN9EME1TC9 NS DS RRSIG
1dplh7m4boe5s3ecoeg6b9gilhfig9tk.restaurant.	3600	in	rrsig	NSEC3 8 2 3600 20260212005950 20260121235950 35283 restaurant. J1cy0YsO99EaBDDi7T8nQikbqWOpBt/M57QNNxfzl6LGdKYINXBSC1oso9L9khUg5uthwpaH9XmAHye0vKPT0wJxsSX5hckW0xrc6DXUqqtppyUJqMxFdiPsnXndIAmL7sYRpgv7n+Ha8G42n5ueQuCgtI9c1ByIV3kQxUZDbeA=
1dvvlb41vdat1a628b7oj2fn9eme1tc9.restaurant.	3600	in	nsec3	1 1 0 73 1E3UPMPS7EMOHPMTC75FIHBFKIDB3PA2 NS DS RRSIG
1dvvlb41vdat1a628b7oj2fn9eme1tc9.restaurant.	3600	in	rrsig	NSEC3 8 2 3600 20260207160022 20260117150022 35283 restaurant. BzdC9PH3pOszTNHmtaFvKK4CiSDX0xyNWnV9qjkk8BxYiersZnp/XKWSadbf4kv5mWd0SIBAVO86d/7LiyZRIx9Elc1TqBvVEJAzwewMYEhF8MEwrSsq97cyHreeiHLThK26qJI6XcF8QI7pqimXVrVoZVySKgGnV+tU1w7bwe0=
1e3upmps7emohpmtc75fihbfkidb3pa2.restaurant.	3600	in	nsec3	1 1 0 73 1E5AR2SK0DPKINIPMFPD4V6S8RQ9BK74 NS DS RRSIG
1e3upmps7emohpmtc75fihbfkidb3pa2.restaurant.	3600	in	rrsig	NSEC3 8 2 3600 20260207160022 20260117150022 35283 restaurant. CthnKetSoiG52l4CNLTbpZqnBSOPTKmcJq9RadG5wCsx2dYJsZmJN0UERfAgp+guAfNrLz4XUOAXpzxscSKrTsxUaO0BjGKcjE4fkEQ2owEvVH4MIcHoKVF67tNOcHCFhTijgQ4MigcJcmWeT41CjYcfnwuuyS9j2gabeLSnA/M=
1e5ar2sk0dpkinipmfpd4v6s8rq9bk74.restaurant.	3600	in	nsec3	1 1 0 73 1ECUTKH7802SF1RDTP645I3M0J1I61QC NS DS RRSIG
1e5ar2sk0dpkinipmfpd4v6s8rq9bk74.restaurant.	3600	in	rrsig	NSEC3 8 2 3600 20260207160022 20260117150022 35283 restaurant. n2J3AeAWGFxRpCK3Md8UjUHgjZXrFolPiVVm1e/wO9x13XBFDAFZZ7rCz33c7sVnHuhL6khRzFuZau9V0jinyxq4lXjNswPMzWBNIb/xJAzWpmX5zfmFkQ0LmLLsZyekgB+9pFT3ms7r8TwSh1R/ufRU4yiu7M1P3aOffXvKG/8=
1ecutkh7802sf1rdtp645i3m0j1i61qc.restaurant.	3600	in	nsec3	1 1 0 73 1I29JNSK98P41RRR5K8K1VQ27CCUQ78P NS DS RRSIG
