21nova.wales.	172800	in	ns	dns1.idp365.net.
21nova.wales.	172800	in	ns	dns2.idp365.net.
21nova.wales.	172800	in	ns	dns3.idp365.net.
23win.wales.	172800	in	ns	kirk.ns.cloudflare.com.
23win.wales.	172800	in	ns	rosalyn.ns.cloudflare.com.
247.wales.	172800	in	ns	demi.ns.cloudflare.com.
247.wales.	172800	in	ns	rudy.ns.cloudflare.com.
247plumbing.wales.	172800	in	ns	ns.heartinternet.uk.
247plumbing.wales.	172800	in	ns	ns2.heartinternet.uk.
24bavteaq0p2mu2fqdit0d34kbph5853.wales.	3600	in	nsec3	1 1 0 - 276HIV9K8QUV2HATDKJOPSKRNPR18D9G NS DS RRSIG
24bavteaq0p2mu2fqdit0d34kbph5853.wales.	3600	in	rrsig	NSEC3 8 2 3600 20260224114658 20260120132539 5890 wales. dXyX2iBLWDQuIwYoFilYlgbqoB6HXfnDqHxJVCjTFiyDFApp4YJ/csyGn7A5vPnKqp+VCNEhlTc5WCAAX2DL+BYbwrvTpFBzmJ1P/dlibIeM441Q3RBIe6DGVfNsFpGSp1Sz3bn32Ww256atto5flsrlrpigsAMMXs8DXAm8radHaUkC1XUJpdlLmgVFfZvolZKySx/srymeNlP03Q0+254Oa544V3XpgW0Ya08FDloUCmjwT/HVNqgZgZ0Rf24f2iXpGZ8d11qo92sraoHUNnnwhS2PPMsf+ZlgWMNSd+WiQ8oevZhX9FYbnIOpc3xpKVlgSLqkmtqX5ltMOYyoYw==
24hourculture.wales.	172800	in	ns	junade.ns.cloudflare.com.
24hourculture.wales.	172800	in	ns	zainab.ns.cloudflare.com.
25468.wales.	172800	in	ns	ns1.dnsip.com.
25468.wales.	172800	in	ns	ns2.dnsip.com.
26198.wales.	172800	in	ns	ns1.dnsip.com.
26198.wales.	172800	in	ns	ns2.dnsip.com.
27546.wales.	172800	in	ns	ns1.dnsip.com.
27546.wales.	172800	in	ns	ns2.dnsip.com.
276hiv9k8quv2hatdkjopskrnpr18d9g.wales.	3600	in	nsec3	1 1 0 - 28J068C9EE1N7MALUKMF63TEKABTVL08 NS DS RRSIG
