xn----rmckbgi2oqaco.xn--ngbc5azd.	3600	in	ns	ns5.101domain.com.
xn----rmckcm2a0a4c0d1bnx.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----rmckcm2a0a4c0d1bnx.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----rmckcm2a0a4c0d1bnx.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----rmckcmwh3a9nenx.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----rmckcmwh3a9nenx.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----rmckcmwh3a9nenx.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----rmclcd7b0juaz.xn--ngbc5azd.	3600	in	ns	ns1.101domain.com.
xn----rmclcd7b0juaz.xn--ngbc5azd.	3600	in	ns	ns2.101domain.com.
xn----rmclcd7b0juaz.xn--ngbc5azd.	3600	in	ns	ns5.101domain.com.
xn----rmcm8bb4gtaelmhgl.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----rmcm8bb4gtaelmhgl.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----rmcm8bb4gtaelmhgl.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----rmcm8bb4gxaklg.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----rmcm8bb4gxaklg.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----rmcm8bb4gxaklg.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----rmcmbj6cxgualt.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----rmcmbj6cxgualt.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----rmcmbj6cxgualt.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----rmcmzud1kegfv.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----rmcmzud1kegfv.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----rmcmzud1kegfv.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----umcfbbaameo6grdughcr9f.xn--ngbc5azd.	3600	in	ns	dns1.idp365.net.
xn----umcfbbaameo6grdughcr9f.xn--ngbc5azd.	3600	in	ns	dns2.idp365.net.
xn----umcfbbaameo6grdughcr9f.xn--ngbc5azd.	3600	in	ns	dns3.idp365.net.
xn----vmcebbaqf5dvcva7kep.xn--ngbc5azd.	3600	in	ns	ns3.emirates.com.
xn----vmcebbaqf5dvcva7kep.xn--ngbc5azd.	3600	in	ns	pdns124.ultradns.biz.
xn----vmcebbaqf5dvcva7kep.xn--ngbc5azd.	3600	in	ns	pdns124.ultradns.com.
xn----vmcebbaqf5dvcva7kep.xn--ngbc5azd.	3600	in	ns	pdns124.ultradns.net.
xn----vmcebbaqf5dvcva7kep.xn--ngbc5azd.	3600	in	ns	pdns124.ultradns.org.
xn----vmcebbav3cf7c1inai7c.xn--ngbc5azd.	3600	in	ns	ns1.markmonitor.com.
xn----vmcebbav3cf7c1inai7c.xn--ngbc5azd.	3600	in	ns	ns2.markmonitor.com.
xn----vmcebbav3cf7c1inai7c.xn--ngbc5azd.	3600	in	ns	ns3.markmonitor.com.
xn----vmcebbav3cf7c1inai7c.xn--ngbc5azd.	3600	in	ns	ns4.markmonitor.com.
xn----vmcebbav3cf7c1inai7c.xn--ngbc5azd.	3600	in	ns	ns5.markmonitor.com.
xn----vmcebbav3cf7c1inai7c.xn--ngbc5azd.	3600	in	ns	ns6.markmonitor.com.
xn----vmcebbav3cf7c1inai7c.xn--ngbc5azd.	3600	in	ns	ns7.markmonitor.com.
xn----ymc9faejmv.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----ymc9faejmv.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----ymc9faejmv.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----ymca8bg4gqalqd.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----ymca8bg4gqalqd.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----ymca8bg4gqalqd.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----ymcaabaamet5f6d1fcem9f.xn--ngbc5azd.	3600	in	ns	dns1.idp365.net.
xn----ymcaabaamet5f6d1fcem9f.xn--ngbc5azd.	3600	in	ns	dns2.idp365.net.
xn----ymcaabaamet5f6d1fcem9f.xn--ngbc5azd.	3600	in	ns	dns3.idp365.net.
xn----ymcaabbhfg1gbec7cwjwathb6b7dlb.xn--ngbc5azd.	3600	in	ns	ns1.101domain.com.
xn----ymcaabbhfg1gbec7cwjwathb6b7dlb.xn--ngbc5azd.	3600	in	ns	ns2.101domain.com.
xn----ymcaabbhfg1gbec7cwjwathb6b7dlb.xn--ngbc5azd.	3600	in	ns	ns5.101domain.com.
xn----ymcaabghe5de1gf3khhc8g.xn--ngbc5azd.	3600	in	ns	ns3.emirates.com.
xn----ymcaabghe5de1gf3khhc8g.xn--ngbc5azd.	3600	in	ns	pdns124.ultradns.biz.
xn----ymcaabghe5de1gf3khhc8g.xn--ngbc5azd.	3600	in	ns	pdns124.ultradns.com.
xn----ymcaabghe5de1gf3khhc8g.xn--ngbc5azd.	3600	in	ns	pdns124.ultradns.net.
xn----ymcaabghe5de1gf3khhc8g.xn--ngbc5azd.	3600	in	ns	pdns124.ultradns.org.
xn----ymcab7ci5jkrd.xn--ngbc5azd.	3600	in	ns	nsgbr.comlaude.co.uk.
xn----ymcab7ci5jkrd.xn--ngbc5azd.	3600	in	ns	nssui.comlaude.ch.
xn----ymcab7ci5jkrd.xn--ngbc5azd.	3600	in	ns	nsusa.comlaude.net.
xn----ymcabaacdn3byb2g4e1acbcs4c.xn--ngbc5azd.	3600	in	ns	ns-224-b.gandi.net.
