3gen.insure.	3600	in	ds	55950 13 2 60B969144103ACF838D61F1CA4E9E4FB2DBCDBF3E827538A039BFC9B844A812C
3gen.insure.	3600	in	ns	ns-1033.awsdns-01.org.
3gen.insure.	3600	in	ns	ns-2009.awsdns-59.co.uk.
3gen.insure.	3600	in	ns	ns-71.awsdns-08.com.
3gen.insure.	3600	in	ns	ns-950.awsdns-54.net.
3gen.insure.	3600	in	rrsig	DS 8 2 3600 20250922161046 20250901151046 16758 insure. SUnSZdDbR+QTUdvyW0X4+o7JBT6uAkZfk6qvd6l7sCVazj3vdS1rfFkdqXQ44dtBW7jRSZ9Bf0Dg4uYJW+bG/vWb1Ni2GZ72Ph0AR3PFZpDcoHqu0dSwf9dlDL4XRXULg5XG6SkDpB6l1wheKa3aPqzFQGE1fjIiXP718YDVc1E=
3k62vmdtgaei4mb8pj79rm6rk5vja10j.insure.	3600	in	nsec3	1 1 0 73 3QK7AK2SQTRF6PP7AA6B7KKUGF4EO58L NS DS RRSIG
3k62vmdtgaei4mb8pj79rm6rk5vja10j.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. sqyzyPRt/vnuX/OPL1NuTFOU1f/TeRV1veODLwMwtJuuFLJCvN1fibHI5DCxvw/Iic8pnr5QIcQ6B+Gg4v7L+L1xt6gg6diIkdHF4SvCna7CDNpA2uHcPrBDJIwrUzHZZqm4FzzSyX8UZAo2ffOHv9U8r1qF9ZoGme74WYYWCQs=
3p.insure.	3600	in	ns	emily.ns.cloudflare.com.
3p.insure.	3600	in	ns	roan.ns.cloudflare.com.
3pl.insure.	3600	in	ns	ns1.crazydomains.com.
3pl.insure.	3600	in	ns	ns2.crazydomains.com.
3qk7ak2sqtrf6pp7aa6b7kkugf4eo58l.insure.	3600	in	nsec3	1 1 0 73 3TRNSFINF4R0PRNQKL4H5M815KU5RBC4 NS DS RRSIG
3qk7ak2sqtrf6pp7aa6b7kkugf4eo58l.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. L6twJqb/50a1GvHLY7lxCdw8ZCwPwVLa7AvXiBHxAXy+z6+K/pj64ENjLpnZbNeSICSCg806yRKYPqnML8nbvR5C7QbFbAiScjfLZLp6Z+QcLheUIVfIZWy2TMUar63rcW48OEAOFQZ+U+kqVujt2t9rgfHmAFgEE9GWqg7mRF0=
3trnsfinf4r0prnqkl4h5m815ku5rbc4.insure.	3600	in	nsec3	1 1 0 73 45SVL92C3JG40O2ARTK8BMPRK286S6FD NS DS RRSIG
3trnsfinf4r0prnqkl4h5m815ku5rbc4.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. ZUbqd2GHz3GTELQO0fuFkNMy1Y9GS/fqgjP04QnM/a7bsTxZ9EitMFElkQZPjiAgZJcfqxnBDiG/b9/6Vx8kGuHcNX29mYuHX1nkT/auz/bVVwpJKeQzeuOsm2nqP2FB9edYI8uh8KJowj5zwXMQSEvMzC7zsBKdVBSeA7K+oL4=
4086.insure.	3600	in	ns	extdns1.banklife.com.
4086.insure.	3600	in	ns	ns1.conseco.com.
4086.insure.	3600	in	ns	ns2.conseco.com.
44n.insure.	3600	in	ns	cecelia.ns.cloudflare.com.
44n.insure.	3600	in	ns	chad.ns.cloudflare.com.
45svl92c3jg40o2artk8bmprk286s6fd.insure.	3600	in	nsec3	1 1 0 73 4NF6P888M8VNGP0NJPJJHOACKR4BF679 NS DS RRSIG
45svl92c3jg40o2artk8bmprk286s6fd.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. Cg9qpuXF/wjRQcUA7DrEzxExHCppA4Z2NdrvBVFO+Hgx9UuAnHHQVm90xzFYxn3HJigiMDqjOZgrb4SC6bi3sf1NdceLVhnuqhrAzr7aFjuHtdkE8suLDzzoRJxuZbCjDIPzVvoKrNyODwawOwnVmSVP2G4b3y/U/TzGZrRF+9E=
4agent.insure.	3600	in	ns	ns57.worldnic.com.
4agent.insure.	3600	in	ns	ns58.worldnic.com.
4l.insure.	3600	in	ns	ns.second-ns.com.
4l.insure.	3600	in	ns	ns1.your-server.de.
4l.insure.	3600	in	ns	ns3.second-ns.de.
4life.insure.	3600	in	ns	ns29.domaincontrol.com.
4life.insure.	3600	in	ns	ns30.domaincontrol.com.
4nf6p888m8vngp0njpjjhoackr4bf679.insure.	3600	in	nsec3	1 1 0 73 4OR8QQE1I5P6OAD94FULJFK0SQI9BDNE NS DS RRSIG
4nf6p888m8vngp0njpjjhoackr4bf679.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. l6ZqAR9WtoKjI0AALv1Lh9BMYtD+wxgscFO09NwYr/F58tCYTfF7tSuEUD8F9t8dh8MsUjQipUN1T/Vl1euzsHKomgQsshCQCJGiw3JgxqVc7c1+igQSQ982Vx7krbE3N/kl/E5fBelgPRm5FhseuoLVSltBxwlFiBrjPf+IsTk=
4or8qqe1i5p6oad94fuljfk0sqi9bdne.insure.	3600	in	nsec3	1 1 0 73 4VLREINQ6M496JUD7GQMC9N1BQ5BGOTG NS DS RRSIG
4or8qqe1i5p6oad94fuljfk0sqi9bdne.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. CKCkTq/xABnbasbqPAQx2ofDpBWb0IxCTvPmxhml4nuhgEZTRcW/atrh2KJZPUymZvReDc9sN2j1XPgYcklmLItHo4VLbDSe9sMb5OrNlbzSsZv+DO1Qh0kpe5azZ47pmc6ekL0EfOcMpUPLZj9dS+6WaUnnXk0c9h1lxk+pF9w=
4pl.insure.	3600	in	ns	ns1.crazydomains.com.
4pl.insure.	3600	in	ns	ns2.crazydomains.com.
4vlreinq6m496jud7gqmc9n1bq5bgotg.insure.	3600	in	nsec3	1 1 0 73 559HCCHVIP4B229MPECNLK0LVFCH286E NS DS RRSIG
4vlreinq6m496jud7gqmc9n1bq5bgotg.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. ZMyX+Y0v50pUNprtg8cey42nWWYniXTgWDNQ7ex54SgBWBiTr2rjdnNBWFGKA/Je7sArMkUG53fb2cGw/nYIV4CTjLi9RI3i7W0z4INkKyYNdH+tQGvC4t0XhwCc1SyZYjHb4UthWmTmTCpIjJAGEkOCQ5rxb5TwjL2kXS1381c=
4wd.insure.	3600	in	ns	ns1.ms454.parklogic.com.
4wd.insure.	3600	in	ns	ns2.ms454.parklogic.com.
4x4.insure.	3600	in	ns	ns35.domaincontrol.com.
4x4.insure.	3600	in	ns	ns36.domaincontrol.com.
5050.insure.	3600	in	ns	ns45.domaincontrol.com.
5050.insure.	3600	in	ns	ns46.domaincontrol.com.
50plusinsuranceservices.insure.	3600	in	ns	dns1.name-services.com.
50plusinsuranceservices.insure.	3600	in	ns	dns2.name-services.com.
50plusinsuranceservices.insure.	3600	in	ns	dns3.name-services.com.
50plusinsuranceservices.insure.	3600	in	ns	dns4.name-services.com.
50plusinsuranceservices.insure.	3600	in	ns	dns5.name-services.com.
559hcchvip4b229mpecnlk0lvfch286e.insure.	3600	in	nsec3	1 1 0 73 57KFDQKV5T7QAL8LDDEOG8IRC5D79VCM NS DS RRSIG
559hcchvip4b229mpecnlk0lvfch286e.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. pyKbEtWqN9n5652/Di/4WGmPDWnYGEKbOgkIPCdS59sAibU2vQ/EDzNTbXQzpkuFC4QBX2xGgNwLtGHdVFSN7uvg5cIn0EGTCZ/vAj++K6uLj1xNDPNTWhUtTKyCV0yfbZDJRYFHLMlr15Tjaj2R8f+L1q4D5JwP+xPh7DkgOKU=
57kfdqkv5t7qal8lddeog8irc5d79vcm.insure.	3600	in	nsec3	1 1 0 73 5A419DC266SLEGUI7MAS04APG7UQ51O4 NS DS RRSIG
57kfdqkv5t7qal8lddeog8irc5d79vcm.insure.	3600	in	rrsig	NSEC3 8 2 3600 20250922161046 20250901151046 16758 insure. LKYH/WOY307t3ck1RxQ0BDPI7eRY4uZxQFTQdZG9wVg/vN9d1ImTEUa7xS0mIDxHQEvD/XwwdI4yNZa6/CSaIuHUWQuQWeL+qXeMLSD4dPsC1U0I/O38xkU7c52vhovdIY4VE72e9nbzye7n+3IXF6O2K7OG4FWlujadQhzDKLM=
5a419dc266slegui7mas04apg7uq51o4.insure.	3600	in	nsec3	1 1 0 73 5GQ6OGMORKAP7E8KB9MVHD368C568AFO NS DS RRSIG
