5p3grtk1c5p5mugrvfvdb0hlf1aqvggm.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. Z+8sB13epdsPNlDBEfK6pYJSsPTlTBodPCnSUEkTjLh7sgmyivFh8M9hqqDLXQu07XtmXDmfVbm6QHzKVQtNz4KnQoE3xiZhyuyj3wfM/+aSQiqjJzmHOR9r2FWWsFyrtmKCYSEnF7CuyU0pMtewZj9xKuJwVWnYkEVPEiGwXSo=
60t772prq8miru38ujbomcu0uncfed1v.hospital.	3600	in	nsec3	1 1 0 73 61443HO3HM0HNG1A7FGNVRQG0SLVAAK1 NS DS RRSIG
60t772prq8miru38ujbomcu0uncfed1v.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. TBX9W3MUBVd9UjNThsG+6+ccquPEEzsIzbGxgI/vUGvTs8a1qKuccfhVMylW4bqMUZ9IT/IOK2oQowd+pOvJTOCxRSUuoNwbv6/fBkrN/3tgYACFEEP34Jxyualk0TtyZTzU6CJKoosht7t8F7tzCVhC+lRq8hKZvZnBsUGqvWw=
61443ho3hm0hng1a7fgnvrqg0slvaak1.hospital.	3600	in	nsec3	1 1 0 73 7AA6T75FK20LLV6FPGA8GM93I9VIK24U NS DS RRSIG
61443ho3hm0hng1a7fgnvrqg0slvaak1.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. kenuxKSGtpIkB4Ae1NjXUZy8vRqffx6VkfsZJUZ0fPBAl98/OdWBXXamhZTVQ9O0HiI9YQfrory1cdvO25V8NT2e4m8+YgcYLqn6K/zyApVqO9z6IfW4GschgYWRpv1H5MrhHQJ0RH33Ai04wuVZ79yhVTmUf2hWWxIYauij1Z0=
789club.hospital.	3600	in	ns	clark.ns.cloudflare.com.
789club.hospital.	3600	in	ns	kinsley.ns.cloudflare.com.
7aa6t75fk20llv6fpga8gm93i9vik24u.hospital.	3600	in	nsec3	1 1 0 73 7SQEN2ER22DV33RMCD0ANE4POIEGUM14 NS DS RRSIG
7aa6t75fk20llv6fpga8gm93i9vik24u.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. cdwJlEILYFq/NhWEN3qsTjODj3+zR67sQu/hJqtDqGBnf4Nnxfbg3TU2ia59sjeepZn6RF5cr766wp+0GcifTQTJvpdYrClsknRaJoGsEPFRWSTqbWtheMLWhfQhN/kZ7sYtjInkhoXnVTizFE1ViBoxRAVPuWaJ3shywHqdZE8=
7sqen2er22dv33rmcd0ane4poiegum14.hospital.	3600	in	nsec3	1 1 0 73 83SDJQ2O895PJ21VH2HFQ7DEHTD5QRFD NS DS RRSIG
7sqen2er22dv33rmcd0ane4poiegum14.hospital.	3600	in	rrsig	NSEC3 8 2 3600 20250930155640 20250909145640 12573 hospital. f34zzxtwZsxnvdGrqxyPWC4ELkl6Km8uBLdsftOOgT7+72bOKQjhWhEReXhLUzgGrfsW0mWPXlsQngHQLBgKhM2HMeRrZ2N1BZX/C0b22I6URv4E09b8PBIF2AjK55aYNBUrnZg/WBx87t9muy2blSUiO2eX2U61EtmEAikxzM4=
7vital.hospital.	3600	in	ds	65276 8 2 F830E50D32B9819336302EF4A16E91B65D7D56C1200CB95AD06B02CDC0D8636B
7vital.hospital.	3600	in	ns	ns-cloud-c1.googledomains.com.
7vital.hospital.	3600	in	ns	ns-cloud-c2.googledomains.com.
7vital.hospital.	3600	in	ns	ns-cloud-c3.googledomains.com.
7vital.hospital.	3600	in	ns	ns-cloud-c4.googledomains.com.
