abt-online.capetown.	7200	in	ns	main.nameserver2.co.za.
abt-online.capetown.	7200	in	ns	main.nameserver3.co.za.
abt-online.capetown.	7200	in	ns	main.nameserver4.co.za.
acacia.capetown.	7200	in	ns	linus.ns.1-grid.co.uk.
acacia.capetown.	7200	in	ns	linus.ns.1-grid.co.za.
acacia.capetown.	7200	in	ns	linus.ns.1-grid.com.
acacia.capetown.	7200	in	ns	linus.ns.1-grid.net.
academy.capetown.	7200	in	ns	ns1.dns-h.com.
academy.capetown.	7200	in	ns	ns1.host-h.net.
academy.capetown.	7200	in	ns	ns2.dns-h.com.
academy.capetown.	7200	in	ns	ns2.host-h.net.
accenture.capetown.	7200	in	ns	amrns1501.accenture.com.
accenture.capetown.	7200	in	ns	apans3501.accenture.com.
accenture.capetown.	7200	in	ns	cfans1001.accenture.com.
accenture.capetown.	7200	in	ns	cfans1002.accenture.com.
accenture.capetown.	7200	in	ns	emens3501.accenture.com.
accesscontrol.capetown.	7200	in	ns	ns1.dns-h.com.
accesscontrol.capetown.	7200	in	ns	ns1.host-h.net.
accesscontrol.capetown.	7200	in	ns	ns2.host-h.net.
accommodation.capetown.	7200	in	ns	ns1.hostednameservers.com.
accommodation.capetown.	7200	in	ns	ns2.hostednameservers.net.
accommodation.capetown.	7200	in	ns	ns3.hostednameservers.com.
accommodation.capetown.	7200	in	ns	ns4.hostednameservers.net.
accommodationin.capetown.	7200	in	ns	ns1.siteground.net.
accommodationin.capetown.	7200	in	ns	ns2.siteground.net.
accountant.capetown.	7200	in	ns	ns1.sedoparking.com.
accountant.capetown.	7200	in	ns	ns2.sedoparking.com.
accountants.capetown.	7200	in	ns	buynow.nametime.com.
accountants.capetown.	7200	in	ns	forsale.nametime.com.
accountingfirm.capetown.	7200	in	ns	ns1.dns-h.com.
accountingfirm.capetown.	7200	in	ns	ns1.host-h.net.
accountingfirm.capetown.	7200	in	ns	ns2.host-h.net.
accso.capetown.	7200	in	ns	ns1018.ui-dns.de.
accso.capetown.	7200	in	ns	ns1050.ui-dns.org.
accso.capetown.	7200	in	ns	ns1060.ui-dns.com.
accso.capetown.	7200	in	ns	ns1067.ui-dns.biz.
acdcdanceembassy.capetown.	7200	in	ns	ns1.host-ww.net.
acdcdanceembassy.capetown.	7200	in	ns	ns2.host-ww.net.
acdcdanceembassy.capetown.	7200	in	ns	ns3.host-ww.net.
acdcdanceembassy.capetown.	7200	in	ns	ns4.host-ww.net.
acdcdanceintersect.capetown.	7200	in	ns	ns1.host-ww.net.
acdcdanceintersect.capetown.	7200	in	ns	ns2.host-ww.net.
acdcdanceintersect.capetown.	7200	in	ns	ns3.host-ww.net.
acdcdanceintersect.capetown.	7200	in	ns	ns4.host-ww.net.
aceman.capetown.	7200	in	ns	ns1.dns-h.com.
aceman.capetown.	7200	in	ns	ns1.host-h.net.
aceman.capetown.	7200	in	ns	ns2.dns-h.com.
aceman.capetown.	7200	in	ns	ns2.host-h.net.
aclabs.capetown.	7200	in	ns	linus.ns.1-grid.co.uk.
aclabs.capetown.	7200	in	ns	linus.ns.1-grid.co.za.
aclabs.capetown.	7200	in	ns	linus.ns.1-grid.com.
aclabs.capetown.	7200	in	ns	linus.ns.1-grid.net.
acorn.capetown.	7200	in	ns	ns1.dns-h.com.
acorn.capetown.	7200	in	ns	ns1.host-h.net.
acorn.capetown.	7200	in	ns	ns2.dns-h.com.
acorn.capetown.	7200	in	ns	ns2.host-h.net.
actionclimate.capetown.	7200	in	ns	ns.dns1.co.za.
actionclimate.capetown.	7200	in	ns	ns.dns2.co.za.
actionclimate.capetown.	7200	in	ns	ns.otherdns.com.
actionclimate.capetown.	7200	in	ns	ns.otherdns.net.
activities.capetown.	7200	in	ns	ns.dns1.co.za.
activities.capetown.	7200	in	ns	ns.dns2.co.za.
activities.capetown.	7200	in	ns	ns.otherdns.com.
activities.capetown.	7200	in	ns	ns.otherdns.net.
actuary.capetown.	7200	in	ns	ns1.spindoctor.mobi.
actuary.capetown.	7200	in	ns	ns2.spindoctor.mobi.
acupuncture.capetown.	7200	in	ns	linus.ns.1-grid.co.uk.
acupuncture.capetown.	7200	in	ns	linus.ns.1-grid.co.za.
acupuncture.capetown.	7200	in	ns	linus.ns.1-grid.com.
acupuncture.capetown.	7200	in	ns	linus.ns.1-grid.net.
adamsadams.capetown.	7200	in	ns	ns1.iptwins.net.
adamsadams.capetown.	7200	in	ns	ns2.iptwins.net.
adamsadams.capetown.	7200	in	ns	ns3.iptwins.com.
adamsadams.capetown.	7200	in	ns	ns4.iptwins.com.
adaptationfutures2018.capetown.	7200	in	ns	ns1.regery.net.
adaptationfutures2018.capetown.	7200	in	ns	ns2.regery.net.
adaptationfutures2018.capetown.	7200	in	ns	ns3.regery.net.
addictionrecoverycentre.capetown.	7200	in	ns	vpns1.webeasy.co.za.
addictionrecoverycentre.capetown.	7200	in	ns	vpns2.webeasy.co.za.
addicts.capetown.	7200	in	ns	ns1.hostednameservers.com.
addicts.capetown.	7200	in	ns	ns2.hostednameservers.net.
addicts.capetown.	7200	in	ns	ns3.hostednameservers.com.
addicts.capetown.	7200	in	ns	ns4.hostednameservers.net.
address.capetown.	7200	in	ns	alla.ns.cloudflare.com.
address.capetown.	7200	in	ns	will.ns.cloudflare.com.
adhara.capetown.	7200	in	ns	dns49.servidoresdns.net.
adhara.capetown.	7200	in	ns	dns50.servidoresdns.net.
adjuh.capetown.	7200	in	ns	vip7.alidns.com.
adjuh.capetown.	7200	in	ns	vip8.alidns.com.
admit.capetown.	7200	in	ns	ns1.hostednameservers.com.
admit.capetown.	7200	in	ns	ns2.hostednameservers.net.
admit.capetown.	7200	in	ns	ns3.hostednameservers.com.
admit.capetown.	7200	in	ns	ns4.hostednameservers.net.
adnkronos.capetown.	7200	in	ns	ns1.register.it.
adnkronos.capetown.	7200	in	ns	ns2.register.it.
adoptingbitcoin.capetown.	7200	in	ns	ns1.clusterdns.co.za.
adoptingbitcoin.capetown.	7200	in	ns	ns2.clusterdns.co.za.
