115.game.	3600	in	ns	ns-1723.awsdns-23.co.uk.
115.game.	3600	in	ns	ns-717.awsdns-25.net.
115.game.	900	in	nsec	11ic.game. NS RRSIG NSEC
115.game.	900	in	rrsig	NSEC 13 2 900 20250905153433 20250806140433 25267 game. vxGPuAh04Kdzvq/hdx0+P0I2E5mFMAWjpwGkJBgvGQMvC6bfl76thdvmUdzK56KQI6ITv75FTfsfKYrCfU2iNA==
11ic.game.	3600	in	ns	bella.ns.cloudflare.com.
11ic.game.	3600	in	ns	razvan.ns.cloudflare.com.
11ic.game.	900	in	nsec	11xgame.game. NS RRSIG NSEC
11ic.game.	900	in	rrsig	NSEC 13 2 900 20250915101115 20250816084115 25267 game. btaWxjBwmzI3Q3RfRCw+R1j+r9vfLdCiNomiAXhAp2kisdgKGXAsSUlGTBzbzo45gXgKiKRp4b/8BkQNGp8nFg==
11xgame.game.	3600	in	ns	ns41.domaincontrol.com.
11xgame.game.	3600	in	ns	ns42.domaincontrol.com.
11xgame.game.	900	in	nsec	11xplay.game. NS RRSIG NSEC
11xgame.game.	900	in	rrsig	NSEC 13 2 900 20250907183021 20250808170021 25267 game. aA8J1CTFe5rmSndhjNWH7/u/04/aLRdtTTe1XRcCB4gzC9w3aWsbfMSuCIovOvvbabPwK6/koAP50wbFw8l6Lg==
11xplay.game.	3600	in	ns	dns1.registrar-servers.com.
11xplay.game.	3600	in	ns	dns2.registrar-servers.com.
11xplay.game.	900	in	nsec	12.game. NS RRSIG NSEC
11xplay.game.	900	in	rrsig	NSEC 13 2 900 20250907183021 20250808170021 25267 game. cMcs+oESUlN5/XyA/KGYRwG6RDyEglsNPFD79OW4UGH/eUSaOH4E2qjzIMrBc6VJUzJzizoQmqWGD8K+wFL9Zg==
12.game.	3600	in	ns	ns-1474.awsdns-56.org.
12.game.	3600	in	ns	ns-2031.awsdns-61.co.uk.
12.game.	3600	in	ns	ns-372.awsdns-46.com.
12.game.	3600	in	ns	ns-738.awsdns-28.net.
12.game.	900	in	nsec	122bet.game. NS RRSIG NSEC
12.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. f7dddc3v8JU4SkovZUr9OF9ng90D0eishejs1Bbm9aT5LmVJoHbwdtjF0k9PqZ5pJmEJ1BY3iBX0ieWFjgFguQ==
122bet.game.	3600	in	ns	ns07.domaincontrol.com.
122bet.game.	3600	in	ns	ns08.domaincontrol.com.
122bet.game.	900	in	nsec	123.game. NS RRSIG NSEC
122bet.game.	900	in	rrsig	NSEC 13 2 900 20250913102727 20250814085727 25267 game. ELn+WM9GOXAT6gYJQsdBTYzo/ca399P1fs1xsFOM0nnK4+fjZze34iEqI6N6dDO6IrkFeH7tkhp9NUeNfjMFOQ==
123.game.	3600	in	ns	evan.ns.cloudflare.com.
123.game.	3600	in	ns	kami.ns.cloudflare.com.
123.game.	900	in	nsec	123go.game. NS RRSIG NSEC
123.game.	900	in	rrsig	NSEC 13 2 900 20250922065334 20250823052334 25267 game. NFBe7dQMUf/S5rYOLTGwFf/01Ms7vBSLVJATkcp5CGk7xpQdnkhgPkAjFXf2Zeg4fnm3uvR25oNFRR1rJVo98w==
123go.game.	3600	in	ns	evangeline.ns.cloudflare.com.
123go.game.	3600	in	ns	kip.ns.cloudflare.com.
123go.game.	900	in	nsec	123ok.game. NS RRSIG NSEC
123go.game.	900	in	rrsig	NSEC 13 2 900 20250905054802 20250806041802 25267 game. LbDA1knpisDcEfdqiFERw8Z6PVBomedrdfNMFP7DUD3KIXZNC6D4XDmIgXlM0ZyHj8Zh2gkZv6TvfoKfeLqetw==
123ok.game.	3600	in	ns	ns01.domaincontrol.com.
123ok.game.	3600	in	ns	ns02.domaincontrol.com.
123ok.game.	900	in	nsec	123win.game. NS RRSIG NSEC
123ok.game.	900	in	rrsig	NSEC 13 2 900 20250905054802 20250806041802 25267 game. LoZ1Sy/xMqKoruE4W+b/6NrpB/gTZSGHRe6KguxN5DlWx3gP3K1G8ca9oXVDe8APn3qRyiJTq0kCOmOtZ0VptQ==
123win.game.	3600	in	ns	ns1.dyna-ns.net.
123win.game.	3600	in	ns	ns2.dyna-ns.net.
123win.game.	900	in	nsec	12b.game. NS RRSIG NSEC
