1-fcu.berlin.	14400	in	ns	ns.udag.de.
1-fcu.berlin.	14400	in	ns	ns.udag.net.
1-fcu.berlin.	14400	in	ns	ns.udag.org.
1.berlin.	14400	in	ns	ns1.sedoparking.com.
1.berlin.	14400	in	ns	ns2.sedoparking.com.
10-10-2015.berlin.	14400	in	ns	docks19.rzone.de.
10-10-2015.berlin.	14400	in	ns	shades12.rzone.de.
10.berlin.	14400	in	ns	ns1.sedoparking.com.
10.berlin.	14400	in	ns	ns2.sedoparking.com.
100-prozent-haut.berlin.	14400	in	ns	ns5.kasserver.com.
100-prozent-haut.berlin.	14400	in	ns	ns6.kasserver.com.
100-tage.berlin.	14400	in	ns	ns01.versatel.de.
100-tage.berlin.	14400	in	ns	ns02.versatel.de.
100-tage.berlin.	14400	in	ns	ns03.versatel.de.
100.berlin.	14400	in	ns	ns.udag.de.
100.berlin.	14400	in	ns	ns.udag.net.
100.berlin.	14400	in	ns	ns.udag.org.
1000.berlin.	14400	in	ns	ns-de.1and1-dns.biz.
1000.berlin.	14400	in	ns	ns-de.1and1-dns.com.
1000.berlin.	14400	in	ns	ns-de.1and1-dns.de.
1000.berlin.	14400	in	ns	ns-de.1and1-dns.org.
10001.berlin.	14400	in	ns	auth1.artfiles.de.
10001.berlin.	14400	in	ns	auth2.artfiles.de.
1000hands.berlin.	14400	in	ns	ns.second-ns.com.
1000hands.berlin.	14400	in	ns	ns1.your-server.de.
1000hands.berlin.	14400	in	ns	ns3.second-ns.de.
1000k.berlin.	14400	in	ns	ns1019.ui-dns.org.
1000k.berlin.	14400	in	ns	ns1031.ui-dns.biz.
1000k.berlin.	14400	in	ns	ns1049.ui-dns.com.
1000k.berlin.	14400	in	ns	ns1087.ui-dns.de.
1001.berlin.	14400	in	ns	docks08.rzone.de.
1001.berlin.	14400	in	ns	shades08.rzone.de.
1001catering.berlin.	14400	in	ns	docks10.rzone.de.
1001catering.berlin.	14400	in	ns	shades12.rzone.de.
100gramm.berlin.	14400	in	ns	ns1.variomedia.de.
100gramm.berlin.	14400	in	ns	ns2.variomedia.de.
100hoefe.berlin.	14400	in	ns	docks10.rzone.de.
100hoefe.berlin.	14400	in	ns	shades07.rzone.de.
100jahrerevolution.berlin.	14400	in	ns	ns1.dns-parking.com.
100jahrerevolution.berlin.	14400	in	ns	ns2.dns-parking.com.
100m-zukunft.berlin.	14400	in	ns	ns6.pixelx.de.
100m-zukunft.berlin.	14400	in	ns	ns7.pixelx.de.
100m-zukunft.berlin.	14400	in	ns	ns8.pixelx.de.
100mark.berlin.	14400	in	ns	docks16.rzone.de.
100mark.berlin.	14400	in	ns	shades20.rzone.de.
100meilen.berlin.	14400	in	ns	ns.udag.de.
100meilen.berlin.	14400	in	ns	ns.udag.net.
100meilen.berlin.	14400	in	ns	ns.udag.org.
100mzukunft.berlin.	14400	in	ns	ns6.pixelx.de.
100mzukunft.berlin.	14400	in	ns	ns7.pixelx.de.
100mzukunft.berlin.	14400	in	ns	ns8.pixelx.de.
100pro.berlin.	14400	in	ns	ns01.one.com.
100pro.berlin.	14400	in	ns	ns02.one.com.
100prozent.berlin.	14400	in	ns	ns1.werk21system.de.
100prozent.berlin.	14400	in	ns	ns2.werk21system.de.
100prozent.berlin.	14400	in	ns	ns3.werk21system.de.
100prozenthaut.berlin.	14400	in	ns	ns5.kasserver.com.
100prozenthaut.berlin.	14400	in	ns	ns6.kasserver.com.
100prozentich.berlin.	14400	in	ns	ns-de.1and1-dns.biz.
100prozentich.berlin.	14400	in	ns	ns-de.1and1-dns.com.
100prozentich.berlin.	14400	in	ns	ns-de.1and1-dns.de.
100prozentich.berlin.	14400	in	ns	ns-de.1and1-dns.org.
101-club.berlin.	14400	in	ns	ns.udag.de.
101-club.berlin.	14400	in	ns	ns.udag.net.
101-club.berlin.	14400	in	ns	ns.udag.org.
10117.berlin.	14400	in	ns	ns1.sedoparking.com.
10117.berlin.	14400	in	ns	ns2.sedoparking.com.
10119.berlin.	14400	in	ns	ns1.registrant-verification.com.
10119.berlin.	14400	in	ns	ns2.registrant-verification.com.
10178.berlin.	14400	in	ns	ns1.variomedia.de.
10178.berlin.	14400	in	ns	ns2.variomedia.de.
10179.berlin.	14400	in	ns	ns01.1blu.de.
10179.berlin.	14400	in	ns	ns02.1blu.de.
101berlin.berlin.	14400	in	ns	ns-de.1and1-dns.biz.
101berlin.berlin.	14400	in	ns	ns-de.1and1-dns.com.
101berlin.berlin.	14400	in	ns	ns-de.1and1-dns.de.
101berlin.berlin.	14400	in	ns	ns-de.1and1-dns.org.
101lab.berlin.	14400	in	ns	ns5.kasserver.com.
101lab.berlin.	14400	in	ns	ns6.kasserver.com.
10243.berlin.	14400	in	ns	ns1.web.de.
10243.berlin.	14400	in	ns	ns2.web.de.
10243.berlin.	14400	in	ns	ns3.web.de.
10243.berlin.	14400	in	ns	ns4.web.de.
10245.berlin.	14400	in	ns	ns-de.1and1-dns.biz.
10245.berlin.	14400	in	ns	ns-de.1and1-dns.com.
10245.berlin.	14400	in	ns	ns-de.1and1-dns.de.
10245.berlin.	14400	in	ns	ns-de.1and1-dns.org.
10247.berlin.	14400	in	ns	ns1.dreamhost.com.
10247.berlin.	14400	in	ns	ns2.dreamhost.com.
10247.berlin.	14400	in	ns	ns3.dreamhost.com.
103.berlin.	14400	in	ns	docks01.rzone.de.
103.berlin.	14400	in	ns	shades05.rzone.de.
10365.berlin.	14400	in	ns	docks18.rzone.de.
10365.berlin.	14400	in	ns	shades14.rzone.de.
104.berlin.	14400	in	ns	ns1.bytecamp.net.
104.berlin.	14400	in	ns	ns2.bytecamp.net.
10437.berlin.	14400	in	ns	ns39.domaincontrol.com.
10437.berlin.	14400	in	ns	ns40.domaincontrol.com.
1046rtl.berlin.	14400	in	ns	ns-a.eurodns.com.
1046rtl.berlin.	14400	in	ns	ns-b.eurodns.org.
1046rtl.berlin.	14400	in	ns	ns-c.eurodns.eu.
1046rtl.berlin.	14400	in	ns	ns-d.eurodns.biz.
10559.berlin.	14400	in	ns	ns.udag.de.
10559.berlin.	14400	in	ns	ns.udag.net.
10559.berlin.	14400	in	ns	ns.udag.org.
1058.berlin.	14400	in	ds	5669 13 2 1326423834FF0996DDCAD7C19B09C7423A7895BD073B9179A9A211C24F0F658E
1058.berlin.	14400	in	ns	ns.udag.de.
1058.berlin.	14400	in	ns	ns.udag.net.
1058.berlin.	14400	in	ns	ns.udag.org.
1058.berlin.	14400	in	rrsig	DS 8 2 14400 20250909114944 20250902072010 10974 berlin. hp4q7Vtrd25z+zHy7DlfTUS4Jc6GeUo7jMARozVojITNRlTdZfyKinMfFXZc0PxCZqkU+22CEAd37oc4/i4vOk85r8nw+zHktmdzJxk3loYMXDnUKoYWoJROX9w4XYwW9EGU7t33nIUIV2KejFNfBcBcbHRslmD2rx33dkT9NnQ=
10777.berlin.	14400	in	ns	docks16.rzone.de.
10777.berlin.	14400	in	ns	shades16.rzone.de.
108.berlin.	14400	in	ns	docks16.rzone.de.
108.berlin.	14400	in	ns	shades17.rzone.de.
10963.berlin.	14400	in	ns	ns1074.ui-dns.biz.
10963.berlin.	14400	in	ns	ns1078.ui-dns.com.
10963.berlin.	14400	in	ns	ns1093.ui-dns.org.
10963.berlin.	14400	in	ns	ns1098.ui-dns.de.
10g37.berlin.	14400	in	ns	ns.inwx.de.
10g37.berlin.	14400	in	ns	ns2.inwx.de.
10g37.berlin.	14400	in	ns	ns3.inwx.eu.
10g37schule.berlin.	14400	in	ns	ns.inwx.de.
10g37schule.berlin.	14400	in	ns	ns2.inwx.de.
10g37schule.berlin.	14400	in	ns	ns3.inwx.eu.
10h.berlin.	14400	in	ns	nsx1.bfb.de.
10h.berlin.	14400	in	ns	nsx2.bfb.de.
10h.berlin.	14400	in	ns	nsx3.bfb.de.
10h.berlin.	14400	in	ns	nsx4.bfb.de.
110prozent.berlin.	14400	in	ns	docks01.rzone.de.
110prozent.berlin.	14400	in	ns	shades13.rzone.de.
11101100100.berlin.	14400	in	ns	docks15.rzone.de.
11101100100.berlin.	14400	in	ns	shades15.rzone.de.
1111.berlin.	14400	in	ns	eoin.ns.cloudflare.com.
