monitoringsolutions.sky.	172800	in	ns	edns1.ultradns.com.
monitoringsolutions.sky.	172800	in	ns	edns1.ultradns.net.
monitoringsolutions.sky.	172800	in	ns	edns1.ultradns.org.
monitoringsolutions.sky.	172800	in	ns	ns0.isp.sky.com.
monitoringsolutions.sky.	172800	in	ns	ns1.isp.sky.com.
my.sky.	172800	in	ns	nsgbr.comlaude.co.uk.
my.sky.	172800	in	ns	nssui.comlaude.ch.
my.sky.	172800	in	ns	nsusa.comlaude.net.
myid.sky.	172800	in	ns	edns1.ultradns.biz.
myid.sky.	172800	in	ns	edns1.ultradns.com.
myid.sky.	172800	in	ns	edns1.ultradns.net.
myid.sky.	172800	in	ns	edns1.ultradns.org.
myid.sky.	172800	in	ns	ns0.isp.sky.com.
myid.sky.	172800	in	ns	ns1.isp.sky.com.
n6op7i6tub6rm8gg9ecb0agdru948rkf.sky.	3600	in	nsec3	1 1 0 - 3RM8FI1P3J8RQ1KN8CMUA5MMC9UGVIS8 NS DS RRSIG
n6op7i6tub6rm8gg9ecb0agdru948rkf.sky.	3600	in	rrsig	NSEC3 8 2 3600 20251009224110 20250904221609 11725 sky. pfho/Xr2C6Nqak5XcXup6iPzBV+RUftsAcCL56JFMvci8jBrmaptSnH8nIsJfrc+i9PZ5scj5hMq4CMqBKWJ6KdMYCu/rPsf7rkvH1DVaywl1Ygb2h/vbTO7esvZZHp26C6nj9Y6WmC6XYahuLmkJeKSg0MKW1WCet5PDeM6VObSFmnxk3dQGuiTqGxr+66vjEFGeaEcNUJECSX7HsA00w+cta6HNiVLZDT7sD0pvXtW5cgTH2wrniQYeurP49Tvzgal/0MBas5HV55UJ5zkfcm+ey1ESk0H41Bg6neLDGyDqFcc6zezbN0Mjwti4nA/KpJtS45F2MojnXj8ZigOTQ==
net.sky.	172800	in	ns	ns-1223.awsdns-24.org.
net.sky.	172800	in	ns	ns-1989.awsdns-56.co.uk.
net.sky.	172800	in	ns	ns-253.awsdns-31.com.
net.sky.	172800	in	ns	ns-558.awsdns-05.net.
network.sky.	172800	in	ns	dns1.comlaude-dns.com.
network.sky.	172800	in	ns	dns2.comlaude-dns.net.
network.sky.	172800	in	ns	dns3.comlaude-dns.co.uk.
network.sky.	172800	in	ns	dns4.comlaude-dns.eu.
news.sky.	172800	in	ns	nsgbr.comlaude.co.uk.
news.sky.	172800	in	ns	nssui.comlaude.ch.
news.sky.	172800	in	ns	nsusa.comlaude.net.
nic.sky.	172800	in	ds	48769 8 2 408DFEF1F92A5712680DC779F1534679F65E3131064A1C22A94088303322E27D
nic.sky.	172800	in	ns	dns1.nic.sky.
nic.sky.	172800	in	ns	dns2.nic.sky.
nic.sky.	172800	in	ns	dns3.nic.sky.
nic.sky.	172800	in	ns	dns4.nic.sky.
nic.sky.	172800	in	ns	dnsa.nic.sky.
