carplay.xn--9dbq2a.	172800	in	ns	c.ns.apple.com.
carplay.xn--9dbq2a.	172800	in	ns	d.ns.apple.com.
centralbankdigitalcurrency.xn--9dbq2a.	172800	in	ns	ns1.monikerdns.net.
centralbankdigitalcurrency.xn--9dbq2a.	172800	in	ns	ns2.monikerdns.net.
centralbankdigitalcurrency.xn--9dbq2a.	172800	in	ns	ns3.monikerdns.net.
centralbankdigitalcurrency.xn--9dbq2a.	172800	in	ns	ns4.monikerdns.net.
chanel.xn--9dbq2a.	172800	in	ns	ns1.cdnetdns.net.
chanel.xn--9dbq2a.	172800	in	ns	ns2.cdnetdns.net.
chmara.xn--9dbq2a.	172800	in	ns	ns1.aftermarket.pl.
chmara.xn--9dbq2a.	172800	in	ns	ns2.aftermarket.pl.
chmara.xn--9dbq2a.	86400	in	ds	48570 13 2 598c49d4051181dd4357f0c662ecd089461f963d80fd6895052a792471c12be4
chmara.xn--9dbq2a.	86400	in	rrsig	DS 8 2 86400 20250901142407 20250825142407 1611 xn--9dbq2a. aH6lUrjIGKfpKTSWcD/zn1v57OMVnV+secQTnp7iR3+ZIEYW24n/Ros5r7d3x0XCE+HVydf1P+qEdDhCIRBp2OtUJp6rkm4N9qQMk/QFCMN0/1G4NtQzWGnPrduy/XGR2H5OVORRpRZPLFMPa7G8Q2KEEemmnLAAp2rZj1uyLI5rabyVMvC/gAtffVuaCAg6Uz1OXCo5Z9q1OZTdVjZpZA==
com.xn--9dbq2a.	172800	in	ns	ns10.dnsmadeeasy.com.
com.xn--9dbq2a.	172800	in	ns	ns11.dnsmadeeasy.com.
com.xn--9dbq2a.	172800	in	ns	ns12.dnsmadeeasy.com.
com.xn--9dbq2a.	172800	in	ns	ns13.dnsmadeeasy.com.
com.xn--9dbq2a.	172800	in	ns	ns14.dnsmadeeasy.com.
com.xn--9dbq2a.	172800	in	ns	ns15.dnsmadeeasy.com.
d.xn--9dbq2a.	172800	in	ns	ns1.dyna-ns.net.
d.xn--9dbq2a.	172800	in	ns	ns2.dyna-ns.net.
deliveroo.xn--9dbq2a.	172800	in	ns	mona.ns.cloudflare.com.
deliveroo.xn--9dbq2a.	172800	in	ns	phil.ns.cloudflare.com.
dueros.xn--9dbq2a.	172800	in	ns	ns1.brandshelter.com.
dueros.xn--9dbq2a.	172800	in	ns	ns2.brandshelter.de.
dueros.xn--9dbq2a.	172800	in	ns	ns3.brandshelter.info.
dueros.xn--9dbq2a.	172800	in	ns	ns4.brandshelter.net.
dueros.xn--9dbq2a.	172800	in	ns	ns5.brandshelter.us.
e-messagerie.xn--9dbq2a.	172800	in	ns	ns1.eurodns.com.
e-messagerie.xn--9dbq2a.	172800	in	ns	ns2.eurodns.com.
e-messagerie.xn--9dbq2a.	172800	in	ns	ns3.eurodns.com.
e-messagerie.xn--9dbq2a.	172800	in	ns	ns4.eurodns.com.
e.xn--9dbq2a.	172800	in	ns	ns1.dyna-ns.net.
e.xn--9dbq2a.	172800	in	ns	ns2.dyna-ns.net.
emeis.xn--9dbq2a.	172800	in	ns	dns1.cscdns.net.
emeis.xn--9dbq2a.	172800	in	ns	dns2.cscdns.net.
eth.xn--9dbq2a.	172800	in	ns	merlin.ns.cloudflare.com.
eth.xn--9dbq2a.	172800	in	ns	vita.ns.cloudflare.com.
eva.xn--9dbq2a.	172800	in	ns	ns1.eurodns.com.
eva.xn--9dbq2a.	172800	in	ns	ns2.eurodns.com.
eva.xn--9dbq2a.	172800	in	ns	ns3.eurodns.com.
eva.xn--9dbq2a.	172800	in	ns	ns4.eurodns.com.
eve.xn--9dbq2a.	172800	in	ns	ns1.eurodns.com.
eve.xn--9dbq2a.	172800	in	ns	ns2.eurodns.com.
eve.xn--9dbq2a.	172800	in	ns	ns3.eurodns.com.
eve.xn--9dbq2a.	172800	in	ns	ns4.eurodns.com.
f.xn--9dbq2a.	172800	in	ns	ns1.dyna-ns.net.
