6qh911bj2ka051hgruf8h0ougkrsfds6.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. tuzxau/xUgbWEMjHiGk8jCns++kQmnCz9t4Nc699SxKwMk2bgMsCJrTb+vUHgqRmC/kR/OaSp0A7QDOBfDYGcgDS0kWSBcIhkN/uYasZy+83vO7PxFMJTB8I1TvgUnvvaCraypusqzXlENC4hxFb8k3Tz5GNYm104wWFu0t5JT0=
70hg86jq4unto2dmfnlqihb9nntjqast.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 76ADUHL421UJE4J1HMM0P942M09A2UTV NS DS RRSIG
70hg86jq4unto2dmfnlqihb9nntjqast.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. ias1mkMemmPCy/uqF+p2g4vHp39nsuvK5KwYD+9p2iO36I7s0qRJky7xar7V6UMbzw8Ds3lN0HR6q7a+brHi4KqyhU6v6NShweuQyD73DMBcmkBihmnYHeU1IghCmwXMl9END1UZ0HEIK4+2v8SgZD6iEL3VIsgDd0lUva/uSGk=
76aduhl421uje4j1hmm0p942m09a2utv.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 78M9JH1THNUTNMK6TL5TGI4IROD2QU0U NS DS RRSIG
76aduhl421uje4j1hmm0p942m09a2utv.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. e85JqLDHbP6LRKjSpz56b1S8ozqlBfScDeiAQgf2LcwlXcO13K6prQhP5BCGoZMtQQBNhQrsi8CSCm3H0uMgl8wnTTMBwKoOC+WPLxjY7z28KS23KZSot+B8S94PwIV56rGvBHlOK3ioQQ+9PbWQKuQIKRGTm4TKzf7a577mwpg=
777loc.ngo.	3600	in	ns	crystal.ns.cloudflare.com.
777loc.ngo.	3600	in	ns	seth.ns.cloudflare.com.
789club.ngo.	3600	in	ns	dns101.registrar-servers.com.
789club.ngo.	3600	in	ns	dns102.registrar-servers.com.
78m9jh1thnutnmk6tl5tgi4irod2qu0u.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 78Q1C72QCMME7OGP4IEH2HARI6B5I89C NS DS RRSIG
78m9jh1thnutnmk6tl5tgi4irod2qu0u.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. ieZ8p9apNLc8hr02i5/vn9b+Zm/b+hroixS8SSJcoS9NiDWwTxg8Kmem8GMqWS5fi1SQXQ72gkQd0W4boCiGfVFbOnbD25DUqMUdGfRh2ipeUl517s+pOvjvQ+Gre6PyeNsYjcDK9PkoXFBqM2JEpMEmIaVjOH8TUqg/qbZnS5o=
78q1c72qcmme7ogp4ieh2hari6b5i89c.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 7GDT8R1144TJV2UR6S293VLHST50IH8M NS DS RRSIG
78q1c72qcmme7ogp4ieh2hari6b5i89c.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. RR2i5RMmu3Q4M0+tP8RzJNUHnrxHU/ez/q6MnX/Lt0vmQ7G/U75/bIORPDLDW2V9hBMz8hbid9d+dmTPw5tg60egDVIA4mAMuxTlGFVNoB9eh0EOXfrQwd8O03jv1HzYn+M1rJXhqS/7ZOh/1rPwxn2IJ4BRpsK1T5uDnt7kCWY=
79king.ngo.	3600	in	ns	macy.ns.cloudflare.com.
79king.ngo.	3600	in	ns	will.ns.cloudflare.com.
7gdt8r1144tjv2ur6s293vlhst50ih8m.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 7IUAQMF7JPCU0RISMIRSV5T2N3D8SH5P NS DS RRSIG
7gdt8r1144tjv2ur6s293vlhst50ih8m.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. GDq+D7+fNjQHTR5KIl2CxpGhVm2QgrkbAtN/6CWstLozg2Q6dcxkZYbMKphXW4BLIYIP7w3HuF1lQIxFNnxpR7IE5JMZkNhOKg20/XKh5n/gMhRHkKVdYtSpcy/HzYYwDPvp3u+FmQdgK7qnukYxutttMc+gNN7sgAxFLKjjvPE=
7iuaqmf7jpcu0rismirsv5t2n3d8sh5p.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 7LJB9LFK3J6URVSDGSSKPRCIHQES73DA NS DS RRSIG
7iuaqmf7jpcu0rismirsv5t2n3d8sh5p.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. gKV/Kf1dtp58UGUrvbnRvKJV+qXwogvNtDrzi9cLUNoyDwdS0NSNR/XdKivzdViDRO3TcpeXami5IwPV1hNbqtN4KSGtAROfJfht2+ZrHPWoCTJoke7+7azhnV0Lz4s9mlnEpBXuSydqyFn2lEwUSYas3x+IIhhkMHzurY4mVH8=
7ljb9lfk3j6urvsdgsskprcihqes73da.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 7NULNBG47FLO19CP1HGEQ4OC6DNOEHAD NS DS RRSIG
7ljb9lfk3j6urvsdgsskprcihqes73da.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. V7/SOHFTUyHMXMT2L974SyOQMNldESPkUV8hV/2vn85KZ4GvxQFzV22v3eFhiUC2fDgnSMh8hvzY1PtoagsP9V9tbDsfcs4ZHV8m6SMKsXCQab7kPb3lAL7jtEW5cou5s47KTmoKO7LQf3JlsbbIH+8wgOgD1xb2GU/TUMPpt6M=
7nulnbg47flo19cp1hgeq4oc6dnoehad.ngo.	3600	in	nsec3	1 1 0 332539EE7F95C32A 890LKUL53K0OS3MKTGUJUD6Q8IBLT231 NS DS RRSIG
7nulnbg47flo19cp1hgeq4oc6dnoehad.ngo.	3600	in	rrsig	NSEC3 8 2 3600 20251022151902 20251001141902 39648 ngo. JLJ6VkiGkpRwuOon5QJLgxNRjEdA7ovS+r+itq64bclcvQE43b3oZBdog+1JWDgod/DrhTBGWNL8b1fbhlC/SRMmvvK9N83yoPjdrYxEUrwK+1muL25cj1GCS6FiPthRbKxFqznZa4lsQwpCYB5/Gchktv1B7XP4kQeD6nULU5M=
