0ial2lmlk8b1i6tsugept1o6voaqgpv5.ventures.	3600	in	nsec3	1 1 0 73 0IMRT5N82B7M5RK073P2VU857M4M0E0Q NS DS RRSIG
0ial2lmlk8b1i6tsugept1o6voaqgpv5.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. gley1ydXvJvHiUZ4PMEUaahD7m0tkPHKdKOrRnDVOJwjiDRVxqZUpe/3YhhMw/vPWKi1tTRI3dXRqHsDm/Uw9uPWZeQ+N84wvT+gu8oByOp+jg4qJSqb6Rrc7QwJ5RbxHF5OmOy+0rPfND1OXd/CTrZ6ylRW3E5J98sI/rNxOA8=
0imrt5n82b7m5rk073p2vu857m4m0e0q.ventures.	3600	in	nsec3	1 1 0 73 0IPI83IEF86GTRK98OEKQGO9E98EA2H3 NS DS RRSIG
0imrt5n82b7m5rk073p2vu857m4m0e0q.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. UYosEO/gtLPctn2coaLVZElZRrtC/O4kstEM746Ivv5kj5S6pX5EPHXF5oM97CZDZHYJY4joG6WySWq5S4R0ogljtM2cOu2FPuZDHKUCU7dpjnLYhN/9ytVBc9e9OCgEOadNkz2qmYaHID35p4mGeO/1q5ulJK4PivWXAgatmi4=
0ipi83ief86gtrk98oekqgo9e98ea2h3.ventures.	3600	in	nsec3	1 1 0 73 0IUN2NPO765GOQ0MG6E18IMVIR9IDMD8 NS DS RRSIG
0ipi83ief86gtrk98oekqgo9e98ea2h3.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. VnoPIhMki5i0ZNrewGlcH82hyV+hWZXHglT7yze46rMvdzsJulFfcOY4cXyh/bAfepHwsSwyX2VVFFANgC8Cd59S0Q0QpXcl2cMAm9DNHqmOeGqw5xdUUOoR0m9ZVkpFi/rAazVO0MV+dZ1PCz/8LNuJg/yo90ARqC6VpjB8XH8=
0iun2npo765goq0mg6e18imvir9idmd8.ventures.	3600	in	nsec3	1 1 0 73 0J2EV3OT8R5S4IDLFTAN5COSFDSMV437 NS DS RRSIG
0iun2npo765goq0mg6e18imvir9idmd8.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. YEz+vUP4EtAE33YIitbN+6To1edshGqkCtWB9c2hyRQTwOSZoPrqL451ZC5caD1U+P8SaL+O0wmY+IySf3Q+qY38eQOcfoNX6VgaSlWybNLjsDCJq73AkZk68MlIz/fcubFNzehY0oaTT8MVC25WEQ+4oywgoKWIyXhQ16ZxVTc=
0j2ev3ot8r5s4idlftan5cosfdsmv437.ventures.	3600	in	nsec3	1 1 0 73 0JC3V1QGTIO9R5B6HVCH4NTJLBP6L2FP NS DS RRSIG
0j2ev3ot8r5s4idlftan5cosfdsmv437.ventures.	3600	in	rrsig	NSEC3 8 2 3600 20260122161220 20260101151220 32061 ventures. aBjj5DigXsIcwjKlq9CF7Y0L2pzkkDWjosDXG0gLPmkVEQLGyBmADUM1nYJN9HX4ItheSQsJEAdsPD59kXLhczDXVRU5pWc335yZpjUGUpHBqs2RrwY20kSQ+xQGIfj1cIYLO0jnmzx4qbiKqMNixbUyBjz3Ry/DdSinuywovxE=
