023956.hair.	3600	in	rrsig	DS 8 2 3600 20260120154643 20251221141643 35808 hair. i03W3BOGa6RxVEIOVC9lviN3YkgTCCJruiYusKwBCHoSueenC/G09Gcqo2OQFKZ2/lXU3ko3LCKhHRP8bCeQGSPTPhTNpH0eskyx5gXSUCtb3kFTMxbpyo+I5XskZQGqML+0SrRrk6BIVuAtcB09WFpZASCITHAa30ClQ/EsujiZa8BhYio8K8DYBKVz9WlsKEkzIYZnaUiacoctBOEsmg==
024248.hair.	3600	in	ds	4473 13 2 506771A43E51C4BC9364A2CEEE62884D9B18EDD25DC89EE7A9ABE5122E3329A7
024248.hair.	3600	in	ns	launch1.spaceship.net.
024248.hair.	3600	in	ns	launch2.spaceship.net.
024248.hair.	3600	in	rrsig	DS 8 2 3600 20260120154643 20251221141643 35808 hair. Y69gwpAbOVvaaUzxnRvhzGq4ZRExYZGvmdS6hG+BVqToxoxT+b3nYZ2PGQFsmbM1F2Tzth0XTgFllg2fioFv3BHUCAFPEIx8fYYlut0UEzJztE1CHoX1nXMxnHqzdIn8Kgq28HSNUOMPuAu/dp8EvxHxEWM4aMoSHHlYpwueixG3IG113c4h7OAsN3MQvnSZORgWiSAHqUsI3f0oHWCNxQ==
024822.hair.	3600	in	ds	17439 13 2 A5CB01EB28E7AA7FBBE95022120F0447950BB4B0CD9388D9785E870B140E0AAD
024822.hair.	3600	in	ns	launch1.spaceship.net.
024822.hair.	3600	in	ns	launch2.spaceship.net.
024822.hair.	3600	in	rrsig	DS 8 2 3600 20260120154643 20251221141643 35808 hair. Jr64AQE7d21WYO77/X+rCmrXYqFwHhlPg5s7iAkI1dRcUaFt7LUHX9F0wRuczLDoF207yl8wiDQdYBplJTm3k2n3jRDcPN5NXzSxeJnBLvJwPF/q8MzRFxhRUQNlFiDxxNEV3j6CunYlWua8ERnYaql7X4LHhLLZ+1kzJ7PMQFLiHeV7SUsAY5hI5eDUSaMbUFFbFeNxPb0XQgyCIuEmjA==
028139.hair.	3600	in	ds	47374 13 2 863BC3BFD052862566301933802F3474453B808B07D486C2CC6F7134D894635E
028139.hair.	3600	in	ns	launch1.spaceship.net.
028139.hair.	3600	in	ns	launch2.spaceship.net.
028139.hair.	3600	in	rrsig	DS 8 2 3600 20260120154643 20251221141643 35808 hair. i1QiJTb4aS5kHzC6sP7VqAoAlLqiec4Jt7x0RFo2docUIg1EFZBoFXmVzkVNmmLQEB5O6VxdhjLJuKdoKgl8qB1yxDLSDdlpZ5VkW9hiktCsUfngW0NMQAd+jvgdf/HzH7BuRR1JL9ru9RJXd+b2xNnVgdg8gFmhKu6JMFEZpyJ4tacRKc+IDeSuRbvWm21WsoS3rpJWId++SdG/5AGrAA==
028688.hair.	3600	in	ds	24906 13 2 6D79DC06514D2179B2EC973A061F70430FAB355AD292EE4216A0346899B78A5B
028688.hair.	3600	in	ns	launch1.spaceship.net.
028688.hair.	3600	in	ns	launch2.spaceship.net.
028688.hair.	3600	in	rrsig	DS 8 2 3600 20260120154643 20251221141643 35808 hair. QOAuoRHGB13UJCHZ35qh3HNMYLuGscEGTylujtJt5BZdYAdCGg5yloRv6pa1cL2/56fGVKLtBp8w/TmHJP/hwc7/OdMGjhMB1RFhSwMHnnSPNNN82eH4zAX11BfjTpMUCc2mFkP8LtsRy4HO2K3ff7qNVpf9nwh9GzNGYDG6coS8xvmYGfPtMf2AL7oV1anL0xDtsClqLl3irxzwFywZwA==
02cm4ap7rrhkt5mpflvmve2hoos4ufq0.hair.	900	in	nsec3	1 1 0 - 033G4U37OA1EVQELB6U8PAUOH6CGBC6L NS DS RRSIG
02cm4ap7rrhkt5mpflvmve2hoos4ufq0.hair.	900	in	rrsig	NSEC3 8 2 900 20260128012131 20251228235131 35808 hair. rbuGXXvv8kqiwqdXd+UEsWoO/QaGgaYKA5Jg9c70GhK/Xdu1KdScexWvii5CLn2Wla9tIEmUxxj6SkiCskXxncKQcx3BLMUvi40CQVr0orCsIysn+6CXnlziBjjto3Je0X8s2V/jMqPCUhD2GYKm9eo5+lbnWRl1Wrys4wGbbcw7ViG1fpVqiiOS6c74hNe7mim9dOiyFsZxe34JMw/yXw==
03.hair.	3600	in	ns	curitiba.ns.porkbun.com.
03.hair.	3600	in	ns	fortaleza.ns.porkbun.com.
03.hair.	3600	in	ns	maceio.ns.porkbun.com.
03.hair.	3600	in	ns	salvador.ns.porkbun.com.
031113.hair.	3600	in	ds	13826 13 2 9029F6F386193A98A72E334700A6CB3B5F44A4B76A8429C5A416FB03921D2C6B
031113.hair.	3600	in	ns	launch1.spaceship.net.
031113.hair.	3600	in	ns	launch2.spaceship.net.
