043k7rsh26ap0qvrffgrq4qu57cu0ksd.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. df5p4gpdEgr8X5k8OZh2ps8Toz25JqOJO+AwFB/7gvo39Us1eE0SziXYK0wNeJPAicLXrIZTI60h4XW2tW0tJLWgZBUjl0kON12H0MSSFxG0AroQw3dCpmPf4wpal/GkAKly/UQ2kAXKt4His4u11BT2wKlN3zsM0WYJBadUqeE=
04853.mov.	10800	in	ns	ns1.dnsip.com.
04853.mov.	10800	in	ns	ns2.dnsip.com.
04h35nt995t0et5kfqecf9eado0e3bod.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 04IRF0KBHRTB2FH0L69L8GA1SKG8VUB6 NS
04h35nt995t0et5kfqecf9eado0e3bod.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. eRryI89MxbpVkMjwpptW8IZQ2QroDFf+pLXN7dxXcU60E6ekZpx6ntM0VBcMQLblQey6SyQxhqsWfF+2DBSOqj1lhXG+XBx1CfgOdtZV3pes5vkQhGdBdVe8NXdZgeWPcZg02k2YVhPv/4oeGSbAuilTCbNmJwss9OqS57WdQv8=
04irf0kbhrtb2fh0l69l8ga1skg8vub6.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 04KAEN94VM5BHBRF412ODH1R73QU0FMA NS
04irf0kbhrtb2fh0l69l8ga1skg8vub6.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. hbK/cbQL4wa1wHj0y65jIG/lzY0ecmdM9oMbJJW94MOMt7hZxVPQAmJF9ia1C5ftR04CT39SAtwWYSUU5Wnpr+K9fOIUbIPRXa5+LcweykXcMW0VZa1OKAq3ozePKqjaRrtuoHWFdRiumDWQ7y4HMwgORfttZKRYHlUDuXKkP+k=
04kaen94vm5bhbrf412odh1r73qu0fma.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 04KJVQ5VFID8PBAKS6T7MEI6V46SH7DQ NS
04kaen94vm5bhbrf412odh1r73qu0fma.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. LDSGztXv/fO1K1ovOh/LL5h3K54wGSINx5zVl1ZheBaOcHS4F2jl+9EaQYrAeWt74MBplc0DInNBCy3OzlsuWyc8oc1p1E1m55erx7e4VnbrrXq8shf5EOdwJSsPoeLOphP+Dj4Aeqngrts1GTv0Bg//6wDBDGOgsB9lQzSg0Kg=
04kjvq5vfid8pbaks6t7mei6v46sh7dq.mov.	900	in	nsec3	1 0 1 5230C18414B3894A 04MJ22JCBO0HN41RR6UN159ORFSIE95Q NS
04kjvq5vfid8pbaks6t7mei6v46sh7dq.mov.	900	in	rrsig	NSEC3 8 2 900 20251001024148 20250909024148 6535 mov. Qm681LuqZ4+7WHXJt8tPLah6akimCR5G/iVA05NWv5+jJS79DHqQNmdRPFyklFxpsYkEh/G9Ckve9Of9QbsdWXh2mSVJP63Sdsc7rSXOD5oUXOMd71TkJB6sUrWlXUW6ZWqwY4uuFSySi7ZIDu/sA5tFNY0AqCuCmBGbKE7A/1Q=
