8fe167u43v2mp9e090ve2hng8bncpd4b.hockey.	3600	in	rrsig	NSEC3 8 2 3600 20250930152657 20250909142657 2526 hockey. CF4dxsTgYC/zF8VLVNmlPXGbbjtyauczQQPqiix5hfxfI7IFL39SYHF4AMf9WHNpEgI4DKNs6J+Xfs7K6jTHHL9iFuXfFmwA5Upj4QIxxW/fOe0HhJ5Dnp8/30ekcJphAgeUvrgKx+v3BZ8aGSSN36YHjOoika6Asq2yX5cqYCg=
8xbet.hockey.	3600	in	ns	celine.ns.cloudflare.com.
8xbet.hockey.	3600	in	ns	huxley.ns.cloudflare.com.
91.hockey.	3600	in	ns	ns27.domaincontrol.com.
91.hockey.	3600	in	ns	ns28.domaincontrol.com.
918.hockey.	3600	in	ns	ns1017.ui-dns.org.
918.hockey.	3600	in	ns	ns1022.ui-dns.com.
918.hockey.	3600	in	ns	ns1067.ui-dns.de.
918.hockey.	3600	in	ns	ns1076.ui-dns.biz.
92vgv3pul4rlopsstafn0bg2puk2mfu6.hockey.	3600	in	nsec3	1 1 0 73 9BKM6SJLD8PCSE60E87MU8K6IHJF97RO NS DS RRSIG
92vgv3pul4rlopsstafn0bg2puk2mfu6.hockey.	3600	in	rrsig	NSEC3 8 2 3600 20250930152657 20250909142657 2526 hockey. wko9hHNB+GX5FM1BoR7RqaRnpknlY0UrY0pQOON9ar5t27tdTqksWI8nSxOcZZHvfvlKvCn/pVycuwMMj/Kf8qBi/xO1j0ev6EKKOexoUfNFtXB1EUmy1DGwCUE3Tel7ALAjo2Qevvf938rmOOhJ3eF8PLMBLJnkr+QG5VwwU3o=
97.hockey.	3600	in	ns	ns35.domaincontrol.com.
97.hockey.	3600	in	ns	ns36.domaincontrol.com.
99.hockey.	3600	in	ns	ns35.domaincontrol.com.
99.hockey.	3600	in	ns	ns36.domaincontrol.com.
9bkm6sjld8pcse60e87mu8k6ihjf97ro.hockey.	3600	in	nsec3	1 1 0 73 A9BNO2CCIIH4LSJRN9L13B2JODBACUAR NS DS RRSIG
9bkm6sjld8pcse60e87mu8k6ihjf97ro.hockey.	3600	in	rrsig	NSEC3 8 2 3600 20250930152657 20250909142657 2526 hockey. HycMWKnFt1DLUlQwv1MJhtuZOeq3dGbg1CLJx5MKb+/ZjW5HLU++Mdco3qgiQ6G+40QPkBsWYxkv4L8txgIIuD6s6qZ6e1jcpfab4SeKN4aUQ4/r4H07c7t+GpkHnqUov1r/WrtDw17FD0MyX4WZ797XIDyIx7ALvuK7LmkUD1w=
a9bno2cciih4lsjrn9l13b2jodbacuar.hockey.	3600	in	nsec3	1 1 0 73 ANAR2NEQ30KCE4FF3GK5U5KVMRNAQDUQ NS DS RRSIG
a9bno2cciih4lsjrn9l13b2jodbacuar.hockey.	3600	in	rrsig	NSEC3 8 2 3600 20250930152657 20250909142657 2526 hockey. HA+vVFtG2tI0vKK/zQ4Nv3kHwIZgT67jk5KpTyqTNQPZHtKFlY3cfgeONdyo5pajz+RrTDeSXx4EYdmu93ZWURcY/kwOlV5wZv0lL37L/8hIaVf9cf2lDL+ZbkTApZ8o1kPH0O+b57RNeALVLq0t6RtTD2lpTPeM98T9E+GRvjc=
aaa.hockey.	3600	in	ns	ns3.afternic.com.
aaa.hockey.	3600	in	ns	ns4.afternic.com.
aaaa.hockey.	3600	in	ns	ns1.hover.com.
aaaa.hockey.	3600	in	ns	ns2.hover.com.
aagmaal.hockey.	3600	in	ns	dns1.registrar-servers.com.
aagmaal.hockey.	3600	in	ns	dns2.registrar-servers.com.
aaron.hockey.	3600	in	ns	ns41.domaincontrol.com.
aaron.hockey.	3600	in	ns	ns42.domaincontrol.com.
aau.hockey.	3600	in	ns	ns27.worldnic.com.
aau.hockey.	3600	in	ns	ns28.worldnic.com.
abc.hockey.	3600	in	ns	ns1.afternic.com.
abc.hockey.	3600	in	ns	ns2.afternic.com.
academy.hockey.	3600	in	ns	ns1.regzone.cz.
academy.hockey.	3600	in	ns	ns1.regzone.de.
academy.hockey.	3600	in	ns	ns1.regzone.info.
accessories.hockey.	3600	in	ns	ns1.markmonitor.com.
accessories.hockey.	3600	in	ns	ns2.markmonitor.com.
ad.hockey.	3600	in	ns	rns23.webhostbox.net.
ad.hockey.	3600	in	ns	rns24.webhostbox.net.
ada.hockey.	3600	in	ns	ns1.uniregistry-dns.com.
ada.hockey.	3600	in	ns	ns1.uniregistry-dns.net.
ada.hockey.	3600	in	ns	ns2.uniregistry-dns.com.
ada.hockey.	3600	in	ns	ns2.uniregistry-dns.net.
adam-morsi.hockey.	3600	in	ns	ns1.dyna-ns.net.
adam-morsi.hockey.	3600	in	ns	ns2.dyna-ns.net.
admin.hockey.	3600	in	ns	ns-153-b.gandi.net.
admin.hockey.	3600	in	ns	ns-249-a.gandi.net.
admin.hockey.	3600	in	ns	ns-89-c.gandi.net.
adult.hockey.	3600	in	ns	ns17.domaincontrol.com.
adult.hockey.	3600	in	ns	ns18.domaincontrol.com.
adultice.hockey.	3600	in	ns	ns5.worldnic.com.
adultice.hockey.	3600	in	ns	ns6.worldnic.com.
advanced.hockey.	3600	in	ns	cloud1.whc.ca.
advanced.hockey.	3600	in	ns	cloud2.whc.ca.
advisorpro.hockey.	3600	in	ns	ns-1092.awsdns-08.org.
advisorpro.hockey.	3600	in	ns	ns-17.awsdns-02.com.
advisorpro.hockey.	3600	in	ns	ns-1854.awsdns-39.co.uk.
advisorpro.hockey.	3600	in	ns	ns-822.awsdns-38.net.
advisors.hockey.	3600	in	ns	ns1.site.pro.
advisors.hockey.	3600	in	ns	ns2.site.pro.
advisors.hockey.	3600	in	ns	ns3.site.pro.
advisors.hockey.	3600	in	ns	ns4.site.pro.
africa.hockey.	3600	in	ns	ns17.domaincontrol.com.
africa.hockey.	3600	in	ns	ns18.domaincontrol.com.
agawam.hockey.	3600	in	ns	ns29.worldnic.com.
agawam.hockey.	3600	in	ns	ns30.worldnic.com.
agent.hockey.	3600	in	ns	launch1.spaceship.net.
agent.hockey.	3600	in	ns	launch2.spaceship.net.
aha.hockey.	3600	in	ns	ns1.hefidhosting.com.
aha.hockey.	3600	in	ns	ns2.hefidhosting.com.
ahl.hockey.	3600	in	ns	ns1.monikerdns.net.
ahl.hockey.	3600	in	ns	ns2.monikerdns.net.
ahl.hockey.	3600	in	ns	ns3.monikerdns.net.
ahl.hockey.	3600	in	ns	ns4.monikerdns.net.
ai.hockey.	3600	in	ns	dean.ns.cloudflare.com.
ai.hockey.	3600	in	ns	sierra.ns.cloudflare.com.
aiqqv.hockey.	3600	in	ns	ns1.dyna-ns.net.
aiqqv.hockey.	3600	in	ns	ns2.dyna-ns.net.
air.hockey.	3600	in	ns	ns1.afternic.com.
air.hockey.	3600	in	ns	ns2.afternic.com.
aiworldmobile.hockey.	3600	in	ns	ns1.dyna-ns.net.
aiworldmobile.hockey.	3600	in	ns	ns2.dyna-ns.net.
aj2tvd1hk1uxt.hockey.	3600	in	ns	ns1.dyna-ns.net.
aj2tvd1hk1uxt.hockey.	3600	in	ns	ns2.dyna-ns.net.
ak.hockey.	3600	in	ns	ns55.domaincontrol.com.
ak.hockey.	3600	in	ns	ns56.domaincontrol.com.
akademie-ooe.hockey.	3600	in	ns	ns1.internex.at.
akademie-ooe.hockey.	3600	in	ns	ns2.internex.at.
akademie-ooe.hockey.	3600	in	ns	ns3.internex.at.
akademie-ooe.hockey.	3600	in	ns	ns4.internex.at.
alabamathunder.hockey.	3600	in	ns	ns1.siteground.net.
alabamathunder.hockey.	3600	in	ns	ns2.siteground.net.
alberta.hockey.	3600	in	ns	ns55.domaincontrol.com.
alberta.hockey.	3600	in	ns	ns56.domaincontrol.com.
albertaone.hockey.	3600	in	ns	dns1.cloudns.net.
albertaone.hockey.	3600	in	ns	dns2.cloudns.net.
albertpark.hockey.	3600	in	ns	ns1-02.azure-dns.com.
albertpark.hockey.	3600	in	ns	ns2-02.azure-dns.net.
albertpark.hockey.	3600	in	ns	ns3-02.azure-dns.org.
albertpark.hockey.	3600	in	ns	ns4-02.azure-dns.info.
alex.hockey.	3600	in	ns	dns1.idp365.net.
alex.hockey.	3600	in	ns	dns2.idp365.net.
alex.hockey.	3600	in	ns	dns3.idp365.net.
alfred.hockey.	3600	in	ns	ns-1334.awsdns-38.org.
alfred.hockey.	3600	in	ns	ns-1738.awsdns-25.co.uk.
alfred.hockey.	3600	in	ns	ns-394.awsdns-49.com.
alfred.hockey.	3600	in	ns	ns-565.awsdns-06.net.
algo.hockey.	3600	in	ns	ns-cloud-d1.googledomains.com.
algo.hockey.	3600	in	ns	ns-cloud-d2.googledomains.com.
algo.hockey.	3600	in	ns	ns-cloud-d3.googledomains.com.
algo.hockey.	3600	in	ns	ns-cloud-d4.googledomains.com.
algofan.hockey.	3600	in	ds	22864 8 2 DFCFDA97781E62805EC7BE8CEE0533AC937CEE7532D1A311FE9BF323FF3AE12C
algofan.hockey.	3600	in	ns	ns-cloud-e1.googledomains.com.
algofan.hockey.	3600	in	ns	ns-cloud-e2.googledomains.com.
algofan.hockey.	3600	in	ns	ns-cloud-e3.googledomains.com.
algofan.hockey.	3600	in	ns	ns-cloud-e4.googledomains.com.
