0b9hkmipqots5iq0dn703iqmc6fqs39g.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. zjMibZWvnzaJ7Zy3OgNROC+8cYTCzDLYxFDQpM57bHLuKhxICUjo870Soxo5in8CaHKcdqmEBUfXQcz9tCSqRCLgXTAQfAgc19pJlN1oACbEYOP/6PWe3rH/gvbbGbF0DJsmscx8cnjyIt03jwLiwwS2r9cnPCf8kmmHaELsj0M=
0bt1upvo1ivlgo16j97b6ac30mm85c2o.partners.	3600	in	nsec3	1 1 0 73 0C576M1R74VGG2DHV26FPFGMCJ0LFRHH NS DS RRSIG
0bt1upvo1ivlgo16j97b6ac30mm85c2o.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. TEd8UXeFeT6c1y46jzoN+AaNIJPfwydVuwOYirPR6wFIqbEGDquCJL3z3K2V7JDL0qj1oEps244YIkrUTfguyrPZCeZjkPfG15r/WSynIRxa+iak/MgigDb5mcE4qmAg2BcPYrh82PHOXQY35CZ5ZfCOCov25iPbc6TIBHxxS5E=
0c576m1r74vgg2dhv26fpfgmcj0lfrhh.partners.	3600	in	nsec3	1 1 0 73 0D489GISMPIS2MM7B0JJ4LFSKKVSD5GU NS DS RRSIG
0c576m1r74vgg2dhv26fpfgmcj0lfrhh.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. RLfz1Gy6KZRHhbEMSExEI8SvCg4mg8xk+pz5DnhiFjQ1k5MgWFw0qfAp2Qhoz26wfeF41gnsSQx8lRyi/kxih/tL2LHsoaozWeOOmYh6PMnFI2LMh2hSt/burDnAGoX4SsGyxm5KyG7kkGowo17IoHknZIAesoO1+zTHCboqZoY=
0d489gismpis2mm7b0jj4lfskkvsd5gu.partners.	3600	in	nsec3	1 1 0 73 0DS1BKFA3BFIOT1B2ESEA40H681RN25V NS DS RRSIG
0d489gismpis2mm7b0jj4lfskkvsd5gu.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. vm+nk41+ec6AN+D/7m99QtxGU+X+lAOeZ2LnsNphYW631CYXEMxBSqdYCtTjmZY4WMlTxLmTqS9aHoy1/wtHa2DkggaLyNbJO1QDHsZF78uj9A+i9yNgaRmRe/F9egQ5kY6Lswiv8mNJ6cSLKarf1H57jY3z5uvJsBRfTvEQWT4=
0ds1bkfa3bfiot1b2esea40h681rn25v.partners.	3600	in	nsec3	1 1 0 73 0F47M4GRCQJT0QRRPEN21VBCQ9DRKEH1 NS DS RRSIG
0ds1bkfa3bfiot1b2esea40h681rn25v.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. VLBsqQPu+pG8XfjZF1/xWLrISkZ1Skyqtde7TGQOQFvfziXbly3dFdu1/hf5XBLxREDXTvHPFgXkkR3D5NrkODoXnVbSU5ugNtLR6qoatN4ZRflI1anuPFrvixUB/3uaelLfRdg50MlmEcsPYjcGfislyvUaLIRv6wlk8unVjas=
0f47m4grcqjt0qrrpen21vbcq9drkeh1.partners.	3600	in	nsec3	1 1 0 73 0G2KG9DNSS2HH0AFE9TRU8S7D5B9D7N3 NS DS RRSIG
0f47m4grcqjt0qrrpen21vbcq9drkeh1.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. PMZ4fvg4XVA6F+SA7khpUo5mRpCnc1rbOKpIjCQapFoFe+DH+ORpaAULcV0I0Z7imKgarPoJ6Q4AuAiW5YDHRW24zXjQ/CYWejOBnNhcVKT384Dz/M8Lv9eWMjljbISb66eGVs1UcmoZlAmbcWitAPBOnD9UFFRrOSgnSt9KELg=
0g2kg9dnss2hh0afe9tru8s7d5b9d7n3.partners.	3600	in	nsec3	1 1 0 73 0GRDN8L06QSNQ9KNOLD8MKJK3O9DK0IA NS DS RRSIG
0g2kg9dnss2hh0afe9tru8s7d5b9d7n3.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. YtolF9VY3c9lsQPrSmyjzWfXMKTXSo4pIxor2SlZi/STFu987djvyIP2VgIlIU8tpweoNV4y4TvB9GKwSuV2b76KBfHRyQ6APWNYsE1sFvLXPFvKP4Dx+k5Jzzrz1E58vkuo50mnC5VXf69kVQq9I/cEd2sbwV9/CUztcjopYVs=
0grdn8l06qsnq9knold8mkjk3o9dk0ia.partners.	3600	in	nsec3	1 1 0 73 0HSF1VKCVJEBNMHU148SF1QMJ0B0K93F NS DS RRSIG
0grdn8l06qsnq9knold8mkjk3o9dk0ia.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. i3+WQyctqu6y4P0XHTOtkTz58fXhdikufXGUMRBzSP5tUVUhV4IBTfqe9HRKtcoDB4yYMy69hgfpYfhPy2Y+urWZWSKW6F+AoYPR3O2hmP1NTVou9YyW4nX95WCxnhYcYkVXInf7VEP43oZdSrdidYtjhw0HeUQvO3or8TIzZB4=
0hsf1vkcvjebnmhu148sf1qmj0b0k93f.partners.	3600	in	nsec3	1 1 0 73 0I0AJMETKA7JBUON51JFC36ILQJAUM48 NS DS RRSIG
0hsf1vkcvjebnmhu148sf1qmj0b0k93f.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. BnFmC86J+znX1k3YY/CqNSxomTBq+iSV66k8Ie7qK0a4SLmDxegN3T/zIYiqHtYeOVb0pWRPZb2eNry7b81Z3t1GD5f48q6+7f1x7xpEbUJpNAjSphRwTt1vzpahDcIl9iZbXuC6Ar1ihiEVqg0d0Io7RYfW7yttW5TPDmfCqoc=
0i0ajmetka7jbuon51jfc36ilqjaum48.partners.	3600	in	nsec3	1 1 0 73 0LD16UPM7PR37M8QKR2DCERNS1HK976S NS DS RRSIG
0i0ajmetka7jbuon51jfc36ilqjaum48.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. KMRmd0n3+bFrzm+ugTB+zPeGc57KjwYHv0gmR+qLKtv8GvZbA+NgF3W8SsOpvkTww7PGzyDxaQWrS9SgAlA6a9uGyATIPr28DO6IEmZcGE3o+7ugXhB4ZuBiLVQrs67B5A8B1Px8zRPUjyMFd+8gG58zpdgAzaxs0/ZRrP3oz60=
0ld16upm7pr37m8qkr2dcerns1hk976s.partners.	3600	in	nsec3	1 1 0 73 0M8T6CC2E7U88DC3IK44G4NGH0L2E06C NS DS RRSIG
0ld16upm7pr37m8qkr2dcerns1hk976s.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. ToZlqXAE21mrRmsgBn8f48/Ly0OxN23rRJb5o9KQI3aX3BBJt0sttQupIHKTXwV9oixKssaU/tEhWrUlseIJsoikTg8ootYFSku6YHqWwLxOCLqgBrucMeN6hFWSkg6HmuZuwV0IEgwczxxvIXraXe696nalsBX4r5bTTIkyZjA=
0m8t6cc2e7u88dc3ik44g4ngh0l2e06c.partners.	3600	in	nsec3	1 1 0 73 0MERICFDSCPUGN23175AS3BUU2H6I8TT NS DS RRSIG
0m8t6cc2e7u88dc3ik44g4ngh0l2e06c.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. xqAI1Imc/OCEcL/8PH7oqOGjekWHMaOVUa1Yw15LT2EeMsxZzZ8iV1Wg6Vpa+lor8di9dKU9GmodQozzJKkxdY47MLmekQ2Dgr9mpJYAVJMtbH/VPb6jb6JAvqW3Dd+JBwAYZ3VpSGf92SCnCX0NVPQu/FoUqeb922H0hzPw2m8=
0mericfdscpugn23175as3buu2h6i8tt.partners.	3600	in	nsec3	1 1 0 73 0NJERU2AEGTBC7AJHTSN6B9L1F5VBDQ8 NS DS RRSIG
0mericfdscpugn23175as3buu2h6i8tt.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. O+JVP4LPl6zsNyEKTIUCDgI6WY+xO+hDU6GaTTOYeQdfWPwUT5TVyLh60jcO6O5ePV99EgP8CPQngkHcjs5/HncMdgt+SPCMJBehtTmSe3hSZbxG7jV5V3LlBabk4k2LxVv2uYLQ4KmER5hj6I8Pl3PGScewZIWTUXNhX5swm3Y=
0njeru2aegtbc7ajhtsn6b9l1f5vbdq8.partners.	3600	in	nsec3	1 1 0 73 0ONOI49SEGGJTJJAJ18UIKHRG0N930F0 NS DS RRSIG
0njeru2aegtbc7ajhtsn6b9l1f5vbdq8.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. oLFkHaeyLIYmbossBs1S8HBR8VwLfCKrUcmgm8fCmMY6qFRfMd+d/GrHPXslPKqg1SQynvV+pvD4MA5OxHbY6lZWqs6kmGYE5eQ1qyCXPpS448ddewOgqSNNbf3xarlSbVowLzmXzRM/2DzE7utbt+TuEX/WggBqoHsoGcss5RY=
0onoi49seggjtjjaj18uikhrg0n930f0.partners.	3600	in	nsec3	1 1 0 73 0QJOS50MSORHRTP1CEJA3R98AIQ9TTT0 NS DS RRSIG
0onoi49seggjtjjaj18uikhrg0n930f0.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. tEnH8uw+pHwhagz0Q3xBGpPStEjcljvR+iu5EpUGnOZOWK/fO4npyj/jNuEL3BN6qnUuoU2YZIEfVJwavIWRSxR/+tIFs4vAFooDwt388Ej0K2rOewSMbgiSI0CK38weDY3WOh/8ynWDhz3fxc76FYlpfQWhBBup6Vm8HnS0Wms=
0qjos50msorhrtp1ceja3r98aiq9ttt0.partners.	3600	in	nsec3	1 1 0 73 0T85AH13G756MSI2UOE7GISSFNMAOEO2 NS DS RRSIG
0qjos50msorhrtp1ceja3r98aiq9ttt0.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. Ofbh29dIkBXE7R7OLnvuf/VAn9qMtmQCAb6DtE+jJZRF+bh1+mv3p6uXpKuWMBE9oP1j3SjH/SwsFIJwM/VBWR2On2yoaVtXoytD6K+jZuRz+H3BGsCluvgKkn/J9wUDGLmoWgUXzfgGFT2CQMPiOF0aLpLzWJT+Q/vpdZLtQsE=
0t85ah13g756msi2uoe7gissfnmaoeo2.partners.	3600	in	nsec3	1 1 0 73 0U7553NIS1KJCLQ3HK6O5KFQE7MMJVAT NS DS RRSIG
0t85ah13g756msi2uoe7gissfnmaoeo2.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. DwgUpxpmONyZfTEowt3ma9BWoUXsfonEsQbb7upW33boxBbjPam9nz2kj1qxwtY/o1DFhxqabuJ+1Jk8qIQLb1jjKvbLwFyc+GAEdtzRTI58mjcPtiPSS6G/+YUsmpAgF7GUkfCPXjnzMbPN7voEvRRvcj6fDbT1CCE9DfS1RDA=
0u7553nis1kjclq3hk6o5kfqe7mmjvat.partners.	3600	in	nsec3	1 1 0 73 0V66SJSBN4S53LJBRG3QBI9AUN33RS79 NS DS RRSIG
0u7553nis1kjclq3hk6o5kfqe7mmjvat.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. iB2FuNOyeGDY1v+0VrlDE70c3K2XGp1kA+ZuLtj7o+DyZYCN+vBzaC5eTD8gHHyR3ekPcmUNQSmMg9KbbO+q3CCkdGkDHr1CEruDItmgOpwta32voPynhWOFvjY1E5AvdtYjuQ/eXPo7UB8rvEDWptAEM8L6OlL8WAiU+0u7Jkg=
0v66sjsbn4s53ljbrg3qbi9aun33rs79.partners.	3600	in	nsec3	1 1 0 73 10QO3AOCGD3B9NCHT1DOHQCOS53LFEDJ NS DS RRSIG
0v66sjsbn4s53ljbrg3qbi9aun33rs79.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. VneSxMXyKJrXW6vBrI0RF0qv5aelkgN45XbEIBOlgqYS4CbYENL1FSMmJQ2f8GR8P2fZBckFdh/U+6FEcV9CHGAGM6Q26Qzt0dSxCosz3eLes1Ies0+lBdlAKVvcGOKlPsnnF6ZPZUZmLxyLvnElv6fkwhS8eOXS3tvA1ohcP/g=
0x1337.partners.	3600	in	ns	dns102.ovh.net.
0x1337.partners.	3600	in	ns	ns102.ovh.net.
1.partners.	3600	in	ns	nsany1.infomaniak.com.
1.partners.	3600	in	ns	nsany2.infomaniak.com.
100.partners.	3600	in	ns	ns1.hover.com.
100.partners.	3600	in	ns	ns2.hover.com.
1000.partners.	3600	in	ns	dns15.ovh.net.
1000.partners.	3600	in	ns	ns15.ovh.net.
100percent.partners.	3600	in	ns	ns1.crazydomains.com.
100percent.partners.	3600	in	ns	ns2.crazydomains.com.
101.partners.	3600	in	ns	connect1.squarespacedns.com.
101.partners.	3600	in	ns	connect2.squarespacedns.com.
101us.partners.	3600	in	ns	ns75.domaincontrol.com.
101us.partners.	3600	in	ns	ns76.domaincontrol.com.
103.partners.	3600	in	ns	u1.hoster.by.
103.partners.	3600	in	ns	u2.hoster.by.
1093.partners.	3600	in	ns	ns53.domaincontrol.com.
1093.partners.	3600	in	ns	ns54.domaincontrol.com.
10bit.partners.	3600	in	ns	ns73.domaincontrol.com.
10bit.partners.	3600	in	ns	ns74.domaincontrol.com.
10d.partners.	3600	in	ns	ns1dhl.name.com.
10d.partners.	3600	in	ns	ns2jrt.name.com.
10d.partners.	3600	in	ns	ns3gxy.name.com.
10d.partners.	3600	in	ns	ns4dls.name.com.
10gen.partners.	3600	in	ns	ns13.domaincontrol.com.
10gen.partners.	3600	in	ns	ns14.domaincontrol.com.
10qo3aocgd3b9ncht1dohqcos53lfedj.partners.	3600	in	nsec3	1 1 0 73 12CI9I7084SQ0K1JO4C3F4IGV0T44U7J NS DS RRSIG
10qo3aocgd3b9ncht1dohqcos53lfedj.partners.	3600	in	rrsig	NSEC3 8 2 3600 20260207155407 20260117145407 46045 partners. a1EW8d7tSacXqKvqmMNHWuCWKYS4iA0iY4wEGSLDCjlbb01pTALVnEuBs5eJkp+E3IhCJMbduNGn+4M44Vc4O/A2gQa3/8fNUWfS8zy/EuNBamen1AF/EyPcxKmRL7knxRp1+qZVymSCR0gOovBhz6D5a5Q12W18csQ3ynTfor8=
10star.partners.	3600	in	ns	brodie.ns.cloudflare.com.
10star.partners.	3600	in	ns	simone.ns.cloudflare.com.
10x.partners.	3600	in	ns	ns13.domaincontrol.com.
10x.partners.	3600	in	ns	ns14.domaincontrol.com.
11-11dg.partners.	3600	in	ns	ns51.domaincontrol.com.
11-11dg.partners.	3600	in	ns	ns52.domaincontrol.com.
111.partners.	3600	in	ns	ns-cloud-d1.googledomains.com.
111.partners.	3600	in	ns	ns-cloud-d2.googledomains.com.
111.partners.	3600	in	ns	ns-cloud-d3.googledomains.com.
111.partners.	3600	in	ns	ns-cloud-d4.googledomains.com.
11b.partners.	3600	in	ns	ns51.domaincontrol.com.
11b.partners.	3600	in	ns	ns52.domaincontrol.com.
