0esog7p722ls4m2il46kkgnnq0h6oe7o.paris.	600	in	nsec3	1 1 0 - 0F9I270HACH78M7S1EL3K98LT9K0U44D NS DS RRSIG
0esog7p722ls4m2il46kkgnnq0h6oe7o.paris.	600	in	rrsig	NSEC3 13 2 600 20260204091651 20260105090618 38200 paris. fhIQPKKlddBOydAGv3YdmpoQilpt6DqAmzEnyLcdBsaQ9VUqCupm2UIDSQWvBgWDtSkDZooohv4aopX1iI7fcQ==
0f9i270hach78m7s1el3k98lt9k0u44d.paris.	600	in	nsec3	1 1 0 - 0FATSG94M4OIKV4VVOCHIAOUK6KJNQD4 NS DS RRSIG
0f9i270hach78m7s1el3k98lt9k0u44d.paris.	600	in	rrsig	NSEC3 13 2 600 20260124010130 20251225004732 38200 paris. dNv1fzzPzfFtrLih5WVlorsX31sh3TiSOsRw/wWzauWiKeCD/L78Dk3ZbkDlFjKr85dYYglTbNS4jTLaDxOIaw==
0fatsg94m4oikv4vvochiaouk6kjnqd4.paris.	600	in	nsec3	1 1 0 - 0FQ5TED8R7J8VR5IGCT42S7S4Q40RGP3 NS DS RRSIG
0fatsg94m4oikv4vvochiaouk6kjnqd4.paris.	600	in	rrsig	NSEC3 13 2 600 20260114174440 20251215164508 38200 paris. hjd45YE9xDq8wmQbEh5wrS2f8Hd8iSkeL008+2rWVtT+0GHuy3j6362vYktzQnzXKKgZiJr4PG7Eklzy9a/d4A==
0fq5ted8r7j8vr5igct42s7s4q40rgp3.paris.	600	in	nsec3	1 1 0 - 0G822A8776KVATVRN893R5CJK8JSDJQQ NS DS RRSIG
0fq5ted8r7j8vr5igct42s7s4q40rgp3.paris.	600	in	rrsig	NSEC3 13 2 600 20260121134401 20251222131251 38200 paris. lgh89T1mzdzEKiJbVromXrWA7tW1K8BpZ1FDKq4d9+SDenUYV62sdM0PeuRRlUnr4SgxgeNEMI0R4SLcCRCBWA==
0g822a8776kvatvrn893r5cjk8jsdjqq.paris.	600	in	nsec3	1 1 0 - 0G89R9J3ASFEVRQUPJUO350PKKCD7FJD NS DS RRSIG
0g822a8776kvatvrn893r5cjk8jsdjqq.paris.	600	in	rrsig	NSEC3 13 2 600 20260131121116 20260101112955 38200 paris. SzM/A2jxGsl2bK+xq01dHfXeQ6yj72GDv1eu29KRKeGU0EU909oE4SbVf3F8W/UaiZutlmqZbI3l5C4PfgCuNw==
0g89r9j3asfevrqupjuo350pkkcd7fjd.paris.	600	in	nsec3	1 1 0 - 0GKMPU2F3GRP1SUMKJO0CD41PBRPPKRH NS DS RRSIG
0g89r9j3asfevrqupjuo350pkkcd7fjd.paris.	600	in	rrsig	NSEC3 13 2 600 20260127161327 20251228152935 38200 paris. gRoboue2YFPOURqun2+cvPurhBMTBYeRiN7CEb9pK9jlTlmP/TKFZvaSvLbFZkXC/ySHhYOqlVwtlHuTEeJPnQ==
0gkmpu2f3grp1sumkjo0cd41pbrppkrh.paris.	600	in	nsec3	1 1 0 - 0GKPAVAN06751R3AUCCEIBNGOOIOGKO3 NS DS RRSIG
0gkmpu2f3grp1sumkjo0cd41pbrppkrh.paris.	600	in	rrsig	NSEC3 13 2 600 20260122221517 20251223221221 38200 paris. IsQ1gzkgJiRLmsjTdGDCPRrRzHxdoFU5RuuIfdrtBb8up0JYmnOqm7EYhm/95MTWGJIA1RmaXyLU9SszD2i1wA==
0gkpavan06751r3aucceibngooiogko3.paris.	600	in	nsec3	1 1 0 - 0GT64QMUK6O8H3H762JDK99C9FTR14TK NS DS RRSIG
0gkpavan06751r3aucceibngooiogko3.paris.	600	in	rrsig	NSEC3 13 2 600 20260202033128 20260103032438 38200 paris. TrMljQzrbEYOon4v+IS3GftVNtkL16WgjDP4vHdpzaltU25PeVZUJoG/JDrPcD7Oz66OIWbpyZ0dgcoHrk6rOA==
0gt64qmuk6o8h3h762jdk99c9ftr14tk.paris.	600	in	nsec3	1 1 0 - 0H8F7US9IDVBPGCQF6FI7NI30JOTSO63 NS DS RRSIG
0gt64qmuk6o8h3h762jdk99c9ftr14tk.paris.	600	in	rrsig	NSEC3 13 2 600 20260201114645 20260102105009 38200 paris. frBh8houe43ubH7EoZhX83TCtajZGTU5n+XazHc/tpKma4BrbhXr66JARku+0kRvI0hT4XHP0OsU1Dl91jsGgA==
0h8f7us9idvbpgcqf6fi7ni30jotso63.paris.	600	in	nsec3	1 1 0 - 0H9BPDUPON0B7P1G3Q696IP68HBBJLQC NS DS RRSIG
0h8f7us9idvbpgcqf6fi7ni30jotso63.paris.	600	in	rrsig	NSEC3 13 2 600 20260131170153 20260101165957 38200 paris. F012i/LgWYGDV4qJoy3qErlwzQedHBNtGRhAkpeyST9p9nZFqzn4FTOMGsmcP6p8NxiBQ6Lei6wpSt2cGriHww==
0h9bpdupon0b7p1g3q696ip68hbbjlqc.paris.	600	in	nsec3	1 1 0 - 0HEMP56N30SLHQINUNMOKI8D8JFCEQ18 NS DS RRSIG
0h9bpdupon0b7p1g3q696ip68hbbjlqc.paris.	600	in	rrsig	NSEC3 13 2 600 20260127154724 20251228152149 38200 paris. kH34EVdiwF3a0A4W66tjS2vMw8w3IdmIj/7W0JvPktDdWDDO7WNeoLvJZpeQT2809OsqcynuO1q24Ik6ikbydg==
0hemp56n30slhqinunmoki8d8jfceq18.paris.	600	in	nsec3	1 1 0 - 0HKAE6S4CK90T10V1A8C0TPK4S4BHCJS NS DS RRSIG
0hemp56n30slhqinunmoki8d8jfceq18.paris.	600	in	rrsig	NSEC3 13 2 600 20260202140913 20260103132550 38200 paris. pboW4qm+EB6UwJzcLN5MSSRk3mHV68kL3rs20CQDONuPDB9L+2vy1K+t9WBZmBacSSmEi7bvc/+z2mkaDZgkLw==
0hkae6s4ck90t10v1a8c0tpk4s4bhcjs.paris.	600	in	nsec3	1 1 0 - 0HLIRGA7S97VH3V6FN1GBHIFI8RC0C7O NS DS RRSIG
