weir-africa-comm-cloud.weir.	3600	in	ns	dns1.cscdns.net.
weir-africa-comm-cloud.weir.	3600	in	ns	dns2.cscdns.net.
weir.	3600	in	dnskey	256 3 8 AwEAAbLi/4gwhBYRcVZK1DVGDey8nHDomPils5mubJs/PNgGGXrJpDDk1QFQam+7FxRs9hzY4u80lUV+EShC1ySJBuNcMH3r3ERmM7OsJE0xQFfbe2lWoYV56KfsR4keUa5IqB29n6GZ+rOfkHdixkI3edpihObe0OMmR1ddFF7K81G/
weir.	3600	in	dnskey	256 3 8 AwEAAcwpSOaU7Ik3h0iQz3R+QqzColKHiMModUyyZduH3wvJjEG+3+7GBQE15yiz5nQhtpoDSNwLabCKcM/RuY6Qw7k+Xv6xdOXRX2FLdHa3gEzBHSPqjPfZtf4eEg5BaXrtaZgD0t68o6yLtYhEaha6bRS2s+pBlpevc1eCsLSEmzS5Cby6yYnwlmiHTCopnXP+LJeQ3SU79A2Sd0aKzxjVXG8=
weir.	3600	in	dnskey	257 3 8 AQPOlG8yF/53cjk8oTWnjGZw9TxdWEltlCBe5XUPVaAShbWzsN9e3uupTp5CfbEXlQd0JaMQx4OAZnDOUaFDaUclkPj+M9sDj4J3w3HtP5btlWtRHuy6Q2QINM3GKgtIUKy02zfnPuO8M8lWy/nalaRWAPfaJV60vfnEAUBJgiPKoTrtY5ZOmbLpWHBcjfEH1vysEyF04dWegRJ2IppvBh1DHvrochtJv6+VzP9hX+77kWwlQlk0HZ6hzIdFsm+QEMcXD75EyqIjn/kw9NQCzt8Y2FcZmKSHTX6tMPV5oe07Yi61zFq+i91MJCX6NZiKCjRN83xBhKIkhkilLgiIhyLz
weir.	3600	in	dnskey	257 3 8 AwEAAZ/WpkNzcodlowkNHFqToKm01/KR9kZideQpUEcEvkTxfeaAe5REj9rbktw2OUPiFYWF9v0HY6q6EbgUKf70wbTOiGwXTWAjWLcEkCBtvFlzuYRigvj86V/0ityeHOxxV3A2/O4sRmL3vyvCr4mT1q45jhYBI92e4m2cOR8Pv7foSwRe3/W9CslBrNBscoJYxBHXhq5H8iwmvBnCKJJd+wly75u59+MyL1JjYdIeAIbXlJJ5fcLW+8J3MSFytwcHS4e/GxruxroziKxiXpGsn8IxCWh65SvII9dRJqhtJozAjEJi8zAMsaMEDPp4/EdHHJmek5y3aCuTPM/JLEWOwBk=
weir.	3600	in	ns	a0.nic.weir.
weir.	3600	in	ns	a2.nic.weir.
weir.	3600	in	ns	b0.nic.weir.
weir.	3600	in	ns	c0.nic.weir.
