185r79jkq8gjn560hbo5o84j4k4kc8ip.download.	900	in	nsec3	1 1 0 - 1A8CJDH4D364VPG76IMG43RVMIG5UE9T NS DS RRSIG
185r79jkq8gjn560hbo5o84j4k4kc8ip.download.	900	in	rrsig	NSEC3 8 2 900 20250923075915 20250909072557 59883 download. IMRQmgbzkLU0S1Hj0lLbimNR9wfo+vVGR2KPQenMSEAxZD1tweAivmjS7Iq/qDAofJ7sjoHqcRb5tVzdd3q8YKNFsuYsK+IB8l+3ptAJNEbxc2Buc8Aesksyuikg5S0H6Gonpi9wHxbMGh0aAUqKTK5XwhRRvguNCAYYF0B72rVOKV3lZwCaZ+M68GLYFj+A5SRzlxAZsXOOnYKlgan8dA==
18win.download.	3600	in	ns	millie.ns.cloudflare.com.
18win.download.	3600	in	ns	newt.ns.cloudflare.com.
192bet.download.	3600	in	ns	a.dnspod.com.
192bet.download.	3600	in	ns	b.dnspod.com.
192bet.download.	3600	in	ns	c.dnspod.com.
192ok.download.	3600	in	ns	daisy.ns.cloudflare.com.
192ok.download.	3600	in	ns	lamar.ns.cloudflare.com.
193bet.download.	3600	in	ns	a.dnspod.com.
193bet.download.	3600	in	ns	b.dnspod.com.
193bet.download.	3600	in	ns	c.dnspod.com.
193ok.download.	3600	in	ds	32818 13 2 20ABCAE5A87D2467256F0A149B72C73437136AFA20B56F551D455D75671395D4
193ok.download.	3600	in	ns	launch1.spaceship.net.
193ok.download.	3600	in	ns	launch2.spaceship.net.
193ok.download.	3600	in	rrsig	DS 8 2 3600 20250920095640 20250906085849 59883 download. otoZa2r5fvyTKUc3LCPs+i+4h1qD1kdiaY/QmnXXd4YULdvHhxp98YF2EaRg9DSGpe3Nzl10d9HF8IDPpYmHG+6Jzz81jnxWf+7CBc706CR53nljbBw0NUmXydxXMyEkXnNoxY1WtwKrYePYcXQG9AbVYJEJ+wnOQUVAOsub1xpEyP0eoAkNooHQcrNZBCUDJWbOfe5FfyRUkvSofMQcJw==
1a8cjdh4d364vpg76img43rvmig5ue9t.download.	900	in	nsec3	1 1 0 - 1CVDF2MB1DVUOB1HA6TVDE78IBDN76P0 NS DS RRSIG
1a8cjdh4d364vpg76img43rvmig5ue9t.download.	900	in	rrsig	NSEC3 8 2 900 20250923014713 20250909010323 59883 download. q0dW/m+hAK0Nscvi0BH1aaHcOKNaPnihcisVKqiSPK3fC2HqPLdCMMOT6Ld7eJtJX8ArlKVbDxsksunItIqzK21Tj32hH5Y6CsBT1Sp86Nf05uwz4qiTEHYLwDK3WE3CokLytWoDbX6gNbK41t+xpvfSJABYIpeA6y0lFHfe+D5zhHDBjE4z9HFmiEChWMSbGUwsCGsTN1qYLIabkgYdFw==
1agame.download.	3600	in	ns	heather.ns.cloudflare.com.
1agame.download.	3600	in	ns	javon.ns.cloudflare.com.
1and1-ionos.download.	3600	in	ns	ns-1and1.ui-dns.biz.
1and1-ionos.download.	3600	in	ns	ns-1and1.ui-dns.com.
1and1-ionos.download.	3600	in	ns	ns-1and1.ui-dns.de.
1and1-ionos.download.	3600	in	ns	ns-1and1.ui-dns.org.
1and1ionos.download.	3600	in	ns	ns-1and1.ui-dns.biz.
1and1ionos.download.	3600	in	ns	ns-1and1.ui-dns.com.
1and1ionos.download.	3600	in	ns	ns-1and1.ui-dns.de.
1and1ionos.download.	3600	in	ns	ns-1and1.ui-dns.org.
1apk.download.	3600	in	ns	dara.ns.cloudflare.com.
1apk.download.	3600	in	ns	roan.ns.cloudflare.com.
1cvdf2mb1dvuob1ha6tvde78ibdn76p0.download.	900	in	nsec3	1 1 0 - 1D8UMRCBDDB77MQBGHUPA47LH93TT5FA NS DS RRSIG
1cvdf2mb1dvuob1ha6tvde78ibdn76p0.download.	900	in	rrsig	NSEC3 8 2 900 20250923014713 20250909010323 59883 download. HfSgSy8ovqbwMRqjZjFiyDBauWLS7eeqVaNZSi8vX/yjvCmQJet+PSAiHvxCjq8Fqwmmi7Dpo/q7ifoNZw3dJYgXLTVTuequGqSMBw02vQi55/dk0TY9jRwH51ihUat0zAIm997T0aRbjwW3ViYgXIaMhzcuhN1Be4pbi0LpzD//FU+4+AojxPFCc2XKQWGolPluXGAlt3x1Y4hra4Eb0w==
1d8umrcbddb77mqbghupa47lh93tt5fa.download.	900	in	nsec3	1 1 0 - 1FFIAL0OTGGIS7H73EQ9305SDK97I739 NS DS RRSIG
1d8umrcbddb77mqbghupa47lh93tt5fa.download.	900	in	rrsig	NSEC3 8 2 900 20250925055416 20250911052253 59883 download. s5z5JrgI6h5D8GHpL5bgH+cNLcyuztWkkrzSgE0lPS/6oSS4fiFDIWGCZjnXKZCSI4UCTWf3Sk8Inzyx66Trgq9uV5H5b2hyjKt+TouEgt+GwoZCMuzf5DbLPdXMA4ywghw78E2sjSYNkT9dBUZzCizNxlSqFlQrxwT8ZPeFOpqJB/DiR/NUp2YKtAR4Wltwouowa+hvJPGMae0ln09Psw==
1drivems.download.	3600	in	ns	ns1.renewyourname.net.
1drivems.download.	3600	in	ns	ns2.renewyourname.net.
1drv.download.	3600	in	ns	dns1.p01.nsone.net.
1drv.download.	3600	in	ns	dns2.p01.nsone.net.
1drv.download.	3600	in	ns	dns3.p01.nsone.net.
1drv.download.	3600	in	ns	dns4.p01.nsone.net.
1drvms.download.	3600	in	ns	ns11.value-domain.com.
1drvms.download.	3600	in	ns	ns12.value-domain.com.
1drvms.download.	3600	in	ns	ns13.value-domain.com.
1eegame.download.	3600	in	ns	dns101.registrar-servers.com.
1eegame.download.	3600	in	ns	dns102.registrar-servers.com.
1ffial0otggis7h73eq9305sdk97i739.download.	900	in	nsec3	1 1 0 - 1GGPM4M9LGB7TR5CCREFG7VVQKQUL8IJ NS DS RRSIG
1ffial0otggis7h73eq9305sdk97i739.download.	900	in	rrsig	NSEC3 8 2 900 20250924124518 20250910122939 59883 download. nHYJjDJp6JZobH4nhNjYh1cCs0FeAV+z8JH+UImlS0y/fBi1z+zFkfQh6wrlZzOtqGIt+2Q1pZ7kK36QcrmO+66vFCtaSHceti/GNPzSaV9SQJjZLUJKM6tDdQbEtc5uygcVk7606hWnBhJWfxK4UgGIRkzSKWsIu6R4izECj5BNddkNRt+JvPWGZhRhAmWS+R1smcLNCAK09ZsOUAwpzQ==
1fichier.download.	3600	in	ns	anna.ns.cloudflare.com.
1fichier.download.	3600	in	ns	sam.ns.cloudflare.com.
1ggpm4m9lgb7tr5ccrefg7vvqkqul8ij.download.	900	in	nsec3	1 1 0 - 1M7SHCU8AUKGQ0HGLMUARN63E0HVHMAN NS DS RRSIG
1ggpm4m9lgb7tr5ccrefg7vvqkqul8ij.download.	900	in	rrsig	NSEC3 8 2 900 20250923050750 20250909041050 59883 download. qqy9RC8mvFByFOjPL0D5Iz8Wn2lepRQ1AcSkE+plSD7BqLL7yotmzMVhcJuSeJvDdspGCkKZiQzVnp6ECU/o/VcXpVWoMVnnPxX2bQ3id57rSgiH1WFQE9NT4iMIpQjzfy16n40bLAMTYHzZDpZk9vZW8gPomI94Nk4gl9dc+2gacg29aO/Jpq0CjCWXVFluZN3fgspO3KeXbFdMwG5DQg==
1gom.download.	3600	in	ns	curitiba.ns.porkbun.com.
1gom.download.	3600	in	ns	fortaleza.ns.porkbun.com.
1gom.download.	3600	in	ns	maceio.ns.porkbun.com.
1gom.download.	3600	in	ns	salvador.ns.porkbun.com.
1goplus.download.	3600	in	ns	heather.ns.cloudflare.com.
1goplus.download.	3600	in	ns	javon.ns.cloudflare.com.
1goplusgame.download.	3600	in	ns	heather.ns.cloudflare.com.
1goplusgame.download.	3600	in	ns	javon.ns.cloudflare.com.
1goplusgames.download.	3600	in	ns	celine.ns.cloudflare.com.
1goplusgames.download.	3600	in	ns	theo.ns.cloudflare.com.
1img.download.	3600	in	ns	asa.ns.cloudflare.com.
1img.download.	3600	in	ns	byron.ns.cloudflare.com.
1jjgame.download.	3600	in	ns	dns1.registrar-servers.com.
1jjgame.download.	3600	in	ns	dns2.registrar-servers.com.
1lchrylime.download.	3600	in	ns	curitiba.ns.porkbun.com.
1lchrylime.download.	3600	in	ns	fortaleza.ns.porkbun.com.
1lchrylime.download.	3600	in	ns	maceio.ns.porkbun.com.
1lchrylime.download.	3600	in	ns	salvador.ns.porkbun.com.
1link.download.	3600	in	ds	2371 13 2 F0D0D06919BEE95996799CC00EA6F08FC1F7FB73A00F2AB851B07335A3F28A92
1link.download.	3600	in	ns	asa.ns.cloudflare.com.
1link.download.	3600	in	ns	byron.ns.cloudflare.com.
1link.download.	3600	in	rrsig	DS 8 2 3600 20250924183045 20250910175040 59883 download. GBU3/CetPXryFiWPq667uUGQ/Ffv0QHz+TL4+W45tTz1YCgsbFlfSZBfoOHABXAE5n6BEzoO5YL5z+wqzZKJKg8Py6RofU4wGWUd9Gju36Em5ZQMECetghCmh99lUQkwn7BpU1LRHHOyHDDG02NOhRdyVZRk4vqzH9KLUNQzKw0GMPnRMJsseupF5DAynMh3uzGal/1K0vX5rhC760WxPg==
