1pb1idpk2kqsu0rdlucneq45af5la5v4.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. cmpzjREKcFvJzRk+82gBoDLlmqim71AvRMXmBy0KmZ84IR4lH902SoQpSIH8RUTeKBWbQRNZ44FZ8RVhJSyOZHOCm9iSyU0WszMoyde3fupZ3/P9gaapR9DAQFd6FFu7tLXH5K6ymwYSboF5S0AUCq5K7hWU4V2awlI5YxrhP2E=
1solbb6qmam6gd49f58o57e0lnuvei5v.healthcare.	3600	in	nsec3	1 1 0 73 1T6LS3J4PS25JSKE3A5O7V7NALO6HJR3 NS DS RRSIG
1solbb6qmam6gd49f58o57e0lnuvei5v.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. tvpl0DjBiTKv6CUIQQecjCWmNIbrVCuImMwQtEWcnjtid6RUedmFOEXligGfYGuZIO5EYUzzbwlFgC+DRIxzZamX9sZri2XGZMSfzkw0pNcbV6Vlf9AOM3XfGSoLH2ruAkGv1IlpfrnLn7q/q/zSnknN6BfD+lO5gsMvRBCWruk=
1t6ls3j4ps25jske3a5o7v7nalo6hjr3.healthcare.	3600	in	nsec3	1 1 0 73 1TCTC7M6H6OVFVE8TMOE9DSNPLVN1N5I NS DS RRSIG
1t6ls3j4ps25jske3a5o7v7nalo6hjr3.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. CGK3tTac3mo0zZSNa5M4cDjIVx9oKcaekt23KnhURAkcP4ETfirxP06nxJAS8dOgWOifQYOSHyNUdb7Dr271epGinRdCjJy7Eu5Q13ft/+NJZaB2OjZ+syfPemSL3wn6f2l0D+PaVbsU/w271c7qZO509UAhiqt6MkQCQqT31RI=
1tctc7m6h6ovfve8tmoe9dsnplvn1n5i.healthcare.	3600	in	nsec3	1 1 0 73 23J5D6R6GQSGDLG8QMP35FET3R2GGT27 NS DS RRSIG
1tctc7m6h6ovfve8tmoe9dsnplvn1n5i.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. Bs4kAZzHpw0o/zstPTg0twaSvXOB+6zU5Yi/3bOZfNcPEtzCQs3BR/KMgv61asBayFm9a94xMvQwCyNm23gPrI93exFb8uIN/z+3lBH2e/CY6UHHZe5+xYFYkkSryboI/V+YGPkIkOT4CqiqQf2bvch0Qbavf09KA4riY2u9nnk=
1uphealth.healthcare.	3600	in	ns	dns1.registrar-servers.com.
1uphealth.healthcare.	3600	in	ns	dns2.registrar-servers.com.
2040.healthcare.	3600	in	ns	ns67.domaincontrol.com.
2040.healthcare.	3600	in	ns	ns68.domaincontrol.com.
20four7.healthcare.	3600	in	ns	ns-1331.awsdns-38.org.
20four7.healthcare.	3600	in	ns	ns-1742.awsdns-25.co.uk.
20four7.healthcare.	3600	in	ns	ns-51.awsdns-06.com.
20four7.healthcare.	3600	in	ns	ns-947.awsdns-54.net.
23andme.healthcare.	3600	in	ns	ns1.markmonitor.com.
23andme.healthcare.	3600	in	ns	ns2.markmonitor.com.
23andme.healthcare.	3600	in	ns	ns3.markmonitor.com.
23andme.healthcare.	3600	in	ns	ns4.markmonitor.com.
23andme.healthcare.	3600	in	ns	ns5.markmonitor.com.
23andme.healthcare.	3600	in	ns	ns6.markmonitor.com.
23andme.healthcare.	3600	in	ns	ns7.markmonitor.com.
23j5d6r6gqsgdlg8qmp35fet3r2ggt27.healthcare.	3600	in	nsec3	1 1 0 73 25G90MFKV5Q4FP20VV5IS27FPTCN2ITB NS DS RRSIG
23j5d6r6gqsgdlg8qmp35fet3r2ggt27.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. zczGWJ34H/p5kDMGdZDeUZ8uSeM9rNoRZfYQkEDZx5hiou/xhZ2/mZH/MfevCmCHywE/AnRjRh9k8qXl9G8iqEB/aCGRs/pvjZm2OU/J1UNXPk63O/1cQg50IfivP+8SI6/YJqxeOulPaD6ppyF+NKJ+IY7zvmsx5kMOr32DJU4=
24x7.healthcare.	3600	in	ns	ns71.domaincontrol.com.
24x7.healthcare.	3600	in	ns	ns72.domaincontrol.com.
25g90mfkv5q4fp20vv5is27fptcn2itb.healthcare.	3600	in	nsec3	1 1 0 73 265DTES6583ADV7E741OHU7NUDA1D3CP NS DS RRSIG
25g90mfkv5q4fp20vv5is27fptcn2itb.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. nZtqDI0Rdgi+5Z/k79U+mAaIpn3a4ilg5Q0DuZd1BYsF1ze0WZTY1Z/vbPq4XTr5w5BaiAUs4f5577M3ZmrgwgxTm50lffm0yuz+XCOSyHaY/fVfE2004dRNvBzIp2oKsjF8OR1LwJ4+7TMvwtZtaaWFMOrtvqU58lA7Hn06e00=
265dtes6583adv7e741ohu7nuda1d3cp.healthcare.	3600	in	nsec3	1 1 0 73 2B7434K44VCBTTOTMRFNATM57S5U2DCO NS DS RRSIG
265dtes6583adv7e741ohu7nuda1d3cp.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. rqavmvViy5hUJtvarsEIehahFP6J9XX1J0+iLPdqQHcVmBYJN0iumRFt5Iakshw5rk6KVmDPXwJA0rX/sVwbkaqbzUlIg2Y9IOpRwARcD7yrnl79Jr9EKUsVD0Qlwv5AadUKHZCfp26a/HRGPrzEw1Mn0IGVyjjYh1h5QJFlFT4=
2a.healthcare.	3600	in	ns	ns75.domaincontrol.com.
2a.healthcare.	3600	in	ns	ns76.domaincontrol.com.
2b7434k44vcbttotmrfnatm57s5u2dco.healthcare.	3600	in	nsec3	1 1 0 73 2CLEP9MRJT01HI05TLPOT5LMFUDU3MJ8 NS DS RRSIG
2b7434k44vcbttotmrfnatm57s5u2dco.healthcare.	3600	in	rrsig	NSEC3 8 2 3600 20260207154707 20260117144707 45603 healthcare. VvFUqvSFgyIXApOkyvXKU9jGz4yM4uuWxMptut2BpdeYT2xQWuNz/7QUbTJ1vrSgieVQfe19cDedhU2RxKQyE5L2pyrcdK9BkllOHv2M8BlDDCfWDXLZo3zqz/xMb8+GJJoyYNcCdrFw5tzI1Kb+FFI9IxJwiRDa/mVhzVI5a+A=
2bprecise.healthcare.	3600	in	ns	ns67.domaincontrol.com.
2bprecise.healthcare.	3600	in	ns	ns68.domaincontrol.com.
2clep9mrjt01hi05tlpot5lmfudu3mj8.healthcare.	3600	in	nsec3	1 1 0 73 2GQ4IFA2327V762D16S8B6GC7D16UBO6 NS DS RRSIG
