01440.pizza.	3600	in	ns	b.dnspod.com.
01440.pizza.	3600	in	ns	c.dnspod.com.
014424.pizza.	3600	in	ns	ns1.1233dns.com.
014424.pizza.	3600	in	ns	ns2.951dns.com.
01459.pizza.	3600	in	ns	ns7.alidns.com.
01459.pizza.	3600	in	ns	ns8.alidns.com.
01463.pizza.	3600	in	ns	n1.xundns.com.
01463.pizza.	3600	in	ns	n2.xundns.com.
014659.pizza.	3600	in	ns	vip7.alidns.com.
014659.pizza.	3600	in	ns	vip8.alidns.com.
01471.pizza.	3600	in	ns	ns1.dns.com.
01471.pizza.	3600	in	ns	ns2.dns.com.
01480.pizza.	3600	in	ns	ns1.1233dns.com.
01480.pizza.	3600	in	ns	ns2.951dns.com.
015.pizza.	3600	in	ns	ns1.dyna-ns.net.
015.pizza.	3600	in	ns	ns2.dyna-ns.net.
01507.pizza.	3600	in	ns	ns1.dnsip.com.
01507.pizza.	3600	in	ns	ns2.dnsip.com.
015149.pizza.	3600	in	ns	ns1.dnsip.com.
015149.pizza.	3600	in	ns	ns2.dnsip.com.
01524.pizza.	3600	in	ns	ns7.alidns.com.
01524.pizza.	3600	in	ns	ns8.alidns.com.
01539.pizza.	3600	in	ns	ns1.1233dns.com.
01539.pizza.	3600	in	ns	ns2.951dns.com.
01544.pizza.	3600	in	ns	ns1.dnsip.com.
01544.pizza.	3600	in	ns	ns2.dnsip.com.
01552.pizza.	3600	in	ns	n1.xundns.com.
01552.pizza.	3600	in	ns	n2.xundns.com.
0156.pizza.	3600	in	ns	dns1.registrar-servers.com.
0156.pizza.	3600	in	ns	dns2.registrar-servers.com.
01562.pizza.	3600	in	ns	ns1.1233dns.com.
01562.pizza.	3600	in	ns	ns2.951dns.com.
01566.pizza.	3600	in	ns	n1.xundns.com.
01566.pizza.	3600	in	ns	n2.xundns.com.
01586.pizza.	3600	in	ns	ns7.alidns.com.
01586.pizza.	3600	in	ns	ns8.alidns.com.
01588.pizza.	3600	in	ns	ns1.dnsip.com.
01588.pizza.	3600	in	ns	ns2.dnsip.com.
01591.pizza.	3600	in	ns	n1.xundns.com.
01591.pizza.	3600	in	ns	n2.xundns.com.
01596.pizza.	3600	in	ns	ns1.dyna-ns.net.
01596.pizza.	3600	in	ns	ns2.dyna-ns.net.
015986.pizza.	3600	in	ns	ns1.1233dns.com.
015986.pizza.	3600	in	ns	ns2.951dns.com.
016.pizza.	3600	in	ns	ns1.dyna-ns.net.
016.pizza.	3600	in	ns	ns2.dyna-ns.net.
016000.pizza.	3600	in	ns	v1s1.xundns.com.
016000.pizza.	3600	in	ns	v1s2.xundns.com.
01608.pizza.	3600	in	ns	ns1.dyna-ns.net.
01608.pizza.	3600	in	ns	ns2.dyna-ns.net.
01611.pizza.	3600	in	ns	v1s1.xundns.com.
01611.pizza.	3600	in	ns	v1s2.xundns.com.
016111.pizza.	3600	in	ns	v1s1.xundns.com.
016111.pizza.	3600	in	ns	v1s2.xundns.com.
016123.pizza.	3600	in	ns	v1s1.xundns.com.
016123.pizza.	3600	in	ns	v1s2.xundns.com.
01616.pizza.	3600	in	ns	v1s1.xundns.com.
01616.pizza.	3600	in	ns	v1s2.xundns.com.
01618.pizza.	3600	in	ns	v1s1.xundns.com.
01618.pizza.	3600	in	ns	v1s2.xundns.com.
01622.pizza.	3600	in	ns	v1s1.xundns.com.
01622.pizza.	3600	in	ns	v1s2.xundns.com.
016222.pizza.	3600	in	ns	v1s1.xundns.com.
016222.pizza.	3600	in	ns	v1s2.xundns.com.
