23avvpl071pqkuk7mu66he3a37famnro.faith.	900	in	rrsig	NSEC3 8 2 900 20251012025131 20250928021534 36501 faith. dOwHth6o/n51330z8H+9w8q83bZZDcaeaZa4F73kwjicSivVEhu3a8YZ/TytE90AGrIauG8u6ZT1AacIfLbXCzHNKvVRCQ9CGhyQ4v+beQ20IXWb7aUWlr+UpbzyNNJy8xdcZ8kK2QjrqMZ7SP+zWnqKrK+/PtOY0vYU4ALLc3hC/5Et51f81VzoslgAeLG+/z8rvvHG/mEOAhF01pj+kg==
23win.faith.	3600	in	ns	meiling.ns.cloudflare.com.
23win.faith.	3600	in	ns	osmar.ns.cloudflare.com.
24vulkan.faith.	3600	in	ns	hope.ns.cloudflare.com.
24vulkan.faith.	3600	in	ns	rommy.ns.cloudflare.com.
2520.faith.	3600	in	ds	47089 8 2 22B3E2101B9EE4CB5768A0CE40C5C524E73B77DE9B0E398BEFF10BC59CC10FF3
2520.faith.	3600	in	ns	ns-cloud-a1.googledomains.com.
2520.faith.	3600	in	ns	ns-cloud-a2.googledomains.com.
2520.faith.	3600	in	ns	ns-cloud-a3.googledomains.com.
2520.faith.	3600	in	ns	ns-cloud-a4.googledomains.com.
2520.faith.	3600	in	rrsig	DS 8 2 3600 20251013043454 20250929041627 36501 faith. kS6QPIKEZMhWCvTMxmnBjItbzEwIccMFKiufIXHg5sLjh+Nay6z7XSgIoYt/0gq4sDZla7Kv4pESEFhOl7uK8RYw26ENqlakIglmJcOPQxN8gcOWwGteK3vr/1j9yQ47tGAicpRwHJv8Kn+B2hlyAf7KUm9tgZh+QueGjaupzw3f1SVdR7qbwi4Pw0tnNFIo1pWJQ5+C49HIFVSIte6NfQ==
2540project.faith.	3600	in	ns	ns15.domaincontrol.com.
2540project.faith.	3600	in	ns	ns16.domaincontrol.com.
256.faith.	7200	in	ns	ns3.myhostadmin.net.
256.faith.	7200	in	ns	ns4.myhostadmin.net.
257660ju34elkklvjftoet5bfi15hos3.faith.	900	in	nsec3	1 1 0 - 2EB3PSB4LBKPH8FS03QJGRITV5H29UM1 NS DS RRSIG
