1mjmafumja76d4iksk2d01i3rcnlpm2m.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. me9NyD8w7so1HERpn89BK4uU7MKhKRUS7pa3G72Lvcw7B1XkQpEhf+ZXznASq71v2qz3VOnmEgW3lpLmooMd8MO+Ke4wsjNGTPRPz0dPLtxC/PfZw0EUkdGNqUy11rBjwbT+GLLxuisxBGN6k+O77xGnypBOTQ5k/i6TUXIOUM4=
1mo647ph12abt0oaain523hnhgutl0l0.fish.	3600	in	nsec3	1 1 0 73 1QN8ACE3I92C968G3RKCO5M6K1ERCJRA NS DS RRSIG
1mo647ph12abt0oaain523hnhgutl0l0.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. YKw0qesnAbaCpxIQRh8iGild0CPdm6hOhqs1pUYpqCZ5I/BkJkpJMVWUgsRRB3I3bTHgqa7hX9HTrgK43trGUqpRG+ipEE+GI17Q4P6C9+2YO0FEZkayXbNFViSPOz3zLbWzPquE9xvrArvJOywNR/kkDQsRM8dDmBwe5qMSHUQ=
1qn8ace3i92c968g3rkco5m6k1ercjra.fish.	3600	in	nsec3	1 1 0 73 1ROSUFQDDO3LUC0RRITRHATU805IJLIG NS DS RRSIG
1qn8ace3i92c968g3rkco5m6k1ercjra.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. fRKR2URWJgZATJpnFu2h6pcXECZ0AJLTyvd/qGV09b9yEfLyvbQTkKP8y2+p++hkSpR+9PNbXlutBqyyZ2D2ICCKhdMMF3mujJRE8Xj21sZAnRTvYPTRiKb1qwNvWWLcyoy3qRDXQgl87IRAp9WgrUKCosVG9ZlDws0CpW7yqaU=
1rosufqddo3luc0rritrhatu805ijlig.fish.	3600	in	nsec3	1 1 0 73 1TF962KTP6II24R7QSVS75ICVD2DF0VG NS DS RRSIG
1rosufqddo3luc0rritrhatu805ijlig.fish.	3600	in	rrsig	NSEC3 8 2 3600 20260122153534 20260101143534 61224 fish. l7XDVpcNVbovTxi9qW89+JCuouui63yMjxCIUInEKuQk1QFomZeg2AZwIzMgVU8/GNLnyjxFKl7ep2nSq0VXUkxWwaP8K2+GF8dukUryJWZE9yyo0DPYlLwxZs4LqvUJ48/cap9OIAm8/NW5pcf0GSLGFKNqud8YAipZvi7hxcQ=
1st.fish.	3600	in	ns	ns1.atom.com.
1st.fish.	3600	in	ns	ns2.atom.com.
1tamilmv.fish.	3600	in	ns	dax.ns.cloudflare.com.
1tamilmv.fish.	3600	in	ns	zelda.ns.cloudflare.com.
1tf962ktp6ii24r7qsvs75icvd2df0vg.fish.	3600	in	nsec3	1 1 0 73 1VFO0P2RH76KQ04NGBLTM9FP2BSKQANA NS DS RRSIG
