91etdb7n3t3pvqapcucblt4fq1od2bhp.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. XdvakSqOiNODmpspuHz4YrtU67OGvD1g9bSLVuwGxGUre5Tr3CaA6VcPi4rf1dw+ohcoy2p0TkUIdn+icPvHb6xvggNOSf/YyuV1QtuNFYZ0XPl/rqwGusclaU753sGFS9gqoZkc16JGXPVAuXz8S/qYMUJB8RXUovMrLvEN49U=
9cc3erl5bfeank5upqkkn9dd6hc26jkv.surgery.	3600	in	nsec3	1 1 0 73 9NSSQE852P68R1CFDBA4EEV6VU8RIRJI NS DS RRSIG
9cc3erl5bfeank5upqkkn9dd6hc26jkv.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. YiuAzxj+XW1ShKF9STPiv3d89PZXSU4iNioPJ4HieRzWgfprloQZMBxkouasOa9czI3wl3u1HEGNuDG+ZOguJgp7sXMRPB0gLi6FiARtpKKAOIv8ilTeS2KRbkRA+OaVXQJNgZv9SLv/O+h60aNr7jyuEIbiDEZ5DlbsXVV+11A=
9nssqe852p68r1cfdba4eev6vu8rirji.surgery.	3600	in	nsec3	1 1 0 73 A21L1QFQ2IVPU0IN34D1VGE4NPLA4FEM NS DS RRSIG
9nssqe852p68r1cfdba4eev6vu8rirji.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. LxWHVvieFdfXWPLynKyA0aH1JzIF7mdcUgwtT4t7ai4ECRr7f7b9m9KUhzTS+PKqmH84KgqZNz1YlnalCDxc2wfGPunZbFS9J781G6vbmpNq9PHyEqAK6GUutZr1medSikiILnQO4gfXgGYGhplbdNpCWgqKD98iPb9h7DKvDOw=
a21l1qfq2ivpu0in34d1vge4npla4fem.surgery.	3600	in	nsec3	1 1 0 73 AM01D0SRD9U9CG354UUVBT9OO0GUB3NP NS DS RRSIG
a21l1qfq2ivpu0in34d1vge4npla4fem.surgery.	3600	in	rrsig	NSEC3 8 2 3600 20260122161027 20260101151027 19869 surgery. dkDjIq414drFvLmsafxcUKBI8TCSishkKVzlSuyWfbAlvrpjjeWxs00wfuVhI3Jbroo7YRx1leyvxenNKHiclNI5Og0Mh+QmClsaGSjsH95xJQ3Zktgf+Cv1Fr7+rZX3BQB6o7eyNv0B/8WXFjKnBQO6Gb2pQYWpJtWDGKpoWSc=
aao.surgery.	3600	in	ns	ns1.101domain.com.
aao.surgery.	3600	in	ns	ns2.101domain.com.
aao.surgery.	3600	in	ns	ns5.101domain.com.
abc8.surgery.	3600	in	ns	bryce.ns.cloudflare.com.
abc8.surgery.	3600	in	ns	margot.ns.cloudflare.com.
abdentistry.surgery.	3600	in	ns	ns51.worldnic.com.
abdentistry.surgery.	3600	in	ns	ns52.worldnic.com.
aboutmy.surgery.	3600	in	ns	ns1bdg.name.com.
aboutmy.surgery.	3600	in	ns	ns2jrt.name.com.
aboutmy.surgery.	3600	in	ns	ns3ghw.name.com.
aboutmy.surgery.	3600	in	ns	ns4fpy.name.com.
academic.surgery.	3600	in	ns	ns1.dreamhost.com.
academic.surgery.	3600	in	ns	ns2.dreamhost.com.
academic.surgery.	3600	in	ns	ns3.dreamhost.com.
access.surgery.	3600	in	ns	ns-1400.awsdns-47.org.
access.surgery.	3600	in	ns	ns-1886.awsdns-43.co.uk.
access.surgery.	3600	in	ns	ns-316.awsdns-39.com.
access.surgery.	3600	in	ns	ns-723.awsdns-26.net.
accountable.surgery.	3600	in	ns	dns101.register.com.
accountable.surgery.	3600	in	ns	dns102.register.com.
acdf.surgery.	3600	in	ns	ns1.syrahost.com.
acdf.surgery.	3600	in	ns	ns2.syrahost.com.
acl.surgery.	3600	in	ns	ns3.afternic.com.
acl.surgery.	3600	in	ns	ns4.afternic.com.
activemotion.surgery.	3600	in	ns	ns1.gigahost.dk.
activemotion.surgery.	3600	in	ns	ns2.gigahost.dk.
activemotion.surgery.	3600	in	ns	ns3.gigahost.dk.
activemotion.surgery.	3600	in	ns	ns4.gigahost.dk.
activemotion.surgery.	3600	in	ns	ns5.gigahost.dk.
actx.surgery.	3600	in	ns	dns1.registrar-servers.com.
actx.surgery.	3600	in	ns	dns2.registrar-servers.com.
acute-care.surgery.	3600	in	ns	ns1.hosttech.ch.
acute-care.surgery.	3600	in	ns	ns2.hosttech.ch.
acute-care.surgery.	3600	in	ns	ns3.hosttech.ch.
acutecare.surgery.	3600	in	ns	ns1.hosttech.ch.
acutecare.surgery.	3600	in	ns	ns2.hosttech.ch.
acutecare.surgery.	3600	in	ns	ns3.hosttech.ch.
ada.surgery.	3600	in	ns	ns.udag.de.
ada.surgery.	3600	in	ns	ns.udag.net.
ada.surgery.	3600	in	ns	ns.udag.org.
adamsplastic.surgery.	3600	in	ns	ns45.domaincontrol.com.
adamsplastic.surgery.	3600	in	ns	ns46.domaincontrol.com.
adelaidehand.surgery.	3600	in	ns	ns1.crazydomains.com.
adelaidehand.surgery.	3600	in	ns	ns2.crazydomains.com.
adelaideneuro.surgery.	3600	in	ns	ns0.wixdns.net.
adelaideneuro.surgery.	3600	in	ns	ns1.wixdns.net.
adelaideplastic.surgery.	3600	in	ns	ns1.crazydomains.com.
adelaideplastic.surgery.	3600	in	ns	ns2.crazydomains.com.
adelaidespine.surgery.	3600	in	ns	ns0.wixdns.net.
adelaidespine.surgery.	3600	in	ns	ns1.wixdns.net.
adezkibart.surgery.	3600	in	ns	ns1.amgen.com.
adezkibart.surgery.	3600	in	ns	ns2.amgen.com.
adezkibart.surgery.	3600	in	ns	ns3.amgen.com.
adonis.surgery.	3600	in	ns	gene.ns.cloudflare.com.
adonis.surgery.	3600	in	ns	osmar.ns.cloudflare.com.
