3s6o83hjlv5off2mhqh9tiq79aj7smcc.sex.	900	in	rrsig	NSEC3 8 2 900 20250920072207 20250906063816 39204 sex. KCNwAywg6zXAd3pQOmHw/HCZQYdq4KwPVLvpQUAHJJxb2dtrsPSi5V4kt3rSL1AkXc+WiX5dgtfI07a+63fjZSE0UCtzMbY9F49pxlQqIsn8k3MVTOXDWMkfa2Vfajdv9hEujJo6DUHPQN6aL1P+w0R6sfzXw+fjZm4Q3GPvE2c9YBVxLAHwFqapLNQhyBJeKCRB4FAlLsgq3PftnOeHNA==
3way.sex.	3600	in	ns	curitiba.ns.porkbun.com.
3way.sex.	3600	in	ns	fortaleza.ns.porkbun.com.
3way.sex.	3600	in	ns	maceio.ns.porkbun.com.
3way.sex.	3600	in	ns	salvador.ns.porkbun.com.
40rpdmd4j087nh6ariffcbr6ehbhe587.sex.	900	in	nsec3	1 1 0 - 414NDSOTJ5P3MFH5CCNHK8I1NVQP41LN NS DS RRSIG
40rpdmd4j087nh6ariffcbr6ehbhe587.sex.	900	in	rrsig	NSEC3 8 2 900 20250920131358 20250906125631 39204 sex. hEWxlySFwYE+0ZsMb+KpwI3E4wG/2kBeEkFEO7ofO+1Wlt45rDoGGxZo3jw3aWEfgBCB+4Ekrpb3Tmco6Tw6vXHobAXgVFr1yocLiZfI4GL7bBdJqE35Qzp8Utm5jwNFahydbu1Co++Hl70mteKn3LC3iglS5yWv9D454gOquwvN2Wu6hX+u5iWQXYjwiWZm9efpYLwoOxgOmRryjPwCxg==
411.sex.	86400	in	ns	ns1.sedoparking.com.
411.sex.	86400	in	ns	ns2.sedoparking.com.
414ndsotj5p3mfh5ccnhk8i1nvqp41ln.sex.	900	in	nsec3	1 1 0 - 45NVFJ3SPQ1SSF48SBQH40CIFVRLA0J7 NS DS RRSIG
414ndsotj5p3mfh5ccnhk8i1nvqp41ln.sex.	900	in	rrsig	NSEC3 8 2 900 20250922113632 20250908111732 39204 sex. ZYgVfeLLwLnDAXnOUBsSV/7ytjxRe3UZonR4jjox15RjZpxheF7BpjiuXYZ8u2qC34bbOAFbiBpSx/Y6mY81+3e1jRO/p9r2fWmQ88M/i5xa8BKRqoCXDeHU3DeMa82Kw/FEfBTYUVegHeE3tx20b+RmAQIeXZpTsue6mzdl7/+RtYkZWuJeK5K7SHpRSD9836g6kN0LTW5S4j1uwxJZ6Q==
429.sex.	3600	in	ns	aryanna.ns.cloudflare.com.
429.sex.	3600	in	ns	rodrigo.ns.cloudflare.com.
4355corp.sex.	3600	in	ns	ns63.worldnic.com.
4355corp.sex.	3600	in	ns	ns64.worldnic.com.
45nvfj3spq1ssf48sbqh40cifvrla0j7.sex.	900	in	nsec3	1 1 0 - 4MDT7ETBM88IBNA3APC2U1VDSQBMQJP2 NS DS RRSIG
45nvfj3spq1ssf48sbqh40cifvrla0j7.sex.	900	in	rrsig	NSEC3 8 2 900 20250925063956 20250911054158 39204 sex. NBl5wjg59KTcHT/ekSnf9+mSoh6UEiM1WVnNx/QK1IxT5d4sVbPAmVtkiY6o/GWGKhiUmQ+2nyuCebm1HlSC7MPKdfj+4iSN45g8XltRrVQDf43gOw9j+nQ20G78OEuLlOrY6RpLCYVRSkhYYfYfLbA8fENrw1DuPdHAy/p4XGguiFWY7N/ctlxX1KGnbU6noWv2a6XgVtoH9UHlWy88OA==
4best.sex.	86400	in	ns	ns49.domaincontrol.com.
4best.sex.	86400	in	ns	ns50.domaincontrol.com.
4cam.sex.	86400	in	ns	ns101.acwebconnecting.com.
4cam.sex.	86400	in	ns	ns102.acwebconnecting.com.
4cams.sex.	86400	in	ns	ns101.acwebconnecting.com.
4cams.sex.	86400	in	ns	ns102.acwebconnecting.com.
4free.sex.	86400	in	ns	ns1a.dodns.net.
4free.sex.	86400	in	ns	ns2a.dodns.net.
4hu.sex.	86400	in	ns	ns1cnb.name.com.
4hu.sex.	86400	in	ns	ns2fgp.name.com.
4hu.sex.	86400	in	ns	ns3cna.name.com.
4hu.sex.	86400	in	ns	ns4fpy.name.com.
4mdt7etbm88ibna3apc2u1vdsqbmqjp2.sex.	900	in	nsec3	1 1 0 - 4VMJ4M8EO4MQ42D1CSBP9O8T7O9D39HN NS DS RRSIG
