brainhealthservice.rugby.	3600	in	ns	ns-1246.awsdns-27.org.
brainhealthservice.rugby.	3600	in	ns	ns-1545.awsdns-01.co.uk.
brainhealthservice.rugby.	3600	in	ns	ns-393.awsdns-49.com.
brainhealthservice.rugby.	3600	in	ns	ns-969.awsdns-57.net.
briars.rugby.	3600	in	ns	ns1.get.rugby.
briars.rugby.	3600	in	ns	ns2.get.rugby.
briars.rugby.	3600	in	ns	ns3.get.rugby.
briars.rugby.	3600	in	ns	ns4.get.rugby.
british.rugby.	3600	in	ns	ns-148-c.gandi.net.
british.rugby.	3600	in	ns	ns-186-a.gandi.net.
british.rugby.	3600	in	ns	ns-68-b.gandi.net.
brumbies.rugby.	3600	in	ns	ns1.get.rugby.
brumbies.rugby.	3600	in	ns	ns2.get.rugby.
brumbies.rugby.	3600	in	ns	ns3.get.rugby.
brumbies.rugby.	3600	in	ns	ns4.get.rugby.
buller.rugby.	3600	in	ns	ns1.get.rugby.
buller.rugby.	3600	in	ns	ns2.get.rugby.
buller.rugby.	3600	in	ns	ns3.get.rugby.
buller.rugby.	3600	in	ns	ns4.get.rugby.
bungendore.rugby.	3600	in	ns	ns1.bdm.microsoftonline.com.
bungendore.rugby.	3600	in	ns	ns2.bdm.microsoftonline.com.
bungendore.rugby.	3600	in	ns	ns3.bdm.microsoftonline.com.
bungendore.rugby.	3600	in	ns	ns4.bdm.microsoftonline.com.
bunnings.rugby.	3600	in	ns	ns1.get.rugby.
bunnings.rugby.	3600	in	ns	ns2.get.rugby.
bunnings.rugby.	3600	in	ns	ns3.get.rugby.
bunnings.rugby.	3600	in	ns	ns4.get.rugby.
bunningsnpc.rugby.	3600	in	ns	ns1.get.rugby.
bunningsnpc.rugby.	3600	in	ns	ns2.get.rugby.
bunningsnpc.rugby.	3600	in	ns	ns3.get.rugby.
bunningsnpc.rugby.	3600	in	ns	ns4.get.rugby.
bushpigs.rugby.	3600	in	ns	ns1.syd5.hostyourservices.net.
bushpigs.rugby.	3600	in	ns	ns2.syd5.hostyourservices.net.
c.nic.rugby.	7200	in	a	37.209.196.10
c.nic.rugby.	7200	in	aaaa	2001:0dcd:0003:0000:0000:0000:0000:0010
cal.rugby.	3600	in	ns	ns1.get.rugby.
cal.rugby.	3600	in	ns	ns2.get.rugby.
cal.rugby.	3600	in	ns	ns3.get.rugby.
cal.rugby.	3600	in	ns	ns4.get.rugby.
california.rugby.	3600	in	ns	ns1.get.rugby.
california.rugby.	3600	in	ns	ns2.get.rugby.
california.rugby.	3600	in	ns	ns3.get.rugby.
california.rugby.	3600	in	ns	ns4.get.rugby.
californialegion.rugby.	3600	in	ns	ns1.get.rugby.
californialegion.rugby.	3600	in	ns	ns2.get.rugby.
californialegion.rugby.	3600	in	ns	ns3.get.rugby.
californialegion.rugby.	3600	in	ns	ns4.get.rugby.
campina.rugby.	3600	in	ns	ns750.hostgator.com.br.
campina.rugby.	3600	in	ns	ns751.hostgator.com.br.
campus.rugby.	3600	in	ns	ns-173-c.gandi.net.
campus.rugby.	3600	in	ns	ns-200-b.gandi.net.
campus.rugby.	3600	in	ns	ns-208-a.gandi.net.
capetown.rugby.	3600	in	ns	ns1.get.rugby.
capetown.rugby.	3600	in	ns	ns2.get.rugby.
capetown.rugby.	3600	in	ns	ns3.get.rugby.
capetown.rugby.	3600	in	ns	ns4.get.rugby.
castres-olympique.rugby.	3600	in	ns	ns1.get.rugby.
castres-olympique.rugby.	3600	in	ns	ns2.get.rugby.
castres-olympique.rugby.	3600	in	ns	ns3.get.rugby.
castres-olympique.rugby.	3600	in	ns	ns4.get.rugby.
cd44.rugby.	3600	in	ns	ns1.routing.net.
cd44.rugby.	3600	in	ns	ns2.routing.net.
cd44.rugby.	3600	in	ns	ns3.routing.net.
cerys.rugby.	3600	in	ns	ns1.get.rugby.
cerys.rugby.	3600	in	ns	ns2.get.rugby.
cerys.rugby.	3600	in	ns	ns3.get.rugby.
cerys.rugby.	3600	in	ns	ns4.get.rugby.
cgru.rugby.	3600	in	ns	ns8.wixdns.net.
cgru.rugby.	3600	in	ns	ns9.wixdns.net.
charleston.rugby.	3600	in	ns	ns-1325.awsdns-37.org.
charleston.rugby.	3600	in	ns	ns-1932.awsdns-49.co.uk.
charleston.rugby.	3600	in	ns	ns-42.awsdns-05.com.
charleston.rugby.	3600	in	ns	ns-610.awsdns-12.net.
charlotteroyals.rugby.	3600	in	ns	ns1.get.rugby.
charlotteroyals.rugby.	3600	in	ns	ns2.get.rugby.
charlotteroyals.rugby.	3600	in	ns	ns3.get.rugby.
charlotteroyals.rugby.	3600	in	ns	ns4.get.rugby.
chile.rugby.	3600	in	ns	ns1.hostname.cl.
chile.rugby.	3600	in	ns	ns2.hostname.cl.
chile.rugby.	3600	in	ns	ns3.hostname.cl.
chile.rugby.	3600	in	ns	ns4.hostname.cl.
chrome.rugby.	7200	in	ns	ns1.googledomains.com.
chrome.rugby.	7200	in	ns	ns2.googledomains.com.
chrome.rugby.	7200	in	ns	ns3.googledomains.com.
chrome.rugby.	7200	in	ns	ns4.googledomains.com.
chuckanut.rugby.	3600	in	ns	ns1.get.rugby.
chuckanut.rugby.	3600	in	ns	ns2.get.rugby.
chuckanut.rugby.	3600	in	ns	ns3.get.rugby.
chuckanut.rugby.	3600	in	ns	ns4.get.rugby.
chuckanutbay.rugby.	3600	in	ns	ns1.get.rugby.
chuckanutbay.rugby.	3600	in	ns	ns2.get.rugby.
chuckanutbay.rugby.	3600	in	ns	ns3.get.rugby.
chuckanutbay.rugby.	3600	in	ns	ns4.get.rugby.
clubhub.rugby.	3600	in	ns	ns1.get.rugby.
clubhub.rugby.	3600	in	ns	ns2.get.rugby.
clubhub.rugby.	3600	in	ns	ns3.get.rugby.
clubhub.rugby.	3600	in	ns	ns4.get.rugby.
clubjaguares.rugby.	3600	in	ns	ns1.get.rugby.
clubjaguares.rugby.	3600	in	ns	ns2.get.rugby.
clubjaguares.rugby.	3600	in	ns	ns3.get.rugby.
clubjaguares.rugby.	3600	in	ns	ns4.get.rugby.
clubland.rugby.	3600	in	ns	ns1.get.rugby.
clubland.rugby.	3600	in	ns	ns2.get.rugby.
clubland.rugby.	3600	in	ns	ns3.get.rugby.
clubland.rugby.	3600	in	ns	ns4.get.rugby.
coesion.rugby.	3600	in	ns	ns1.helloly.com.
coesion.rugby.	3600	in	ns	ns2.helloly.com.
coesion.rugby.	3600	in	ns	ns3.helloly.com.
coesion.rugby.	3600	in	ns	ns4.helloly.com.
cohesion.rugby.	3600	in	ns	ns1.helloly.com.
cohesion.rugby.	3600	in	ns	ns2.helloly.com.
cohesion.rugby.	3600	in	ns	ns3.helloly.com.
cohesion.rugby.	3600	in	ns	ns4.helloly.com.
colombia.rugby.	7200	in	ns	dns1.conexcol.net.
colombia.rugby.	7200	in	ns	dns2.conexcol.net.
coloradoraptors.rugby.	3600	in	ns	ns1.get.rugby.
coloradoraptors.rugby.	3600	in	ns	ns2.get.rugby.
coloradoraptors.rugby.	3600	in	ns	ns3.get.rugby.
coloradoraptors.rugby.	3600	in	ns	ns4.get.rugby.
columbiarhinos.rugby.	3600	in	ns	ns1.get.rugby.
columbiarhinos.rugby.	3600	in	ns	ns2.get.rugby.
columbiarhinos.rugby.	3600	in	ns	ns3.get.rugby.
columbiarhinos.rugby.	3600	in	ns	ns4.get.rugby.
com.rugby.	3600	in	ns	ns-1151.awsdns-15.org.
com.rugby.	3600	in	ns	ns-1973.awsdns-54.co.uk.
com.rugby.	3600	in	ns	ns-469.awsdns-58.com.
com.rugby.	3600	in	ns	ns-906.awsdns-49.net.
community.rugby.	3600	in	ns	ns1.get.rugby.
community.rugby.	3600	in	ns	ns2.get.rugby.
community.rugby.	3600	in	ns	ns3.get.rugby.
community.rugby.	3600	in	ns	ns4.get.rugby.
conecta.rugby.	3600	in	ns	ns1.cdmon.net.
conecta.rugby.	3600	in	ns	ns2.cdmon.net.
conecta.rugby.	3600	in	ns	ns3.cdmon.net.
conner.rugby.	3600	in	ns	ns1srv03.i-serve.net.
conner.rugby.	3600	in	ns	ns2srv03.i-serve.net.
coraptors.rugby.	3600	in	ns	ns1.get.rugby.
coraptors.rugby.	3600	in	ns	ns2.get.rugby.
coraptors.rugby.	3600	in	ns	ns3.get.rugby.
coraptors.rugby.	3600	in	ns	ns4.get.rugby.
countiesmankau.rugby.	3600	in	ns	ns1.get.rugby.
countiesmankau.rugby.	3600	in	ns	ns2.get.rugby.
countiesmankau.rugby.	3600	in	ns	ns3.get.rugby.
countiesmankau.rugby.	3600	in	ns	ns4.get.rugby.
cr1i8t4b38lf0i12ufkvu30e15gk0uaf.rugby.	900	in	nsec3	1 1 0 - F529K4KT055AABRMO3Q3SLK0VO7BHT70 NS DS RRSIG
