1i1g0upol422dpb6vuo0tkofp802lasg.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. 0G5n4O75Gx2688XzUggsJDu+4oO5qRtBC1NSTUdiMNKh90GHHBTwZ1EViF0GLbrMWq0yzcWlOd3w3FBf2ix0mcVTok04/nizw0f4RWwuw8oy4a56rBJN6ShAUAXmbeyBuRLAMS58lNRbG8InrxwMvZISnB6EjoyHM5oQ61JVI64=
1nvuti.fail.	3600	in	ns	dns1.registrar-servers.com.
1nvuti.fail.	3600	in	ns	dns2.registrar-servers.com.
1obtk2ode8pcm28752alo39u51d46imm.fail.	3600	in	nsec3	1 1 0 73 1QH3PKDNPNVGB71QUGJ2TR2F72IBNUOA NS DS RRSIG
1obtk2ode8pcm28752alo39u51d46imm.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. B3Rtbnh5TNxOakxwjm5pIMsSr0TjXUS4w7X5IJabDnAtaeKnGS5AlVC+qc4RfNOM6hrXTK92O+gnRG031mC2v0PNehcSx2ErxSUgovhjnBvlIox/K4yc8hLsH1adX7rzAhHlFrY4G5HZF/RGwuvTjmZoAx3zFcBTXh/uL19b/fo=
1qh3pkdnpnvgb71qugj2tr2f72ibnuoa.fail.	3600	in	nsec3	1 1 0 73 1SP0COSKQ4EBSEGB35KEU48OPAIBNDLF NS DS RRSIG
1qh3pkdnpnvgb71qugj2tr2f72ibnuoa.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. Phm8UslahLYfVnP0ZkGez1wmeG8w1+vgAREdpYMaco/HMZCDj94zKk3AyB5FvtQb7vMWcBiKVw+/cz3F+3sTa9cxyVI3OkT345QkeWtlYyJAsXNn+twUXaWxQp25vxEwCE3TeEyVGTxcZ9/IlVtC8a79q9L4HnmNx2XFZOrGDrQ=
1sp0coskq4ebsegb35keu48opaibndlf.fail.	3600	in	nsec3	1 1 0 73 235KJ3H689FL7IJK09923431S4BSNG77 NS DS RRSIG
1sp0coskq4ebsegb35keu48opaibndlf.fail.	3600	in	rrsig	NSEC3 8 2 3600 20260207152638 20260117142638 37773 fail. moH6aNJcpaZGG2tL57TuE77mBDcwa+pf4sAn/FMhMI/2N8K/YFTdU9ZMOFU9vaPBaIl6kJV+/2SnXVH2LgEsue9IZInIlWo0YbfSzW0id3l2Ad226MDQuyc/dH4UH2xY0SswLzf9ImXAP6CyUlmfL2h886oO6DXap1lxqTHzSeY=
1st.fail.	3600	in	ns	pola.ns.cloudflare.com.
1st.fail.	3600	in	ns	sean.ns.cloudflare.com.
