34629688.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
3515984.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
3515984.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
3540256.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
3540256.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
3567771.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
3567771.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
35868206.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
35868206.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
3692061.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
3692061.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
3742065.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
3742065.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
38429034.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
38429034.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
3851601.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
3851601.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
3922242.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
3922242.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
3932246.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
3932246.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
3932970.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
3932970.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
3970790.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
3970790.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
3971d6tsu5hnquu0o2fu860jasn27p0u.xn--tckwe.	86400	in	nsec3	1 1 0 - 3QUV0RU8DGF3IM88TB0D9OAJE8J9SRJP NS DS RRSIG
