15k.haus.	3600	in	rrsig	DS 8 2 3600 20250922155936 20250901145936 38901 haus. D3/XrP1H2EftYD30mz4MU26FiVd9WuUwyzelEbA6Z9oGDWkGZDHsi/78suDyiQbYAUDsLFCaDGqoeSQNP5nqBDpIjEWbzUgMoXnp8r+Sitjx3QymQN/pKprlVWXURvMfFhABYE0lTScxP/rCw7xnRWMEzxo+VJHdlij/6X87z9A=
161djqikl6c8toin6ohua32rvt03rfer.haus.	3600	in	nsec3	1 1 0 73 17ARDJRI4F6LEPJ577DCAQUOC57AFHI5 NS DS RRSIG
161djqikl6c8toin6ohua32rvt03rfer.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. E6n1TBV/Hdv4aaE3eXi+XAscXhBWbOpasBz25EUmEDmwXk3Hxkb0v5ZatxkFdPCMovakfY6G7M/remKl6CSikOkb8xqsgbs1GmbuoPo48H5DAAYsB35WAKEhR3P3ht7cOncUeKRrm8WVfM/s8r6AZo2jvjuh1Lw8+UUH0rhXR8s=
17ardjri4f6lepj577dcaquoc57afhi5.haus.	3600	in	nsec3	1 1 0 73 17R37BJASGGUIE35UBH1CA5QLBR4G35A NS DS RRSIG
17ardjri4f6lepj577dcaquoc57afhi5.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. AadFETKBmrWGr38sBOfy9bHwBLOhvXlyTut49RlOU8PhTSbdCMSMgQMa5KKlJBvIr4xf11Cx6f8BD4o7OWdbxbJbA+Ye479x8rH+jLzs2/Kh/WCK3Nxu1zTMrvBIsSV+9IbMbw8kvqUXbS0V+sZ6Rf83lNQaE4ohfiUsgoXal+E=
17r37bjasgguie35ubh1ca5qlbr4g35a.haus.	3600	in	nsec3	1 1 0 73 19QHI7D8HNFRH7MPJ0H2K7U14F48SPDV NS DS RRSIG
17r37bjasgguie35ubh1ca5qlbr4g35a.haus.	3600	in	rrsig	NSEC3 8 2 3600 20250922155936 20250901145936 38901 haus. QQfQqRC8JWdlu6fL+a6Ue6HuB6HmrBGFGjPuSrLR/mL4nCJi/oW13qUCgjKNcbjLCPGtdOlH4Q3pZ9TSUCKrxxWeDVjcN3QIVYHXVPAuldU5EkJZfC3PnjAYu2Ux9WUezPdQSTCYe+S2QTszyxiE4jENnDYTPwzXwt+VB8bpcr8=
1812.haus.	3600	in	ns	pranab.ns.cloudflare.com.
1812.haus.	3600	in	ns	rosalyn.ns.cloudflare.com.
1872steak.haus.	3600	in	ns	dns.dns1.de.
