8tsthlqh1s8b1thapbtei8agmn1sme7g.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. KPeTN/NJuuMdwAnzrpBbKr+Gm98JggfdVKUtxaFDCEDjmLbIufyDE5FP5G4xqc37rV7VoK+Ku0JutNqcYSxQC0h2mtXQhvl9pBM8VYq+RKTIlovKFskh38cKLlpxyLmAuxrko4IjdBl3hXHTE4i+kNsOBr5fAnh1dU1yZ1PNY8A=
8xbet.gripe.	3600	in	ns	ns17.domaincontrol.com.
8xbet.gripe.	3600	in	ns	ns18.domaincontrol.com.
90.gripe.	3600	in	ns	curitiba.ns.porkbun.com.
90.gripe.	3600	in	ns	fortaleza.ns.porkbun.com.
90.gripe.	3600	in	ns	maceio.ns.porkbun.com.
90.gripe.	3600	in	ns	salvador.ns.porkbun.com.
991837.gripe.	3600	in	ns	ns1.dyna-ns.net.
991837.gripe.	3600	in	ns	ns2.dyna-ns.net.
99ok.gripe.	3600	in	ns	joaquin.ns.cloudflare.com.
99ok.gripe.	3600	in	ns	josephine.ns.cloudflare.com.
9id5ruo59pdjdocgd8b5hbcqhcadir5b.gripe.	3600	in	nsec3	1 1 0 73 9UBKT0HNA4B5F8MR86SHT6JTBS0JQ95F NS DS RRSIG
9id5ruo59pdjdocgd8b5hbcqhcadir5b.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. ON73H6oP8Pn50dzUI0sqTk1JEoX8XmIDHLmDvu83jZ53Vg0SzoVc8PctJkdW+AeiA9LasQhowL3INYCJcxvr2Wgkeo+7sJ/WV9+sSrczSj8zr6lnKCptNmysdyeXD/fGViQM/Ai0hELxvjLLeTTqYn50X6eR8QDRi7QKRHSel70=
9kmovies.gripe.	3600	in	ns	ernest.ns.cloudflare.com.
9kmovies.gripe.	3600	in	ns	kami.ns.cloudflare.com.
9ubkt0hna4b5f8mr86sht6jtbs0jq95f.gripe.	3600	in	nsec3	1 1 0 73 9VB0PRR1KEI3E230I268M666DQG4PJOM NS DS RRSIG
9ubkt0hna4b5f8mr86sht6jtbs0jq95f.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. RXqFJbHbG4RjwHdzAxGh5Y3jVdZWYw4VoOTkqLWxKaOkGuG4bhHMKCzUcqAs/rVuBa2kXnnFGLrf/Ho/aNmWWzb0vVuLqPXFvM+vAGswEE3j0U081omYLHd+npBd1UhiAlJ9GWYBVVg3HpiOr8cJZnpg6KRRgep7UgL1bS1HhK8=
9vb0prr1kei3e230i268m666dqg4pjom.gripe.	3600	in	nsec3	1 1 0 73 ABVG5F8E90CMKOMROHKR8PM8JF4V12IS NS DS RRSIG
9vb0prr1kei3e230i268m666dqg4pjom.gripe.	3600	in	rrsig	NSEC3 8 2 3600 20260207154540 20260117144540 3183 gripe. a9k2oUvAovxXVNOPcU/M53sXn7B4VOUBcvMlIzfxfb/F57cAOV0JdQMjrRKixDt9FXyhVS1VCRiVnJ5B2fWKHDqHSduHq3xZMjj9N9SJruQ1um7D1UDeay/0M9BJWDdd1x/DWueKMC6wWwt5ea6eYyB7L7uJK9OMiDPuyhFCT04=
9xmovie.gripe.	3600	in	ns	sara.ns.cloudflare.com.
9xmovie.gripe.	3600	in	ns	wilson.ns.cloudflare.com.
