btc.shiksha.	3600	in	ns	dns2.registrar-servers.com.
bukru.shiksha.	3600	in	ns	dns1.p01.nsone.net.
bukru.shiksha.	3600	in	ns	dns2.p01.nsone.net.
bukru.shiksha.	3600	in	ns	dns3.p01.nsone.net.
bukru.shiksha.	3600	in	ns	dns4.p01.nsone.net.
business.shiksha.	3600	in	ns	ns1.dyna-ns.net.
business.shiksha.	3600	in	ns	ns2.dyna-ns.net.
bytecampus.shiksha.	3600	in	ns	alexa.ns.cloudflare.com.
bytecampus.shiksha.	3600	in	ns	dakota.ns.cloudflare.com.
c0.nic.shiksha.	3600	in	a	65.22.34.33
c0.nic.shiksha.	3600	in	aaaa	2a01:8840:0024:0000:0000:0000:0000:0033
calorx.shiksha.	3600	in	ns	ns1.orchidpetals.com.
calorx.shiksha.	3600	in	ns	ns2.orchidpetals.com.
calorx.shiksha.	3600	in	ns	ns3.orchidpetals.com.
calorx.shiksha.	3600	in	ns	ns4.orchidpetals.com.
campaign.shiksha.	3600	in	ns	fred.ns.cloudflare.com.
campaign.shiksha.	3600	in	ns	kia.ns.cloudflare.com.
cancer.shiksha.	3600	in	ns	hope.ns.cloudflare.com.
cancer.shiksha.	3600	in	ns	ignacio.ns.cloudflare.com.
cancun.shiksha.	3600	in	ns	dns1.registrar-servers.com.
cancun.shiksha.	3600	in	ns	dns2.registrar-servers.com.
capitalmarket.shiksha.	3600	in	ds	54973 13 2 414FC207009C04B5C7F69A9BCAAA17C10EF3D4D0B80277EB51D6BC5497637940
capitalmarket.shiksha.	3600	in	ns	launch1.spaceship.net.
capitalmarket.shiksha.	3600	in	ns	launch2.spaceship.net.
capitalmarket.shiksha.	3600	in	rrsig	DS 8 2 3600 20260122160613 20260101150613 56601 shiksha. raqtgZgDVt8843oRxsRRQefLOsjEr6F+WAb9aevm5hrlR7DjxpbP1y9oTurJj3SqB1jzDzY/yJbkEBPe5ZpjtlGMMksuMeiLXuHoXh/Qzm3Uvy1smganuVHo7WX7VFHCWhL3YwieGazO2KF6KzgtZlxO0wiCcy4/A6diQLTgqCk=
cars.shiksha.	3600	in	ns	ns1.dyna-ns.net.
cars.shiksha.	3600	in	ns	ns2.dyna-ns.net.
casino.shiksha.	3600	in	ns	etta.ns.cloudflare.com.
casino.shiksha.	3600	in	ns	rajeev.ns.cloudflare.com.
cat.shiksha.	3600	in	ns	dns1.registrar-servers.com.
cat.shiksha.	3600	in	ns	dns2.registrar-servers.com.
ccss.shiksha.	3600	in	ns	ns1.markmonitor.com.
ccss.shiksha.	3600	in	ns	ns3.markmonitor.com.
ccss.shiksha.	3600	in	ns	ns4.markmonitor.com.
ccss.shiksha.	3600	in	ns	ns5.markmonitor.com.
