0dhm5ar2la16m3i43ibpe8ms0ianlfjk.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. 0si3+V1vWyqFVC8fDn06dSVH4RrjuRYAO/uwJ1xmTyOut+c9ICTprIDUbzNmPgD8tM4SgnWAfYMOg919ViCFB7kBsfrKvJOCvxhoyo5FMgpEGNiHWzggnAsUpJmnb2H1xpTa73Jpr56dV20lBW5c58gylOyhCq10OJqDq7QouMY=
0euede25rb8tto7ii64ti4aaa02ub6jj.school.	3600	in	nsec3	1 1 0 73 0H9NQNE3MHHBJPVTMQ64SJMM32N97GT9 NS DS RRSIG
0euede25rb8tto7ii64ti4aaa02ub6jj.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. q6rhrexdNfVxQsA1heGb/ygGcIn9xYi/V7ajdA289pKowEBXwDZdt3hD8lPLbBDYvjgf778bPlA5HHORjI/Ej0FVIs1fC66HjNY5h81E6hk8hQHKI70Ij7KRAbi17uRw5873mIeHXRNWz+7laP1tlLbptiKTyTa8ss5eWRdXHJc=
0h9nqne3mhhbjpvtmq64sjmm32n97gt9.school.	3600	in	nsec3	1 1 0 73 0HL0AFG33MJBHT83FUI9BN27GI1BBBEL NS DS RRSIG
0h9nqne3mhhbjpvtmq64sjmm32n97gt9.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. RlNESASOFRiXsj4OGYR9JNugteE23eNk3auuffgQFdRBzzp7djw55yW2jS5cu2Dcad3JJOYIcioC2E/rBeCutWsnQj19WY87aaIeOXao2gq8QzhFyJ8MLNCLX9rIRQ0ekxwdZlrpaO49zasGVJ13gCdbPAzbEyXmQWxUNptKjr8=
0hl0afg33mjbht83fui9bn27gi1bbbel.school.	3600	in	nsec3	1 1 0 73 0IVRAJSGN4VBQTE8LMGO9SK6BPBARP7S NS DS RRSIG
0hl0afg33mjbht83fui9bn27gi1bbbel.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. OQVgBK1ydSB5fqdoiqOupFj++ILtbtpT9caHWeMWtKvg1rRfp9LRDHw/4nd8YXr9Z8DQxVg7Re9y109oDL0891QMTv6y6mVdAtGIgseJSYZ6YJ4LoJni2wh8cJoQg1mjoklY+FmKf+ua0DzKjhVeBNleUYd6WMUd9uaCRHr6p8c=
0ivrajsgn4vbqte8lmgo9sk6bpbarp7s.school.	3600	in	nsec3	1 1 0 73 0J019MI29M8KL6L9F1UPSJ32ILISITP5 NS DS RRSIG
0ivrajsgn4vbqte8lmgo9sk6bpbarp7s.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. zqlwtVVdxkON9BVyDwnz5ppR6hXA6uqGI82BQUqNs1GKG6cAE7WyoewsrRtRkSTj0G74105MWjzrUVrZ+3JRClvjrDiyfN83mB9CfgUMwvYHSyDGOFVugwMlu9Qq4S55XLRFdsV1NVvT65SqU1wnkJ/WIwn7zc7MqSrt5qpcmr4=
0j019mi29m8kl6l9f1upsj32ilisitp5.school.	3600	in	nsec3	1 1 0 73 0J9CVGVH5PP6EFVKQ6TAS82OMJQO3G0S NS DS RRSIG
0j019mi29m8kl6l9f1upsj32ilisitp5.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. K9KreVNRiVW4I4PLffdDdNy467wMAzkul/CcK5x8WQjVv59NNYUQFfiSMOb+N6O8rWS58VoEgWdw/toNz9bvKeP6E2tQvUvNZS6A3G5B+9x6J3mqs68di0eCs8PhxEFoMuIZzbnUVG+zVNv25lq1XABa41pIHMzvtPie6c5Z2fc=
0j9cvgvh5pp6efvkq6tas82omjqo3g0s.school.	3600	in	nsec3	1 1 0 73 0JNBHU2OF12ATV0V8J7PBDBTO5B09T1B NS DS RRSIG
0j9cvgvh5pp6efvkq6tas82omjqo3g0s.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. VFosHTMI/pORWhy+ukoW9l+yIZXA4xMkGK97TsqATgqTzUvKe/0xnlJ7RpvJswzChLkoNhHXL+Vm6AAKE49VdSL/MxICbW/9BKOg451tuKuHQJl9o+BiMiNS1Lv2bG8Znnbtxll6qlMnTwysNj0FdCrda8z+8QyilNVCMpfBZdk=
0jnbhu2of12atv0v8j7pbdbto5b09t1b.school.	3600	in	nsec3	1 1 0 73 0JRGI0TUREQ3SIAM9V4BN9OK0O9BIN28 NS DS RRSIG
0jnbhu2of12atv0v8j7pbdbto5b09t1b.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. tYOJdylRwCzs1WGhRDo3Rc7X55tJdf9VB9FkBPqHc9B/e/1T3dZs5Oa+yBiDCdIjKIhMjEiOCP1A3Wpbf5VvI0mzGnWBEBItcevyOe38IpeBbpI+hP4kRF9eMb+TFuDYy/h7A0XkTOfjZjPh78GvcW2nZLAEfiowORXNl/F5tI4=
0jrgi0tureq3siam9v4bn9ok0o9bin28.school.	3600	in	nsec3	1 1 0 73 0KQ0RR15SUKEQK8IGUADT9NJJ869I27B NS DS RRSIG
0jrgi0tureq3siam9v4bn9ok0o9bin28.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. Q7Uwn+gAD2Wj5fO7zDakoHwD3Z1LMu3g0elFT9PBLnbGB7SukVuRaI/nsriGXqCWs+5xsV9dF0+cf6BtZFl5yP8BFttKM/aJVNjAtlLHDr1B7ripqI+jUSX1adFC7dmOY51p6VTXv+S5RUiV2Q9msZ03hJLTVdDlYTX12KXk0ts=
0kq0rr15sukeqk8iguadt9njj869i27b.school.	3600	in	nsec3	1 1 0 73 0LA9BK1LLRPT8EHB5MMDC5818LHOLGR1 NS DS RRSIG
0kq0rr15sukeqk8iguadt9njj869i27b.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. eepX2ZfsdPWbgQSok+UHWXX2/bbogubtEDpSRl7N/5r+JN8S1IhIU/YG/OYoxK0lnCwnZUZhozey3Ty2eRZvZ8vsR7trZ2rFuHkg1QYDAFSTKD9gimx1bHv9KWK1yhJLW2iWoqO+vY/665ev4EgV7JWYZiDLbLbtkV8GWC133qQ=
0la9bk1llrpt8ehb5mmdc5818lholgr1.school.	3600	in	nsec3	1 1 0 73 0LG5V3FHGRTN9QRGUTBTNHDQL0MEUBI5 NS DS RRSIG
0la9bk1llrpt8ehb5mmdc5818lholgr1.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. RC8lH7FZL7C3ltIjZxp5iYfZjvAnsMb3YwUJxeCeEeninNDg4BxvRDxW68FMxjl8VaStGVpaROaj2kmxUy+GNEOAPsaLalXNBDMRSmuEQS8PjtT7K+1DjPGKp9Gh4K7Nky6lXvEMg17jH3gBAG2zATNGKpzDBVlbPIY3ARsy3KU=
0lg5v3fhgrtn9qrgutbtnhdql0meubi5.school.	3600	in	nsec3	1 1 0 73 0LTS1RSJGCE5IG3II2VGBTSGB9P57VAI NS DS RRSIG
0lg5v3fhgrtn9qrgutbtnhdql0meubi5.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. oK6AqRoaBAlk4bCLvOzmXSizwfRvjZiwxBUguyCh2cDhw//zho9hPyuBsSvu1s5w/qyCOq1gV1/kPYgwL7WVwklqb5qQfZoNU/gBmdatB8Rf/MwKVQ1vOYWvh5TBDBHsvS5eZKCtI7mmCnZUNyrrW6HvMy42iqO1pkOww8WI03I=
0lts1rsjgce5ig3ii2vgbtsgb9p57vai.school.	3600	in	nsec3	1 1 0 73 0LVDKVE4BJVBE3DSI24DAJK27E3NV7KU NS DS RRSIG
0lts1rsjgce5ig3ii2vgbtsgb9p57vai.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. 3SFfAkXIwnBkd2nN2P4SQ4wEmhBfDXwbmFJW/lKqjBC5e6/j0RZTf9IdxWFPNAi9H0jSF07eLWLon5A4U7d9cXlh3yPz8zs4Q/3Zw6GplRezouH4u01ulOcVvmZIwKXn2bMaakucED1yt0HjTqWMIIUHfrOMk6UUu9ySIa5FkDY=
0lvdkve4bjvbe3dsi24dajk27e3nv7ku.school.	3600	in	nsec3	1 1 0 73 0ME35BMK06RGM6A06741L8ERAASBM15E NS DS RRSIG
0lvdkve4bjvbe3dsi24dajk27e3nv7ku.school.	3600	in	rrsig	NSEC3 8 2 3600 20260122160728 20260101150728 48651 school. aUdMkyAHhmFK7s+e9+bZ1FW1+XPeaa3BVRX2FzAm8V8A81DjdCZ12Rqra2N4Uc6fnzkZlKrnimaDaKxzMtb0t+EFTgUIHkqHBgCogFsOr9TqxTicbmh69XT+RUI7WrEFSJCwhrJ8UV6rRxi562Xd+9J1cJsddto26Qu3+89RMTY=
0me35bmk06rgm6a06741l8eraasbm15e.school.	3600	in	nsec3	1 1 0 73 0MJIUR4U58PAJ4IAVB21986384GAMPJM NS DS RRSIG
