globoadspme.globo.	86400	in	ns	ns03.globo.com.
globoadspme.globo.	86400	in	ns	ns04.globo.com.
globocomunidade.globo.	86400	in	ns	ns01.globo.com.
globocomunidade.globo.	86400	in	ns	ns02.globo.com.
globocomunidade.globo.	86400	in	ns	ns03.globo.com.
globocomunidade.globo.	86400	in	ns	ns04.globo.com.
globoconecta.globo.	86400	in	ns	ns01.globo.com.
globoconecta.globo.	86400	in	ns	ns02.globo.com.
globoconecta.globo.	86400	in	ns	ns03.globo.com.
globoconecta.globo.	86400	in	ns	ns04.globo.com.
globoconvida.globo.	86400	in	ns	ns01.oghost.com.br.
globoconvida.globo.	86400	in	ns	ns02.oghost.com.br.
globoconvida.globo.	86400	in	ns	ns03.oghost.com.br.
globoconvida.globo.	86400	in	ns	ns04.oghost.com.br.
globoexperience.globo.	86400	in	ns	ns01.oghost.com.br.
globoexperience.globo.	86400	in	ns	ns02.oghost.com.br.
globoexperience.globo.	86400	in	ns	ns03.oghost.com.br.
globoexperience.globo.	86400	in	ns	ns04.oghost.com.br.
globofilmes.globo.	86400	in	ns	ns01.oghost.com.br.
globofilmes.globo.	86400	in	ns	ns02.oghost.com.br.
globofilmes.globo.	86400	in	ns	ns03.oghost.com.br.
globofilmes.globo.	86400	in	ns	ns04.oghost.com.br.
globonegocios.globo.	86400	in	ns	ns-1117.awsdns-11.org.
globonegocios.globo.	86400	in	ns	ns-1870.awsdns-41.co.uk.
globonegocios.globo.	86400	in	ns	ns-52.awsdns-06.com.
globonegocios.globo.	86400	in	ns	ns-746.awsdns-29.net.
globoplay.globo.	86400	in	ns	ns01.oghost.com.br.
globoplay.globo.	86400	in	ns	ns02.oghost.com.br.
globoplay.globo.	86400	in	ns	ns03.oghost.com.br.
globoplay.globo.	86400	in	ns	ns04.oghost.com.br.
globosatplay.globo.	86400	in	ns	ns01.globo.com.
globosatplay.globo.	86400	in	ns	ns02.globo.com.
globosatplay.globo.	86400	in	ns	ns03.globo.com.
globosatplay.globo.	86400	in	ns	ns04.globo.com.
globosim.globo.	86400	in	ns	ns-1400.awsdns-47.org.
globosim.globo.	86400	in	ns	ns-1833.awsdns-37.co.uk.
globosim.globo.	86400	in	ns	ns-507.awsdns-63.com.
globosim.globo.	86400	in	ns	ns-987.awsdns-59.net.
globotech.globo.	86400	in	ns	ns01.globo.com.
globotech.globo.	86400	in	ns	ns02.globo.com.
globotech.globo.	86400	in	ns	ns03.globo.com.
globotech.globo.	86400	in	ns	ns04.globo.com.
globotechnologies.globo.	86400	in	ns	ns01.globo.com.
globotechnologies.globo.	86400	in	ns	ns02.globo.com.
globotechnologies.globo.	86400	in	ns	ns03.globo.com.
globotechnologies.globo.	86400	in	ns	ns04.globo.com.
globotechnology.globo.	86400	in	ns	ns01.globo.com.
globotechnology.globo.	86400	in	ns	ns02.globo.com.
globotechnology.globo.	86400	in	ns	ns03.globo.com.
globotechnology.globo.	86400	in	ns	ns04.globo.com.
globoventures.globo.	86400	in	ns	ns01.globo.com.
globoventures.globo.	86400	in	ns	ns02.globo.com.
globoventures.globo.	86400	in	ns	ns03.globo.com.
globoventures.globo.	86400	in	ns	ns04.globo.com.
globoverso.globo.	86400	in	ns	ns01.oghost.com.br.
globoverso.globo.	86400	in	ns	ns02.oghost.com.br.
globoverso.globo.	86400	in	ns	ns03.oghost.com.br.
globoverso.globo.	86400	in	ns	ns04.oghost.com.br.
gloob.globo.	86400	in	ns	ns01.globo.com.
gloob.globo.	86400	in	ns	ns02.globo.com.
gloob.globo.	86400	in	ns	ns03.globo.com.
gloob.globo.	86400	in	ns	ns04.globo.com.
grupo.globo.	86400	in	ns	ns01.oghost.com.br.
grupo.globo.	86400	in	ns	ns02.oghost.com.br.
grupo.globo.	86400	in	ns	ns03.oghost.com.br.
grupo.globo.	86400	in	ns	ns04.oghost.com.br.
gshop.globo.	86400	in	ns	ns01.oghost.com.br.
gshop.globo.	86400	in	ns	ns02.oghost.com.br.
gshop.globo.	86400	in	ns	ns03.oghost.com.br.
gshop.globo.	86400	in	ns	ns04.oghost.com.br.
gshow.globo.	86400	in	ns	ns01.globo.com.
gshow.globo.	86400	in	ns	ns02.globo.com.
gshow.globo.	86400	in	ns	ns03.globo.com.
gshow.globo.	86400	in	ns	ns04.globo.com.
gtech.globo.	86400	in	ns	ns01.globo.com.
gtech.globo.	86400	in	ns	ns02.globo.com.
gtech.globo.	86400	in	ns	ns03.globo.com.
gtech.globo.	86400	in	ns	ns04.globo.com.
gtechnologies.globo.	86400	in	ns	ns01.globo.com.
gtechnologies.globo.	86400	in	ns	ns02.globo.com.
gtechnologies.globo.	86400	in	ns	ns03.globo.com.
gtechnologies.globo.	86400	in	ns	ns04.globo.com.
gtechnology.globo.	86400	in	ns	ns01.globo.com.
gtechnology.globo.	86400	in	ns	ns02.globo.com.
gtechnology.globo.	86400	in	ns	ns03.globo.com.
gtechnology.globo.	86400	in	ns	ns04.globo.com.
guiademarcas.globo.	86400	in	ns	ns01.oghost.com.br.
guiademarcas.globo.	86400	in	ns	ns02.oghost.com.br.
guiademarcas.globo.	86400	in	ns	ns03.oghost.com.br.
guiademarcas.globo.	86400	in	ns	ns04.oghost.com.br.
guiasdeestilo.globo.	86400	in	ns	ns01.globo.com.
guiasdeestilo.globo.	86400	in	ns	ns02.globo.com.
guiasdeestilo.globo.	86400	in	ns	ns03.globo.com.
guiasdeestilo.globo.	86400	in	ns	ns04.globo.com.
header.globo.	86400	in	ns	ns01.oghost.com.br.
header.globo.	86400	in	ns	ns02.oghost.com.br.
header.globo.	86400	in	ns	ns03.oghost.com.br.
header.globo.	86400	in	ns	ns04.oghost.com.br.
historia.globo.	86400	in	ns	ns01.globo.com.
historia.globo.	86400	in	ns	ns02.globo.com.
historia.globo.	86400	in	ns	ns03.globo.com.
historia.globo.	86400	in	ns	ns04.globo.com.
humorestudiosglobo.globo.	86400	in	ns	ns1-32.azure-dns.com.
humorestudiosglobo.globo.	86400	in	ns	ns2-32.azure-dns.net.
humorestudiosglobo.globo.	86400	in	ns	ns3-32.azure-dns.org.
humorestudiosglobo.globo.	86400	in	ns	ns4-32.azure-dns.info.
i.globo.	86400	in	ns	ns01.oghost.com.br.
