0jrqrs6jir7o7sa3lubboh92c8s3mp26.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. KiQkFrX2nxy8VCcQcR3ZCVdOOQm12xrM1q00Y0/bE3lcQskJ4uX3ym5veQHPOdWmWaJCBH1JGkXnKh5QEsGnwYYJIsJZ08yE3BYW9z9E3ymTykEiTKFznm21YvtfnS6L+bMeXgFrMTwZrge7UQTRWA/knhDbd9YI0DMlNJXVMYk=
0k1um71n08867lhqtqpfh2bo926smgun.house.	3600	in	nsec3	1 1 0 73 0K4UA1K2A8B6HU9KML1E5MILAB4TTBPJ NS DS RRSIG
0k1um71n08867lhqtqpfh2bo926smgun.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. m94H/GuTO6brvVWGWrmSYNO8OguuZvidg4BofAw5aI732IV67ZDwJtsNWsAEX9RnwPJgpCKnneqTT1vAPl88vWnh0aoQmWvvVhWcxuuZKZ05+FggUffTBNvEmxPxaUXzrPuYY0j/I5drKATikBueglTk0vVp1xSgQQc/JQizmUQ=
0k4ua1k2a8b6hu9kml1e5milab4ttbpj.house.	3600	in	nsec3	1 1 0 73 0KV975I6RU8QTU6DVUK25GF0N4LU575C NS DS RRSIG
0k4ua1k2a8b6hu9kml1e5milab4ttbpj.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. XX/LeYuTkD6zQsk5dOhNURV60UFhhrljEQ2idrh2+NSOLwmYFcdkAkMBFCA5wJ8VLyKvmI3mhnioDTYVRoMk0e/WoD326xYrWvzGnA4z1jIC6aL+9vUBAZ6X3UMtCQh1CpGEZx09dHpRz79f06h2HdZVo8FLJnwO+HVsUmrm+3c=
0kv975i6ru8qtu6dvuk25gf0n4lu575c.house.	3600	in	nsec3	1 1 0 73 0MHA5KLKJHJD7RMFG4DUB3156JN7AVV5 NS DS RRSIG
0kv975i6ru8qtu6dvuk25gf0n4lu575c.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. UXUYVqMLp14iB6tH5m2Y3aKuX91a4t4+7hc5z+1Pr7k8iFciRonA7wG6Db3yJbPsAICP6g4UfHNochZt2VBIURNccFbo8adsqXK4Td0e+RuGGGd0tVksW06k00EBRZMBWQ3rn1WYIj/Om6YUXfxYiKBPqalEFUvYN7Beg+jn5rY=
0kw.house.	3600	in	ds	21604 8 2 98D8F501FB2E69889906C3E32FF81E74E3C6CD1AD35A295069D17F91E7C628A6
0kw.house.	3600	in	ns	dns16.ovh.net.
0kw.house.	3600	in	ns	ns16.ovh.net.
0kw.house.	3600	in	rrsig	DS 8 2 3600 20260122153823 20260101143823 49353 house. ob3YzqNogs46t95K8EAvdkk3/Gm0b4Um9tMbKaVcUcZxy2OT0n/7oQbRSmO4OSyagm7bDlb+WjYmW8WLjkV03GwW5XqfrJZT7XxJNdg2xv3vZ8PNu4kmCtF6Qptc1wI1nnr+0IiX7MZYiVM85Sel2pm5AZMuSzMRIhesTkQGLGw=
0mha5klkjhjd7rmfg4dub3156jn7avv5.house.	3600	in	nsec3	1 1 0 73 0ORLHRSUGQMA2NLLGQR0INIV6EC84M9U NS DS RRSIG
0mha5klkjhjd7rmfg4dub3156jn7avv5.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. kTKgMT73M4zJxGt/Zn0fAOwoD3Rn5rhg+xsplt4MlvfhVk2Lw06G0h2ziMoTPQhXFHOcBTLTzUWc4lnDfXatK268Fy7w9XM8u/2QlUc/TCVeL8CuqwuXlQGnNJF7nmXImEoS2JTMcKYrNGdBJqI4g5Bz9xU05gC9FFjRto6holA=
0orlhrsugqma2nllgqr0iniv6ec84m9u.house.	3600	in	nsec3	1 1 0 73 0OS9JRPS0O61NC200D5AQLPKH1B0ROBN NS DS RRSIG
0orlhrsugqma2nllgqr0iniv6ec84m9u.house.	3600	in	rrsig	NSEC3 8 2 3600 20260122153823 20260101143823 49353 house. ZWo6BaZLLOuein/A7m+jz5MKcW7f1Kpjwn70aZCZibGi+mCdHZluOKB6n1Ap3xKu7WB3i6gTYK+TH7cUKveAt6OIrcb/CIMSa15kfzC409XtCu0mANcZGuL7s1HSLJXnyeGuYv5w9CHGElJEkZwVZA7btIGmXzLq5nIepqc4nqc=
0os9jrps0o61nc200d5aqlpkh1b0robn.house.	3600	in	nsec3	1 1 0 73 0P2IM0FNTBAI2QKMBRU9K63OL8ARR6C1 NS DS RRSIG
