xn--66tu6c.xn--1qqw23a.	86400	in	ns	dns12.hichina.com.
xn--6kr68ks1tr82b.xn--1qqw23a.	86400	in	ns	dns1.hichina.com.
xn--6kr68ks1tr82b.xn--1qqw23a.	86400	in	ns	dns2.hichina.com.
xn--6krw12d.xn--1qqw23a.	86400	in	ns	hadlee.ns.cloudflare.com.
xn--6krw12d.xn--1qqw23a.	86400	in	ns	rommy.ns.cloudflare.com.
xn--6oq65h.xn--1qqw23a.	86400	in	ns	ns1.easycodes.net.
xn--6oq65h.xn--1qqw23a.	86400	in	ns	ns2.easycodes.net.
xn--6qq58rgzi1xq6ti.xn--1qqw23a.	86400	in	ns	ns1.easycodes.net.
xn--6qq58rgzi1xq6ti.xn--1qqw23a.	86400	in	ns	ns2.easycodes.net.
xn--6qq79v.xn--1qqw23a.	86400	in	ns	expirens3.hichina.com.
xn--6qq79v.xn--1qqw23a.	86400	in	ns	expirens4.hichina.com.
xn--6qq986b3xl.xn--1qqw23a.	86400	in	ns	ns1.ndns.cn.
xn--6qq986b3xl.xn--1qqw23a.	86400	in	ns	ns2.ndns.cn.
xn--74qp40q.xn--1qqw23a.	86400	in	ns	ns1.brandshelter.com.
xn--74qp40q.xn--1qqw23a.	86400	in	ns	ns2.brandshelter.de.
