directory.	3600	in	soa	v0n0.nic.directory. hostmaster.donuts.email. 1756256407 7200 900 1209600 3600
1crg496vo5n16f99ggcnfoiokl0sqvn2.directory.	3600	in	rrsig	NSEC3 8 2 3600 20250916154040 20250826144040 57105 directory. Vnc8GGZqVHQdBJHLU6qfR8U1ZdcQm75ORX/O3hwC9WFaphgpezrw38qc2IqnmMad4NxQhaCd2F5IHeGqzrAbQ8eNI8KjWZ7PRwqJL+XHIZWbE0u4w+vdqg4QaAcp1b0UY3bAn8cFlvG13OVWtCW+u1aA1yEDC1ovmBx76bVjudg=
1dentist.directory.	3600	in	ns	ns1.vuunet.com.
1dentist.directory.	3600	in	ns	ns2.vuunet.com.
1dentist.directory.	3600	in	ns	ns3.vuunet.com.
1dentist.directory.	3600	in	ns	ns4.vuunet.com.
1eqm4juh20m7s5t5oaa135sam0s615t6.directory.	3600	in	nsec3	1 1 0 73 1F263EQPQB40OUF5VNL42CC3288L2VER NS DS RRSIG
1eqm4juh20m7s5t5oaa135sam0s615t6.directory.	3600	in	rrsig	NSEC3 8 2 3600 20250916154040 20250826144040 57105 directory. n02K8Q+/u6f8spQRTEpfpmb60RbndCQyGFrOhVtxUwOvgNDhcpZjG59oXfbMLzhOx4lSsYRtvEqys6cciE+PB1ipsd8DgevzeZJieYk/lrGAjXJABe3k3/yJ77/BuNyauPus96OZQtjgRD+opvIV7iZiYzaSr0v0wAHqTD45WMM=
1f263eqpqb40ouf5vnl42cc3288l2ver.directory.	3600	in	nsec3	1 1 0 73 1FHRRTLUGEGCRVPM858JR6GQPTE7HTOT NS DS RRSIG
1f263eqpqb40ouf5vnl42cc3288l2ver.directory.	3600	in	rrsig	NSEC3 8 2 3600 20250916154040 20250826144040 57105 directory. THc9MzUtyazulr346Fi71k94jZUxsbjgCTKmB5xxFOimw/09NIbr4aci2X1EEvGIBeVA2EZiDwB/8h/pqsOqf2SpfxEJDAbmjXjrBVInzLXzI0E1GXmgOgfHYRqxTtd9oNtj9NCufudRaF8UN5PR4JrzrI/BZ83mq4pxFxuc6Bo=
1family.directory.	3600	in	ns	ns59.domaincontrol.com.
1family.directory.	3600	in	ns	ns60.domaincontrol.com.
1fhrrtlugegcrvpm858jr6gqpte7htot.directory.	3600	in	nsec3	1 1 0 73 1HAGTPUSMPAVHDKJHHS82FT6GMT4OVJ9 NS DS RRSIG
