3ee76ruso7rsdknth2hdcj36g5qv6i38.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. 0oeYAtEfOQ6ZfzeM4AN6g1oIVA+1aZHlxBUfA890psHyV5NMp0UjnQZVamqTy1OBDjR0O2aoCttW8dTUL+yQzBMs4scG1uDwyoLO+eyQX5gUoCqkN2RJkfwnwW9YXhhyjvTp5gvVuUw1DxpYxaHwpufMVhLEo8ymIcOO/zvD9oY=
3qa6ng35hjpibaqnk02cnprkqnp5t338.futbol.	3600	in	nsec3	1 1 0 73 42ORQIL9BRBDK3876O5KD2PFDR8J38RJ NS DS RRSIG
3qa6ng35hjpibaqnk02cnprkqnp5t338.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. dXSpaTN3wYQX4v2+oqZMERe4sY/rxY8+n55l19dT9gQwU2c2G+SoHvhDF6WRJkAU6quFBTW29Zqz1cTZH617vgcyz4iTQpWWxy8H1gFx/C/i0ia78CglYt2ponzgaPhkqUzSCBDkqnBf6v4joBmVc5e4exxHkKNc2TjfYke9xhs=
3x3.futbol.	3600	in	ns	ns01.domaincontrol.com.
3x3.futbol.	3600	in	ns	ns02.domaincontrol.com.
412.futbol.	3600	in	ds	23441 8 2 CCAAAE4DD86E2A9A056F5F30EF8122F6AA6F3024A68E50E34EECC413AA0F5081
412.futbol.	3600	in	ns	dns16.ovh.net.
412.futbol.	3600	in	ns	ns16.ovh.net.
412.futbol.	3600	in	rrsig	DS 8 2 3600 20260122151925 20260101141925 56679 futbol. Gtj0mTMBBjjTHYmQuGSwU/nJ82sTPgpN9UMKivslMkpGSPWHGFIStlw+/JQnGSp2fyOpNl60aFh5J/W8tVqmYqxdCP6oT9XpZztOUuBVuZUbs/QSWiO/+XV9Lmqes/S5XIvoFazlar50yvUHmwCiX3/ha8SorYSjoEkPAK+I7uA=
42orqil9brbdk3876o5kd2pfdr8j38rj.futbol.	3600	in	nsec3	1 1 0 73 4SG5JFVHBCJ42C1UF7H5S1OCJOKTMDHK NS DS RRSIG
42orqil9brbdk3876o5kd2pfdr8j38rj.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. nwrNLPMgsLX0KW257MMAR7yEn1EK3SE7u4zLpGbKFsLIes3K2toMh5yRJuv4hFv0eLpMOQmzV9Ospbp38+4uRmWNs4z2lSyjIMz1CyUWv7MwiJRrFhmldvWsXS9T22D7SHrOjkOHkYdO9g1CoLhdX1VvOTx+rOI6bFSX9tHOv1o=
433.futbol.	3600	in	ns	ns25.domaincontrol.com.
433.futbol.	3600	in	ns	ns26.domaincontrol.com.
46505.futbol.	3600	in	ns	ns1.dyna-ns.net.
46505.futbol.	3600	in	ns	ns2.dyna-ns.net.
49b9.futbol.	3600	in	ns	ns1.afternic.com.
49b9.futbol.	3600	in	ns	ns2.afternic.com.
4sg5jfvhbcj42c1uf7h5s1ocjoktmdhk.futbol.	3600	in	nsec3	1 1 0 73 538QVHCL127RJN73CRG73O19GB57LQVK NS DS RRSIG
4sg5jfvhbcj42c1uf7h5s1ocjoktmdhk.futbol.	3600	in	rrsig	NSEC3 8 2 3600 20260122151925 20260101141925 56679 futbol. owBco/xLqzVOunDGLgviaqNqVRNjnw6NtCQYGqcpdgbJXJvjFSql35tFHSmTOReHlz3QqGg+kX5wc0U2qG8ciEbTnIgY1rrRzPPMo902+VK5sdeMCaFYL1wVCwT37QMJ8xeqwtOn9bPqw6dO93H0SDfIGBtD5MdECYGPPyAmNGo=
538qvhcl127rjn73crg73o19gb57lqvk.futbol.	3600	in	nsec3	1 1 0 73 58E45L5TP7MNBQM9KHO4QBNA9B4FU04F NS DS RRSIG
