0fgaafa4bfi3qpd82dh2foebqhljin3l.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. MQmuTWL+cd0mJ9fCEi44I4Aks+duOzNbV94/rbTh2R1DtVHDTMm26TdL0B+kJdPzPvHnaTFnE/eLDWWLAP+ivunA41prPDMEaPgRwqiZU9tmJ3ba6c7Fga6Z/ST7DLjqYBTXU+ZmM6nSmaY5IQhtftCUhe5rCJ59iguASf2LFMM=
0fmuf6d8s55d32p6hp09mrrbbdf2829f.technology.	3600	in	nsec3	1 1 0 73 0FP3PH95LL8PRVMFASCGL26GP363UJK8 NS DS RRSIG
0fmuf6d8s55d32p6hp09mrrbbdf2829f.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. om1GzXzHCYGE2vRTo+2S2ZRgabifc4UdatpeVfIwCfV+ZOGXcD7xHsTG4pBQZvBwUwLXRiPq9jIqJl3GLlHamxaufpvcm1+ng5Crzf2PTPDYaHlbPYOcNYm7zXXA+KiouMFdv/EGlLGc0SzAsLS0pCNrI2KKAeCin4MkRzAMsI8=
0fp3ph95ll8prvmfascgl26gp363ujk8.technology.	3600	in	nsec3	1 1 0 73 0FQHB8ATETF521KH5V05JROMDEUTRG18 NS DS RRSIG
0fp3ph95ll8prvmfascgl26gp363ujk8.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. N3d/rrcuWOwMtUqiv5SWmid/jRTqJZ9EmbvI4whVFWtg1JbKKcRhXbOMX18mb4tDx8r6H+i1hjeBHnS4mrsWj4P1wC1Lzv+JcxqYWEqIghXXfnPtOUgJ4/2UnppB0vfuzGqmXMIL6idY7fEPK9XKMVWHJT5BLXiCVgB5Up6ymQ4=
0fqhb8atetf521kh5v05jromdeutrg18.technology.	3600	in	nsec3	1 1 0 73 0G7MVP91N3MRCKFV79H0P7QGTRTBPUNV NS DS RRSIG
0fqhb8atetf521kh5v05jromdeutrg18.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. iZVsXHeos7erCb5R5m2yNnO25FCgFt9vRc2OOJdjjc5DxDwZdzzxvAuQ9VH5GIbEF51NjJj9uE7FgNgvEdqwNtN7AJxVvcbBvHb2PJub2PvCFO14ymzEOonYX+X3eua5UME54hKagsbeSQALcNIeDna3+jApz8H+ipw01jC/vEo=
0g7mvp91n3mrckfv79h0p7qgtrtbpunv.technology.	3600	in	nsec3	1 1 0 73 0H410N05LBRM5EI0A6F3IMCM967B2FK1 NS DS RRSIG
0g7mvp91n3mrckfv79h0p7qgtrtbpunv.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. a0IoJPAyWrZzcrUMFlDxbNsgc69cTzXmBc2+zicXlAlMSCtle7YtGETxE8HBURc54OF2PU+L87rQao71BrGdMk87kzF5m6DIrT1JxlCB3TDevftUAAl78AUK2FG3SZoHjYycKWfwC5AK6EmEvwp15UrW1fYjXUaYG8t87V2jT74=
0h410n05lbrm5ei0a6f3imcm967b2fk1.technology.	3600	in	nsec3	1 1 0 73 0HVIAE2D8MJFNJRVIFLC9KDMI2KVKP58 NS DS RRSIG
0h410n05lbrm5ei0a6f3imcm967b2fk1.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. IrEkaEhd9JiVRFQJrBVyNXQpDPFG4txRM1Gb3Fc98WzAdVJkywqkEppwcHUpT8B54D+/P3cg84YC3iLAlD7jGHYBPNDy8wI90l6Cv6cxHm8iAISMYpU/ZOAJJFeRuAvjK3JtBu3gRHyqSt8o63PF/gMMSYfkPzYAxfstalTTmrY=
0hviae2d8mjfnjrviflc9kdmi2kvkp58.technology.	3600	in	nsec3	1 1 0 73 0IJINDGCTEJ32J04R40TLIAOANTDJ3AA NS DS RRSIG
0hviae2d8mjfnjrviflc9kdmi2kvkp58.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. MK7s/jq8mBz2pVSIAjZFQaHHICJkBvtm4PRSa+lWAi8fWCfSW+o/HhN7d0124gCJBQ2iuu0NrsLwWVbpww57IeV4PO40Am06QacDd/GUO768noRfdty0d8+w3WTGNUCHXc6UnGM7bw2SoWvxTHmZdH4aANdnmWFoUFSZMdDJmx8=
0ijindgctej32j04r40tliaoantdj3aa.technology.	3600	in	nsec3	1 1 0 73 0IN85BPHSFGUL3N0E1K46EEKV9628T5L NS DS RRSIG
0ijindgctej32j04r40tliaoantdj3aa.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. i3j2aDZfYDWSOUY4UEaRAAHWxUjJuT0bztAoy04SJChwodp2dCws/GOAKzhKZhn1pZGAMu3TypVRRwA4+mgw1uQs5X/BQxpVIk/F9MjDPKOJJExGqIahjiPEUnGRSuTRlFRZ8M8vwLseHf/FlTxid/bF3IvDH30dq5ZGJ3/hhs0=
0in85bphsfgul3n0e1k46eekv9628t5l.technology.	3600	in	nsec3	1 1 0 73 0J47O87NBL1IDUSAVI9MSCCR92VRVP6S NS DS RRSIG
0in85bphsfgul3n0e1k46eekv9628t5l.technology.	3600	in	rrsig	NSEC3 8 2 3600 20260207160001 20260117150001 3003 technology. VoaM2OtwaFfcyecstLoCkAb/Hrx3rNKgsoSEoZ7TxFunh5MUHXpp4u1YDlWPGSDJOhM0CHCf2e44jrz7HOFg+QkyA2B8uB62tn8y4dUTjw0HpGzIjaMNZFyg5KBLiaj8XLG5vlsFSCM/u5+ZA4cQXTNaqfNcrUrCmGXNmZ41/+M=
