0kfb0nobqo8e2vri6il89k1cnhp4b60l.tax.	3600	in	nsec3	1 1 0 73 0M5AVOQ1K2L3V9AS8KDAVRIT3MR75QVP NS DS RRSIG
0kfb0nobqo8e2vri6il89k1cnhp4b60l.tax.	3600	in	rrsig	NSEC3 8 2 3600 20250922151954 20250901141954 51030 tax. Oa/H09km5m+B13ykIJ8CguO69IOsNsQZq+3xTFi8lHo/h2vc2tjOrssKQYIQmPSh344lstOiF4VmU/DLxPv4GpUUFpxf9Obol59acpkkYBl07NjzzCBRjXYN7J7NYRelVv0QTl+d6GpvQnd1hYWFactocYvtFbM5D3HA7HoivOM=
0m5avoq1k2l3v9as8kdavrit3mr75qvp.tax.	3600	in	nsec3	1 1 0 73 0U3TDR18ICJ5GPTSLLSTJO6MSL0MGPV5 NS DS RRSIG
0m5avoq1k2l3v9as8kdavrit3mr75qvp.tax.	3600	in	rrsig	NSEC3 8 2 3600 20250922151954 20250901141954 51030 tax. WGjc121N4gnMw/2Anu8moL2jJlnAgsvvLuuFYU9lzIgR37TcVHEx8zcvlLZxv3qYSQmwPunTpLdukGmRfl3f2KYq3x6MLm4sc/USV1CW6di+ZSunR/4h4mX9cOP15A6RLHvrzvPtxoIYeA73V2KK3VL8PgA8ykbJi4Xs6n2DKwo=
0percent.tax.	3600	in	ns	kaiser.ns.cloudflare.com.
0percent.tax.	3600	in	ns	tegan.ns.cloudflare.com.
0u3tdr18icj5gptsllstjo6msl0mgpv5.tax.	3600	in	nsec3	1 1 0 73 11QJ5Q66CHHIUL5437HB1JFOR3F3OLS3 NS DS RRSIG
0u3tdr18icj5gptsllstjo6msl0mgpv5.tax.	3600	in	rrsig	NSEC3 8 2 3600 20250922151954 20250901141954 51030 tax. d+o5SXT4JME8xquiS37vf6eAy26K7Ms/Qc3XTJDU6GrsjSEVHeHyh0c6USvMmW2K3BblFNxwF/8eSiE0Htm2SMgK0NrcTW5h36ktnaCzpD1fC6tXbhrrHRq9p/MvPX0NCccR6mvyi4ovKPsswuBcaWo6sm+MX4LORvG705bqp2o=
0x.tax.	3600	in	ns	dns1.registrar-servers.com.
0x.tax.	3600	in	ns	dns2.registrar-servers.com.
1-800accountant.tax.	3600	in	ns	ns17.domaincontrol.com.
1-800accountant.tax.	3600	in	ns	ns18.domaincontrol.com.
10.tax.	3600	in	ns	ns27.domaincontrol.com.
10.tax.	3600	in	ns	ns28.domaincontrol.com.
10010.tax.	3600	in	ns	dns19.hichina.com.
10010.tax.	3600	in	ns	dns20.hichina.com.
101.tax.	3600	in	ns	ns11.domaincontrol.com.
101.tax.	3600	in	ns	ns12.domaincontrol.com.
10180.tax.	3600	in	ns	ns1.dnsip.com.
10180.tax.	3600	in	ns	ns2.dnsip.com.
10210.tax.	3600	in	ns	ns1.dns.com.
10210.tax.	3600	in	ns	ns2.dns.com.
10240.tax.	3600	in	ns	ns1.dnsip.com.
10240.tax.	3600	in	ns	ns2.dnsip.com.
1031.tax.	3600	in	ns	ns1.sedoparking.com.
1031.tax.	3600	in	ns	ns2.sedoparking.com.
1031.tax.	3600	in	ns	verification-mltszwuqsztaxj47w28fwj.ns101.verify.hn.
10319.tax.	3600	in	ns	ns1.dnsip.com.
10319.tax.	3600	in	ns	ns2.dnsip.com.
1031exchange.tax.	3600	in	ns	ns77.domaincontrol.com.
1031exchange.tax.	3600	in	ns	ns78.domaincontrol.com.
10386.tax.	3600	in	ns	ns1.dnsip.com.
10386.tax.	3600	in	ns	ns2.dnsip.com.
1040.tax.	3600	in	ns	ns1.dyna-ns.net.
1040.tax.	3600	in	ns	ns2.dyna-ns.net.
1040bymail.tax.	3600	in	ns	kay.ns.cloudflare.com.
1040bymail.tax.	3600	in	ns	merlin.ns.cloudflare.com.
1040help.tax.	3600	in	ns	ns37.domaincontrol.com.
1040help.tax.	3600	in	ns	ns38.domaincontrol.com.
1040income.tax.	3600	in	ns	ns1.getnetset.com.
