5muathu.navy.	3600	in	ns	lynn.ns.cloudflare.com.
5muathu.navy.	3600	in	ns	yolanda.ns.cloudflare.com.
631578.navy.	3600	in	ns	ns1.dns.com.
631578.navy.	3600	in	ns	ns2.dns.com.
65413.navy.	3600	in	ns	curitiba.ns.porkbun.com.
65413.navy.	3600	in	ns	fortaleza.ns.porkbun.com.
65413.navy.	3600	in	ns	maceio.ns.porkbun.com.
65413.navy.	3600	in	ns	salvador.ns.porkbun.com.
69vn.navy.	3600	in	ns	felicity.ns.cloudflare.com.
69vn.navy.	3600	in	ns	maleah.ns.cloudflare.com.
6fg1bd41ovfupe7e79ioijj3ddaveag9.navy.	3600	in	nsec3	1 1 0 73 6KQ34NMJ6IB62P4H4BACBKRADM5APET0 NS DS RRSIG
6fg1bd41ovfupe7e79ioijj3ddaveag9.navy.	3600	in	rrsig	NSEC3 8 2 3600 20250916155615 20250826145615 39273 navy. RZeIRZt0MR45q9wZRqj1fLTr6n0kY9VFgUv5Zpsnmpjdqb6WwShcBya0tSC9UxosEu1emLk4pNWm9cYNN5mRktDjHypKG2TdeTX9Ek6h9NPiehwgzY+/Iat7rgHHSRhs9pbUN/WVwPEOnh6uaxntf4HUNE0pBb8ErN32ETxtVtY=
6kq34nmj6ib62p4h4bacbkradm5apet0.navy.	3600	in	nsec3	1 1 0 73 6MKCGBEVGVMEH9JIMGFMULO1N2M373C5 NS DS RRSIG
6kq34nmj6ib62p4h4bacbkradm5apet0.navy.	3600	in	rrsig	NSEC3 8 2 3600 20250916155615 20250826145615 39273 navy. Mi82SVffcu1oo2kZS+M09hNldtqUxHYpPRSv1wJNgeWcw4SxJ1cFcEP6u9RsmytfSobB4SB8WmMhFAKxA1MLMjkFlNheqpAsawRjD5W8lr6ZkNJGynwfSaaqD1gOHZtWy4rfuOs0LtTYPufmd8xsYVonlqsT9omhUeGMT2J5yaM=
6mkcgbevgvmeh9jimgfmulo1n2m373c5.navy.	3600	in	nsec3	1 1 0 73 7349CT3AV32AICQ2THB83TTS850MRVET NS DS RRSIG
6mkcgbevgvmeh9jimgfmulo1n2m373c5.navy.	3600	in	rrsig	NSEC3 8 2 3600 20250916155615 20250826145615 39273 navy. rM11nNmq9D3As5e8uywqKGG4XZAqOsRuE/yLtBpO5imvZH570OTrhr5pBTvo70VILIpUfJXJXoi3cGOXG3UhN4ab4fTG6joFlggG+pd4hk9BUZuFkGgHc5BypFnDiKCHpSQ5ypmB19rwOP8v+d758iiMgniajn+HXJV5kdY/Bjs=
7349ct3av32aicq2thb83tts850mrvet.navy.	3600	in	nsec3	1 1 0 73 75HB1OB76TGR5FGU8BP7I1RTE87FFBEH NS DS RRSIG
7349ct3av32aicq2thb83tts850mrvet.navy.	3600	in	rrsig	NSEC3 8 2 3600 20250916155615 20250826145615 39273 navy. Cu0KnRLlpMy1Vr2lxeq3UsZDh5KY8AvqyUn5SNd0KuEJvbULcoI6+EFOCMJzGM6tEx2pzKw//dR/L/GnYVWCg8l1rZX9xt7c5P8dn/IY/xdFwQqH7O9QlympYe4PnK/wmtCaxQbrGRpA0SruILEkq2lyahoHcls2xmMEXq0hiuY=
75hb1ob76tgr5fgu8bp7i1rte87ffbeh.navy.	3600	in	nsec3	1 1 0 73 79JGP93EM46ERE3DFQDTIJFDG6D869L0 NS DS RRSIG
