0g.software.	3600	in	rrsig	DS 8 2 3600 20260122160614 20260101150614 48789 software. a++3bfj9MjChVHthG3hx695niizQAmbQIV//pf+jOg6A3xqXXGtc1zHjcnVLbcxTrIwWT2aPysXOXiaCh9gdpMv9nF0zCbgBbDBq5guvWHxLt7yNX+UiIGumHl7ztx0V2exvVQmbzJoxtllq/DhyBfvfrfSzkIpUk+0k5X6X0kc=
0g37608earr2qhgoosn6fn15l4bc9hra.software.	3600	in	nsec3	1 1 0 73 0G8LIK7AHR4CQF9NM6U46OBDFB3F3ONT NS DS RRSIG
0g37608earr2qhgoosn6fn15l4bc9hra.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. FY32UmSP8GdVW2qmcPr0jvixFhPQsVbf81LiXzKrdus1GyKmDqrmlJoLV3I6eSrulZdBd90As7muSeGQvtapvubbobspj1FTx46c9LH/f6wEuQhcAedV/lqdKrL4HvfqDh09Vf5OAxAKyV1xQQXpBb3AWcIcm4kCX38ler1Ggw4=
0g8lik7ahr4cqf9nm6u46obdfb3f3ont.software.	3600	in	nsec3	1 1 0 73 0GGRUMRJFC1MV9288PFNNIA0DIFMRBHS NS DS RRSIG
0g8lik7ahr4cqf9nm6u46obdfb3f3ont.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. UG7zD3yeUxj8CVSwPlFH5nA1anVyYTJV2cBxaaFMVJzJRaZgupliIYfBtr1N1TNk0vn9eaMBh67DrVEety2s4L2jgIUBaDPoC5fClimoqQ1bthfgmAqEAEeXOuqJ74v7aFIgqLi683rHCmZELybDXbyvFqlOobakJT734gHpZ1I=
0ggrumrjfc1mv9288pfnnia0difmrbhs.software.	3600	in	nsec3	1 1 0 73 0GQG0JOLDB2KITNJO4GHO3J0U3T63OC4 NS DS RRSIG
0ggrumrjfc1mv9288pfnnia0difmrbhs.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. QVJVpZ3v0RbLibbTkGyLhrzXQ0ovzqwNKq6Aghhf+QlBrK1cwBC7nqsbyPd1GTz9sGDcGCo7iuji+w5b6dmmNRV6H1CrNJFNJ2NySUu8FYFHiaNNItzQxFdGDi6aH6Zc8e8QZU/fdAvqrY8WIG6z3E+Xii+8phyu93NCO1bwyKg=
0gqg0joldb2kitnjo4gho3j0u3t63oc4.software.	3600	in	nsec3	1 1 0 73 0H7IM9KUBMMV69R33HCM4UKPL0C0OAD7 NS DS RRSIG
0gqg0joldb2kitnjo4gho3j0u3t63oc4.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. AI1TbkEkgEJ1Z5IDPLGkR14B78181YJnnWlnhTB0ZL2zx/s+XTRJcWnf/MQqje9EM9q61aOrZ3Sq00WSQ+Rn2i8DmKt60XkS+wear6lkW3AxjfD0VwmHjCfHwWIlq4dFUHROJlHU+geIV3RMoxZlGnEH7Zn8pJ1g0dNaU5gWFZg=
0h7im9kubmmv69r33hcm4ukpl0c0oad7.software.	3600	in	nsec3	1 1 0 73 0IIGE4SHC3S17M6LE7L1FQJ77QS7NSFG NS DS RRSIG
0h7im9kubmmv69r33hcm4ukpl0c0oad7.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. aJgQ/PdxeDsEFnP/1Bw3tf8+bH4I2fiAAwk6vBvUq/7EkXEEnfyJyvGO50HZYOvQpK0qFpAsQ0oGck/jUQhnF/hcyG59ywnYfCQOk2CUO4HhiUR9T3APjxXyYcCScn6IvL2G11zZxC6TmaEdQTJpcZ5ifHZSiwdjyV9Tb57/HRY=
0iige4shc3s17m6le7l1fqj77qs7nsfg.software.	3600	in	nsec3	1 1 0 73 0IKGJ52UDAQLMBCCTRG0OE5OKNPFNFQF NS DS RRSIG
0iige4shc3s17m6le7l1fqj77qs7nsfg.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. fhQomhPpCtc729v6FcRwBrgea1i6/cnLJ/NUULqiBtW/InY/KRrEReyaCdbLwnHePSg5Dk7g+ot/ErDi1ZQ+K95kLomWCIfU0FFvOwVXUBc1UC4yblOVsH7D3M/fICQFI69gLJgwkyRr2WoTF7Vm5pJ16/ws6Zfgg6wWI5y2eJc=
0ikgj52udaqlmbcctrg0oe5oknpfnfqf.software.	3600	in	nsec3	1 1 0 73 0INMV7DAH5R8JA4NQJ88M8KETHM9VBJ2 NS DS RRSIG
0ikgj52udaqlmbcctrg0oe5oknpfnfqf.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. Ps6ZSUx2j84cRHo6SaYYliGDZ5VVrfHMbB0fch6r+d225BDvTZXV1NdVKbBJtwBOEhbHixzFi3Jowq+l/vCk+C9w0/li3chOP3e8D0pQjDwj4Z7ZSTfxzQOJ3/GISP0PMhyL4UMf1pCo0cLkciSV8MGio1OTJ/YT2P9HtQg6LqM=
0inmv7dah5r8ja4nqj88m8kethm9vbj2.software.	3600	in	nsec3	1 1 0 73 0JVIUD4QQLCI781C08U55QAUO1BQNDN3 NS DS RRSIG
0inmv7dah5r8ja4nqj88m8kethm9vbj2.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. faWiM+3L8rf1KC0rFMs7rGCWwl7ut3rpR2F4+tVuQ69KP55z0GMXM8nuM1V08/EG1bxr2WSnBLSw+E1pO73w5/LgkqXwCi4mN847lzx5RcUk6PoYAXHCDfrWXK4fUsBODasCWfwOPytQ+rHraHzk/KrSwTyn290RabB2Gbu25Q4=
0jviud4qqlci781c08u55qauo1bqndn3.software.	3600	in	nsec3	1 1 0 73 0K2V6UA8RPVV0EK4L3S322L5JMIMCS3L NS DS RRSIG
0jviud4qqlci781c08u55qauo1bqndn3.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. Wf+U0yC0xx5L7IbPBwyfa/7znSk8YeyUK0EcvfWCzDeZUX0MvhrrnK9Ah67AiypAB0DCkXjbY33y7c7H11wqpRjMd0rm65QNJ1zFU5VmDzpL0IZp+GrPffA5nORNfdhDTd+9e5rnvTiIWejYxqA7ry2V+f1whgHWnMuTYnwU0ak=
0k2v6ua8rpvv0ek4l3s322l5jmimcs3l.software.	3600	in	nsec3	1 1 0 73 0LHK6DGCLVTE21T0G3V0Q7B1080U0M85 NS DS RRSIG
0k2v6ua8rpvv0ek4l3s322l5jmimcs3l.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. VXLSB5tqv6sn38/7AYwL8IKxeC4cvHVpwnvQeRpiryHZFRqsuolEBAz8/Ih2pBZVn9FpbsfCIFVb9VzaHrMDVjHmBRDsNoKYR8BsP70k7fUCeoIS03ohHGXFJ1dxP3Ze5c/Xod96qLOvUYLUMh8ixgfAyBXl2MR4GQKNwa8XXdM=
0lhk6dgclvte21t0g3v0q7b1080u0m85.software.	3600	in	nsec3	1 1 0 73 0LMEPT4R3SIKLHFCOI81358GCOP56BA9 NS DS RRSIG
0lhk6dgclvte21t0g3v0q7b1080u0m85.software.	3600	in	rrsig	NSEC3 8 2 3600 20260122160614 20260101150614 48789 software. NPNNPnFCRI/Yh9+4TmKB2tLajiwVNVNE/A/Knqxa8gkG1iyx1F69aOQtK3sR2i3ktNF7gcWeWWVNd3pyiBu26cMZU4y23mc0dgiUF3hXlBxSecDclG24p7s/FClKCfrmk0dCmSAtSILGnvxDFbwLfxCgwQ+k78ymPi0V6zqNFM4=
