ibfg80k2u9oendsen0ko9d54lv899jr6.statebank.	3600	in	rrsig	NSEC3 8 2 3600 20250916152406 20250826142406 1566 statebank. oCuT0yaYqQ+UXc2ElnteC2bZJZ2jsVcq+cfPXAFHE/3oWwaDTTLroAP7J9RmMxUOK/pA3O1Eb5blhYdKeCuFM8mASPWXyTXZ1LRcM/om5YBY/+j8YDYqc56qI0kD9gnMHSsl7yO9ogrRYpb2rt2OSa/vvjfA1pbblZKY+tq+Qlk=
ifsc.statebank.	3600	in	ds	5244 13 2 A7DA0DB6B81F1E3B3CBE0DBCF1DA6325BE015413B5D0A8BE94C2DDF1CA7E103C
ifsc.statebank.	3600	in	ns	a1-148.akam.net.
ifsc.statebank.	3600	in	ns	a16-64.akam.net.
ifsc.statebank.	3600	in	ns	a20-64.akam.net.
ifsc.statebank.	3600	in	ns	a22-65.akam.net.
ifsc.statebank.	3600	in	ns	a3-66.akam.net.
ifsc.statebank.	3600	in	ns	a5-66.akam.net.
ifsc.statebank.	3600	in	rrsig	DS 8 2 3600 20250916152406 20250826142406 1566 statebank. KDPpOTVbkITHyEsbZqL/RYQKVRCnxgB/inSV1BNj9lhkn/OcZrSJDvWzaOkzneVdGk01zabqQQAyWkopAyZJ8t1yHuIUCuHKJx5ilMsjVNHFgytOf0c7/JeL99vaFieyq9LBi+9l321FgE1/8jGIaKDb2Vow/JYl58epP2pST/w=
imetfj4f15anp6dk1a5aq104k3o7f0kv.statebank.	3600	in	nsec3	1 1 0 73 JBTBJODL19NCAKB39RJDBKASIVBKR9UF NS DS RRSIG
imetfj4f15anp6dk1a5aq104k3o7f0kv.statebank.	3600	in	rrsig	NSEC3 8 2 3600 20250916152406 20250826142406 1566 statebank. aQaVMB+620bPXcTbToa+U3Zb+fYmrDmHlIFlCUeuOulq2S1y8i71sEMs7nw5wKNvJ+zVNW8ldgGViVx28Ouk4J+dOw0/hcY62mbU2TgF9PgqLlNnUUQ5nM/w4XIKJPZO+NrzHyvfVXn047mEYxUgN4T/82mqhSnEKBqEYaY0PWw=
