gmbh.	3600	in	soa	v0n0.nic.gmbh. hostmaster.donuts.email. 1759367345 7200 900 1209600 3600
1.gmbh.	3600	in	ns	ns151.aeserver.com.
10-4.gmbh.	3600	in	ns	docks09.rzone.de.
10-4.gmbh.	3600	in	ns	shades01.rzone.de.
10.gmbh.	3600	in	ns	ns150.aeserver.com.
10.gmbh.	3600	in	ns	ns151.aeserver.com.
1000freund.gmbh.	3600	in	ns	docks03.rzone.de.
1000freund.gmbh.	3600	in	ns	shades08.rzone.de.
100percent-local.gmbh.	3600	in	ns	ns1.world4you.at.
100percent-local.gmbh.	3600	in	ns	ns2.world4you.at.
100percentlocal.gmbh.	3600	in	ns	ns1.world4you.at.
100percentlocal.gmbh.	3600	in	ns	ns2.world4you.at.
101.gmbh.	3600	in	ns	docks13.rzone.de.
101.gmbh.	3600	in	ns	shades01.rzone.de.
101schoolware.gmbh.	3600	in	ns	docks01.rzone.de.
101schoolware.gmbh.	3600	in	ns	shades11.rzone.de.
1121.gmbh.	3600	in	ns	ns1.cyon.ch.
1121.gmbh.	3600	in	ns	ns2.cyon.ch.
11876.gmbh.	3600	in	ns	ns.udag.de.
11876.gmbh.	3600	in	ns	ns.udag.net.
11876.gmbh.	3600	in	ns	ns.udag.org.
11bet.gmbh.	3600	in	ns	curitiba.ns.porkbun.com.
11bet.gmbh.	3600	in	ns	fortaleza.ns.porkbun.com.
11bet.gmbh.	3600	in	ns	maceio.ns.porkbun.com.
11bet.gmbh.	3600	in	ns	salvador.ns.porkbun.com.
11irh0v35okpoufms555grk6cvqo3qb9.gmbh.	3600	in	nsec3	1 1 0 73 174VA4C803NI6I1A6LFKS7ED9NVK1FST NS DS RRSIG
11irh0v35okpoufms555grk6cvqo3qb9.gmbh.	3600	in	rrsig	NSEC3 8 2 3600 20251022154921 20251001144921 24861 gmbh. gciWmqvu8Pm7MJrzXphfbvn6A/No7fIXA1Wm0tmI+M/rwprWvQplxwS84bAHQw06fXFQaLKr74onKpbloh1ELnpqOsc42AHGKi8oulJtd1cwGblBXYoO20Az/V1QzamEsqBh16Zc/xPoGq8mGueZNiaw3obqHzf9qr/H0L00IWg=
11punkt5.gmbh.	3600	in	ns	ns1030.ui-dns.org.
11punkt5.gmbh.	3600	in	ns	ns1042.ui-dns.com.
11punkt5.gmbh.	3600	in	ns	ns1043.ui-dns.de.
11punkt5.gmbh.	3600	in	ns	ns1053.ui-dns.biz.
12.gmbh.	3600	in	ns	ns1.domaindiscount24.net.
12.gmbh.	3600	in	ns	ns2.domaindiscount24.net.
12.gmbh.	3600	in	ns	ns3.domaindiscount24.net.
