bula.tatar.	86400	in	ns	ns2.nameself.com.
bulaty.tatar.	86400	in	ns	ns1.reg.ru.
bulaty.tatar.	86400	in	ns	ns2.reg.ru.
burger.tatar.	86400	in	ns	ns1.reg.ru.
burger.tatar.	86400	in	ns	ns2.reg.ru.
bus.tatar.	86400	in	ns	ns1.reg.ru.
bus.tatar.	86400	in	ns	ns2.reg.ru.
bybit.tatar.	86400	in	ns	ns1.smartape.ru.
bybit.tatar.	86400	in	ns	ns2.smartape.ru.
byltyr.tatar.	86400	in	ns	ns1.timeweb.ru.
byltyr.tatar.	86400	in	ns	ns2.timeweb.ru.
byltyr.tatar.	86400	in	ns	ns3.timeweb.org.
byltyr.tatar.	86400	in	ns	ns4.timeweb.org.
cam4.tatar.	86400	in	ns	ns1.101domain.com.
cam4.tatar.	86400	in	ns	ns2.101domain.com.
cam4.tatar.	86400	in	ns	ns5.101domain.com.
camel.tatar.	86400	in	ns	ns1.reg.ru.
camel.tatar.	86400	in	ns	ns2.reg.ru.
camelindustrial.tatar.	86400	in	ns	ns1.reg.ru.
camelindustrial.tatar.	86400	in	ns	ns2.reg.ru.
candidat.tatar.	86400	in	ns	ns1.reg.ru.
candidat.tatar.	86400	in	ns	ns2.reg.ru.
car.tatar.	86400	in	ns	archer.ns.cloudflare.com.
car.tatar.	86400	in	ns	walk.ns.cloudflare.com.
caravan.tatar.	86400	in	ns	ns1.brandshelter.com.
caravan.tatar.	86400	in	ns	ns2.brandshelter.de.
caravan.tatar.	86400	in	ns	ns3.brandshelter.info.
caravan.tatar.	86400	in	ns	ns4.brandshelter.net.
caravan.tatar.	86400	in	ns	ns5.brandshelter.us.
