comprar.ltda.	3600	in	ns	a.ns14.net.
comprar.ltda.	3600	in	ns	b.ns14.net.
comprar.ltda.	3600	in	ns	c.ns14.net.
comprar.ltda.	3600	in	ns	d.ns14.net.
compras.ltda.	3600	in	ns	ns3.afternic.com.
compras.ltda.	3600	in	ns	ns4.afternic.com.
comprasonline.ltda.	3600	in	ns	ns31.domaincontrol.com.
comprasonline.ltda.	3600	in	ns	ns32.domaincontrol.com.
comtec.ltda.	3600	in	ns	ns51.domaincontrol.com.
comtec.ltda.	3600	in	ns	ns52.domaincontrol.com.
connectbyzone.ltda.	3600	in	ns	ns-1110.awsdns-10.org.
connectbyzone.ltda.	3600	in	ns	ns-1546.awsdns-01.co.uk.
connectbyzone.ltda.	3600	in	ns	ns-478.awsdns-59.com.
conseguir.ltda.	3600	in	ns	a.ns14.net.
conseguir.ltda.	3600	in	ns	b.ns14.net.
conseguir.ltda.	3600	in	ns	c.ns14.net.
conseguir.ltda.	3600	in	ns	d.ns14.net.
construir.ltda.	3600	in	ns	a.ns14.net.
construir.ltda.	3600	in	ns	b.ns14.net.
construir.ltda.	3600	in	ns	c.ns14.net.
construir.ltda.	3600	in	ns	d.ns14.net.
conta.ltda.	3600	in	ns	a.ns14.net.
conta.ltda.	3600	in	ns	b.ns14.net.
conta.ltda.	3600	in	ns	c.ns14.net.
conta.ltda.	3600	in	ns	d.ns14.net.
container.ltda.	3600	in	ns	ns1.dns.millenniumarts.net.
container.ltda.	3600	in	ns	ns2.dns.millenniumarts.net.
container.ltda.	3600	in	ns	ns3.dns.millenniumarts.net.
container.ltda.	3600	in	ns	ns4.dns.millenniumarts.net.
corp.ltda.	3600	in	ns	a.ns14.net.
corp.ltda.	3600	in	ns	b.ns14.net.
corp.ltda.	3600	in	ns	c.ns14.net.
corp.ltda.	3600	in	ns	d.ns14.net.
correio.ltda.	3600	in	ns	a.ns14.net.
correio.ltda.	3600	in	ns	b.ns14.net.
correio.ltda.	3600	in	ns	c.ns14.net.
correio.ltda.	3600	in	ns	d.ns14.net.
correo.ltda.	3600	in	ns	a.ns14.net.
correo.ltda.	3600	in	ns	b.ns14.net.
correo.ltda.	3600	in	ns	c.ns14.net.
correo.ltda.	3600	in	ns	d.ns14.net.
cqrte7nps0km1ph6f4ju5qntmu3ruv7b.ltda.	3600	in	nsec3	1 1 0 73 F0GF0N1RTGNBHRHUOK82JA8R2L6MF8AO NS DS RRSIG
cqrte7nps0km1ph6f4ju5qntmu3ruv7b.ltda.	3600	in	rrsig	NSEC3 8 2 3600 20260207155205 20260117145205 50265 ltda. aeGlAN237/fFoF35OG+QY7WLwvMpot31sc/u9fZ8hbxfhvkVx/0D945t5DB2cpNvN5c4UNFC8UwuM70+vHv1OhJ/U4tYbU3lnqaIrDEcXRwNTZ1rLC4EYHNuT1RjU8XHpPe+UT1cbQqR2HxdBv1FvTR0vTrmo0Zch4lOPs6Esjg=
crear.ltda.	3600	in	ns	a.ns14.net.
crear.ltda.	3600	in	ns	b.ns14.net.
crear.ltda.	3600	in	ns	c.ns14.net.
crear.ltda.	3600	in	ns	d.ns14.net.
create.ltda.	3600	in	ns	a.ns14.net.
create.ltda.	3600	in	ns	b.ns14.net.
create.ltda.	3600	in	ns	c.ns14.net.
create.ltda.	3600	in	ns	d.ns14.net.
criar.ltda.	3600	in	ns	a.ns14.net.
criar.ltda.	3600	in	ns	b.ns14.net.
criar.ltda.	3600	in	ns	c.ns14.net.
criar.ltda.	3600	in	ns	d.ns14.net.
crypto.ltda.	3600	in	ns	dns1.p04.nsone.net.
crypto.ltda.	3600	in	ns	dns2.p04.nsone.net.
crypto.ltda.	3600	in	ns	dns3.p04.nsone.net.
crypto.ltda.	3600	in	ns	dns4.p04.nsone.net.
csagro.ltda.	3600	in	ns	ns09.domaincontrol.com.
csagro.ltda.	3600	in	ns	ns10.domaincontrol.com.
cuenta.ltda.	3600	in	ns	a.ns14.net.
cuenta.ltda.	3600	in	ns	b.ns14.net.
cuenta.ltda.	3600	in	ns	c.ns14.net.
cuenta.ltda.	3600	in	ns	d.ns14.net.
curida.ltda.	3600	in	ns	dns1.cloudns.net.
curida.ltda.	3600	in	ns	dns2.cloudns.net.
curida.ltda.	3600	in	ns	dns5.cloudns.net.
curida.ltda.	3600	in	ns	dns6.cloudns.net.
cyza.ltda.	3600	in	ns	ns1.netim.net.
cyza.ltda.	3600	in	ns	ns2.netim.net.
cyza.ltda.	3600	in	ns	ns3.netim.net.
cyza.ltda.	3600	in	ns	ns4.netim.net.
cyza.ltda.	3600	in	ns	ns5.netim.net.
debet.ltda.	3600	in	ns	bill.ns.cloudflare.com.
debet.ltda.	3600	in	ns	gracie.ns.cloudflare.com.
dell.ltda.	3600	in	ns	dns1.safenames.com.
dell.ltda.	3600	in	ns	dns2.safenames.net.
dell.ltda.	3600	in	ns	dns3.safenames.org.
diarmobastorecia.ltda.	3600	in	ns	ns1.renewyourname.net.
diarmobastorecia.ltda.	3600	in	ns	ns2.renewyourname.net.
digi.ltda.	3600	in	ns	dns1.hosting.cl.
digi.ltda.	3600	in	ns	dns2.hosting.cl.
digi.ltda.	3600	in	ns	dns3.hosting.cl.
digi.ltda.	3600	in	ns	dns4.hosting.cl.
direccion.ltda.	3600	in	ns	a.ns14.net.
direccion.ltda.	3600	in	ns	b.ns14.net.
direccion.ltda.	3600	in	ns	c.ns14.net.
direccion.ltda.	3600	in	ns	d.ns14.net.
directorio.ltda.	3600	in	ns	a.ns14.net.
