0b963mjooiqe2a9pbkepm5psl421sv8k.capital.	3600	in	nsec3	1 1 0 73 0C21MHNPUO1SLANJGUUN2L40GODKJ1KV NS DS RRSIG
0b963mjooiqe2a9pbkepm5psl421sv8k.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. YyDTvjG3VNp5sgGYaVWhvQExBWiwxl2reSMF9mvnSsbifeYpsSQm1fWQvS666gcKUSXuwAdSClSistT3umgPsC1dneBcJsrX1kur3SSO5GANTvYw8E0pjJT+W6zEuav6hyVzHTLemlFeoPV/9NRxV3HFg279fcZ79OEwNTHFGsg=
0c21mhnpuo1slanjguun2l40godkj1kv.capital.	3600	in	nsec3	1 1 0 73 0C2A3JCJCFNOUB7ASV6IU5OMQNBVHT9G NS DS RRSIG
0c21mhnpuo1slanjguun2l40godkj1kv.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. YLYUIa7aj2orYwjA98Bm8kjqcHHSNmxN6RTTpfmTg15+sBpJKZjyGcRwKnF2HK9UmEL8E89qECZzAAglTCen9dmnQsZit2eRgMQotrICc4u/LKRWr6HNgXYVn7U/TbkH4CApi5mal+9BuAhgDZL27JyrPOpQgZMxxJgiSt4ygyQ=
0c2a3jcjcfnoub7asv6iu5omqnbvht9g.capital.	3600	in	nsec3	1 1 0 73 0C5VN27JJ4QOJ0OCG7CLMMLOE3823T9N NS DS RRSIG
0c2a3jcjcfnoub7asv6iu5omqnbvht9g.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. PjC7Ak6sYUW3u0N2Q9GAfFBZcVWG21Adnk1vNKH+RyvZd5Uam+arzdTSqdll64tzgXJWzyddTDpR4F17S9DChuld+iy6xVdhdCY6Wg70ABcwFZgX6clQZzO8JR2IYNtIl/Wmw0ulHGFAWtHbJPMgFORCGAuMk4yeueEJd+xJmUg=
0c5vn27jj4qoj0ocg7clmmloe3823t9n.capital.	3600	in	nsec3	1 1 0 73 0DCE3STC53IPLMFPLU6FBRBB7E2A346T NS DS RRSIG
0c5vn27jj4qoj0ocg7clmmloe3823t9n.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. dNFaaeb8vRcjDZlRdqE+nJvxmXnuodTOmrSptd0G9XbXnveOjWUPO+rO8UZSsJ12YmAVrlLzQecZ7FLiWdMBpKRj3BH7YI1X15yGZx2KCIHzoAYRo6yIYie3SRw9y1zcBR0rORKPOC8/tJfANrRKl55sTapSyscLyARtzIjV3Vk=
0daymovies.capital.	3600	in	ns	ns1.dyna-ns.net.
0daymovies.capital.	3600	in	ns	ns2.dyna-ns.net.
0dce3stc53iplmfplu6fbrbb7e2a346t.capital.	3600	in	nsec3	1 1 0 73 0DQTHT54UV2EU4TB4KSFSLMSJOVCO748 NS DS RRSIG
0dce3stc53iplmfplu6fbrbb7e2a346t.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. YB5zGjNyCPZ34CBYBqwodq7S2VlMbGkY1xSvLmngWYwLMNVv8xBq4VcEQsBOHh6u2GNTGUycqQ656CJf4omSrEQOxexwjFsyTfANOc1ts4dUc33ZKzKaXKPASn3NRlwrO4rknQgcQQ4nYvp2Mn1uqNKgeGGDDW3gzUtpTNlkLJM=
0dqtht54uv2eu4tb4ksfslmsjovco748.capital.	3600	in	nsec3	1 1 0 73 0E4FQHACQVJLS334UCRHT9A6GNBMFC2S NS DS RRSIG
0dqtht54uv2eu4tb4ksfslmsjovco748.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. RqcXHg1JpvdPWkhWci9dQn4P9cgLAvnVr6bCvcOZ3Lh0dSeSNHZ2ymroT2v83jGAYuW7qb7mo+DfXuBAJ28p2qQxVap4rBSiNjcHT/Nf/ovQbjtImlDxfXikOn7AZGnOS0PLhhw60NCSCSbu7Qhg37tfH2TYu85p7VpeZ2EZ3Us=
0e4fqhacqvjls334ucrht9a6gnbmfc2s.capital.	3600	in	nsec3	1 1 0 73 0E5QVLROFQENQ1Q2KPMMGNMHMQBG3GQO NS DS RRSIG
0e4fqhacqvjls334ucrht9a6gnbmfc2s.capital.	3600	in	rrsig	NSEC3 8 2 3600 20260122152720 20260101142720 40794 capital. i5O8BYwKDfmdFBkbaJZCp/CL3XbzD7X9AZ+Ei0CcM3L47CC5NYydduz0t7adg7wcuiaYkCsVTtaZliVjfDtLJcku+a7CIToCDPdcZrC48tHo5PwzOnwe2MKuN3NuZLaa8tdvVi1i2DBqh5QRXUVCVFKst95ZI0G36TYYdmrLeRs=
0e5qvlrofqenq1q2kpmmgnmhmqbg3gqo.capital.	3600	in	nsec3	1 1 0 73 0E7LUCNDEFEQ4570GMCOBFF6CKK0EBVM NS DS RRSIG
