a7g7nmocg909qs4n8fn8nkh7i65l8pvs.forex.	3600	in	rrsig	NSEC3 8 2 3600 20260122154524 20260101144524 59649 forex. b/T2zXvsQowlOnwOsqV/C9v9P9TEohPWVVAxTQldlApv3EQyvBNFFs9SVaKQ+tq3jSIcrYHZ6cDOyyGlz65wWxXx9kJjfvxRPvITVG+eYUDRxHvKpu2ozK7KnhBb4SPaCVl8eESY/hyE5XCCKbaOSygpZfyxMv8eRY8wEL1YrAc=
aa.forex.	3600	in	ns	ns1.ooparked.com.
aa.forex.	3600	in	ns	ns2.ooparked.com.
access.forex.	3600	in	ns	ns1.gofruits.co.
access.forex.	3600	in	ns	ns2.gofruits.co.
account.forex.	3600	in	ns	ns1.ooparked.com.
account.forex.	3600	in	ns	ns2.ooparked.com.
acoxf.forex.	3600	in	ns	vip7.alidns.com.
acoxf.forex.	3600	in	ns	vip8.alidns.com.
adipz.forex.	3600	in	ns	ns1.dnsip.com.
adipz.forex.	3600	in	ns	ns2.dnsip.com.
ads-securities.forex.	3600	in	ns	dns1.cscdns.net.
ads-securities.forex.	3600	in	ns	dns2.cscdns.net.
ads.forex.	3600	in	ns	ns1.dns-redirect.com.
ads.forex.	3600	in	ns	ns2.dns-redirect.com.
adsense.forex.	3600	in	ns	ns1.google.com.
adsense.forex.	3600	in	ns	ns2.google.com.
adsense.forex.	3600	in	ns	ns3.google.com.
adsense.forex.	3600	in	ns	ns4.google.com.
adss.forex.	3600	in	ns	dns1.cscdns.net.
adss.forex.	3600	in	ns	dns2.cscdns.net.
adva.forex.	3600	in	ns	ns1.siteground.net.
adva.forex.	3600	in	ns	ns2.siteground.net.
advisor.forex.	3600	in	ns	ns1.ooparked.com.
advisor.forex.	3600	in	ns	ns2.ooparked.com.
advisors.forex.	3600	in	ns	ns1.ooparked.com.
advisors.forex.	3600	in	ns	ns2.ooparked.com.
adwords.forex.	3600	in	ns	ns1.google.com.
adwords.forex.	3600	in	ns	ns2.google.com.
adwords.forex.	3600	in	ns	ns3.google.com.
adwords.forex.	3600	in	ns	ns4.google.com.
ae.forex.	3600	in	ns	ns1.ooparked.com.
ae.forex.	3600	in	ns	ns2.ooparked.com.
ae888.forex.	3600	in	ns	destiny.ns.cloudflare.com.
ae888.forex.	3600	in	ns	kayden.ns.cloudflare.com.
afc.forex.	3600	in	ds	22239 13 2 573BF4CFD937BE04AB8399B367FC44180D818AD453CCA8CFF14D1157252F3098
afc.forex.	3600	in	ns	launch1.spaceship.net.
afc.forex.	3600	in	ns	launch2.spaceship.net.
afc.forex.	3600	in	rrsig	DS 8 2 3600 20260122154524 20260101144524 59649 forex. j/HAlcD4LWISHT9SqR6zZAj4VDFfXy2ks16KVR9CELyFEr+Yto0nT6PVv5OqL9EMS8d7cF7UbH8twSLPAY5IVEGt35tGitsL3+yWNApepcFkjHY8Tqno5zeBPbjb/qf2popb1aOAoyfupxxTu4p7u4RiWYdYWAP+qFf9UBN6Zg8=
affiliate.forex.	3600	in	ns	dns1.registrar-servers.com.
affiliate.forex.	3600	in	ns	dns2.registrar-servers.com.
afg.forex.	3600	in	ns	dns1.registrar-servers.com.
afg.forex.	3600	in	ns	dns2.registrar-servers.com.
afri.forex.	3600	in	ds	38276 13 2 649C82000E7A60F3F70701D8EE113854D522FDBDBDE031A88859D72151FC2030
afri.forex.	3600	in	ns	launch1.spaceship.net.
afri.forex.	3600	in	ns	launch2.spaceship.net.
afri.forex.	3600	in	rrsig	DS 8 2 3600 20260122154524 20260101144524 59649 forex. yDTrIkWttFp9t7kFRpoJreZHMmg26hkDdF0fEL1DKzhEYK1U+KyxvQhe3u0kYjAJz5E7JA3wE079lzTyW5IEnOrz5vnQq7jAYinYNyE0GrmQuyGy81d55Ep1ZMK1PsIPUtE18BX/lr3smrH3/4vvmVB+dItaX2hTN+5luLiRGdk=
africa.forex.	3600	in	ns	dns1.registrar-servers.com.
africa.forex.	3600	in	ns	dns2.registrar-servers.com.
afx.forex.	3600	in	ns	ns1.eurodns.com.
afx.forex.	3600	in	ns	ns2.eurodns.com.
afx.forex.	3600	in	ns	ns3.eurodns.com.
afx.forex.	3600	in	ns	ns4.eurodns.com.
ag.forex.	3600	in	ns	ns1.ooparked.com.
ag.forex.	3600	in	ns	ns2.ooparked.com.
agapp.forex.	3600	in	ns	n1.xundns.com.
agapp.forex.	3600	in	ns	n2.xundns.com.
agentai.forex.	3600	in	ns	dns1.registrar-servers.com.
agentai.forex.	3600	in	ns	dns2.registrar-servers.com.
agentic-ai.forex.	3600	in	ns	ns1hwy.name.com.
agentic-ai.forex.	3600	in	ns	ns2cvx.name.com.
agentic-ai.forex.	3600	in	ns	ns3gnv.name.com.
agentic-ai.forex.	3600	in	ns	ns4hmp.name.com.
agentic.forex.	3600	in	ns	jen.ns.cloudflare.com.
agentic.forex.	3600	in	ns	vern.ns.cloudflare.com.
