aida.med.	3600	in	rrsig	DS 8 2 3600 20251102050401 20251001034000 11923 med. enziri+YF7YkddBmdF9r3IzzkrbU9GCKjl81qVY4wv4r6eIBH0bw5drWcitfoM94Lyi0ZyNDLdV7kt5KMiqQppr/CxTlcffv1971B/8AG3RJ9r2rTHERfrgB6Q2YKMlGWD8jgmgfGDdOHlSyb2BLjbo0o7An0qfov4gSFrlrG5tOh+luo1VCmrHqxjlCGIqpkuW02y0x6jCxcyEm2PBrTWg4NjAolljDfAxuPXYfifzVsSsx+NJKSsI1yt5bkKeoBwUYGwy0wYfiYLEUMzhtcXPa8rmY4EvtGTNCjRxmhkSSdJiqQNExvIGUn+sRkdbDbIqrGRDJ+Va1uRmawnA1CA==
aidigy.med.	172800	in	ns	ns.udag.de.
aidigy.med.	172800	in	ns	ns.udag.net.
aidigy.med.	172800	in	ns	ns.udag.org.
aimo.med.	172800	in	ns	ns1.101domain.com.
aimo.med.	172800	in	ns	ns2.101domain.com.
air.med.	172800	in	ns	ns1.101domain.com.
air.med.	172800	in	ns	ns2.101domain.com.
airflow.med.	172800	in	ns	ns-105-c.gandi.net.
airflow.med.	172800	in	ns	ns-217-b.gandi.net.
airflow.med.	172800	in	ns	ns-86-a.gandi.net.
airgashealthcare.med.	172800	in	ns	ns07.gcd-dns.com.
airgashealthcare.med.	172800	in	ns	ns08.gcd-dns.com.
airmed.med.	172800	in	ns	ns07.gcd-dns.com.
airmed.med.	172800	in	ns	ns08.gcd-dns.com.
airmedcarenetwork.med.	172800	in	ns	ns07.gcd-dns.com.
airmedcarenetwork.med.	172800	in	ns	ns08.gcd-dns.com.
ajovy.med.	172800	in	ns	ns3.tevapharm.com.
ajovy.med.	172800	in	ns	ns4.tevapharm.com.
ajovy.med.	172800	in	ns	ns5.tevapharm.com.
alamedahealthsystem.med.	172800	in	ns	chase.ns.cloudflare.com.
alamedahealthsystem.med.	172800	in	ns	monroe.ns.cloudflare.com.
alexa.med.	172800	in	ns	dns1.comlaude-dns.com.
alexa.med.	172800	in	ns	dns2.comlaude-dns.net.
alexa.med.	172800	in	ns	dns3.comlaude-dns.co.uk.
alexa.med.	172800	in	ns	dns4.comlaude-dns.eu.
alexion.med.	172800	in	ns	dns1.comlaude-dns.com.
alexion.med.	172800	in	ns	dns2.comlaude-dns.net.
alexion.med.	172800	in	ns	dns3.comlaude-dns.co.uk.
alexion.med.	172800	in	ns	dns4.comlaude-dns.eu.
alfa.med.	172800	in	ns	ns1.101domain.com.
alfa.med.	172800	in	ns	ns2.101domain.com.
alkindi.med.	172800	in	ns	curitiba.ns.porkbun.com.
alkindi.med.	172800	in	ns	fortaleza.ns.porkbun.com.
alkindi.med.	172800	in	ns	maceio.ns.porkbun.com.
alkindi.med.	172800	in	ns	salvador.ns.porkbun.com.
allgemein.med.	172800	in	ns	ns.udag.de.
allgemein.med.	172800	in	ns	ns.udag.net.
allgemein.med.	172800	in	ns	ns.udag.org.
allgemeinmedizin.med.	172800	in	ns	ns.udag.de.
allgemeinmedizin.med.	172800	in	ns	ns.udag.net.
allgemeinmedizin.med.	172800	in	ns	ns.udag.org.
alpha.med.	172800	in	ns	ns1.premiumdomains.cloud.
alpha.med.	172800	in	ns	ns2.premiumdomains.cloud.
alphabet.med.	172800	in	ns	ns1.googledomains.com.
alphabet.med.	172800	in	ns	ns2.googledomains.com.
alphabet.med.	172800	in	ns	ns3.googledomains.com.
alphabet.med.	172800	in	ns	ns4.googledomains.com.
alrawabi.med.	172800	in	ns	ns01.dns.nexus.
alrawabi.med.	172800	in	ns	ns02.dns.nexus.
altamed.med.	172800	in	ns	curitiba.ns.porkbun.com.
altamed.med.	172800	in	ns	fortaleza.ns.porkbun.com.
altamed.med.	172800	in	ns	maceio.ns.porkbun.com.
altamed.med.	172800	in	ns	salvador.ns.porkbun.com.
altamedcareers.med.	172800	in	ns	curitiba.ns.porkbun.com.
altamedcareers.med.	172800	in	ns	fortaleza.ns.porkbun.com.
altamedcareers.med.	172800	in	ns	maceio.ns.porkbun.com.
altamedcareers.med.	172800	in	ns	salvador.ns.porkbun.com.
altamedfoundation.med.	172800	in	ns	curitiba.ns.porkbun.com.
altamedfoundation.med.	172800	in	ns	fortaleza.ns.porkbun.com.
altamedfoundation.med.	172800	in	ns	maceio.ns.porkbun.com.
altamedfoundation.med.	172800	in	ns	salvador.ns.porkbun.com.
altamedhealth.med.	172800	in	ns	curitiba.ns.porkbun.com.
altamedhealth.med.	172800	in	ns	fortaleza.ns.porkbun.com.
altamedhealth.med.	172800	in	ns	maceio.ns.porkbun.com.
altamedhealth.med.	172800	in	ns	salvador.ns.porkbun.com.
altamedhealthnet.med.	172800	in	ns	curitiba.ns.porkbun.com.
altamedhealthnet.med.	172800	in	ns	fortaleza.ns.porkbun.com.
altamedhealthnet.med.	172800	in	ns	maceio.ns.porkbun.com.
altamedhealthnet.med.	172800	in	ns	salvador.ns.porkbun.com.
altamedhealthnetwork.med.	172800	in	ns	curitiba.ns.porkbun.com.
altamedhealthnetwork.med.	172800	in	ns	fortaleza.ns.porkbun.com.
altamedhealthnetwork.med.	172800	in	ns	maceio.ns.porkbun.com.
altamedhealthnetwork.med.	172800	in	ns	salvador.ns.porkbun.com.
altamedhealthnetworkinc.med.	172800	in	ns	curitiba.ns.porkbun.com.
altamedhealthnetworkinc.med.	172800	in	ns	fortaleza.ns.porkbun.com.
altamedhealthnetworkinc.med.	172800	in	ns	maceio.ns.porkbun.com.
altamedhealthnetworkinc.med.	172800	in	ns	salvador.ns.porkbun.com.
altamedhealthnetworkincorporated.med.	172800	in	ns	curitiba.ns.porkbun.com.
altamedhealthnetworkincorporated.med.	172800	in	ns	fortaleza.ns.porkbun.com.
altamedhealthnetworkincorporated.med.	172800	in	ns	maceio.ns.porkbun.com.
altamedhealthnetworkincorporated.med.	172800	in	ns	salvador.ns.porkbun.com.
altamedhealthservices.med.	172800	in	ns	curitiba.ns.porkbun.com.
altamedhealthservices.med.	172800	in	ns	fortaleza.ns.porkbun.com.
altamedhealthservices.med.	172800	in	ns	maceio.ns.porkbun.com.
altamedhealthservices.med.	172800	in	ns	salvador.ns.porkbun.com.
altamedhn.med.	172800	in	ns	curitiba.ns.porkbun.com.
altamedhn.med.	172800	in	ns	fortaleza.ns.porkbun.com.
altamedhn.med.	172800	in	ns	maceio.ns.porkbun.com.
altamedhn.med.	172800	in	ns	salvador.ns.porkbun.com.
altamedpace.med.	172800	in	ns	curitiba.ns.porkbun.com.
altamedpace.med.	172800	in	ns	fortaleza.ns.porkbun.com.
altamedpace.med.	172800	in	ns	maceio.ns.porkbun.com.
altamedpace.med.	172800	in	ns	salvador.ns.porkbun.com.
altamedvivagold.med.	172800	in	ns	curitiba.ns.porkbun.com.
altamedvivagold.med.	172800	in	ns	fortaleza.ns.porkbun.com.
altamedvivagold.med.	172800	in	ns	maceio.ns.porkbun.com.
altamedvivagold.med.	172800	in	ns	salvador.ns.porkbun.com.
althof.med.	172800	in	ns	ns.udag.de.
althof.med.	172800	in	ns	ns.udag.net.
althof.med.	172800	in	ns	ns.udag.org.
altru.med.	172800	in	ns	ns1.101domain.com.
altru.med.	172800	in	ns	ns2.101domain.com.
amatsu.med.	172800	in	ns	ns.udag.de.
amatsu.med.	172800	in	ns	ns.udag.net.
amatsu.med.	172800	in	ns	ns.udag.org.
amaze.med.	172800	in	ns	ns1.101domain.com.
amaze.med.	172800	in	ns	ns2.101domain.com.
amazehealth.med.	172800	in	ns	ns1.101domain.com.
amazehealth.med.	172800	in	ns	ns2.101domain.com.
amazon.med.	172800	in	ns	dns1.comlaude-dns.com.
amazon.med.	172800	in	ns	dns2.comlaude-dns.net.
amazon.med.	172800	in	ns	dns3.comlaude-dns.co.uk.
amazon.med.	172800	in	ns	dns4.comlaude-dns.eu.
ambient.med.	172800	in	ns	standard3.encirca.net.
ambient.med.	172800	in	ns	standard4.encirca.net.
ambulanta.med.	172800	in	ns	ns1.101domain.com.
ambulanta.med.	172800	in	ns	ns2.101domain.com.
americanmedicalresponse.med.	172800	in	ns	ns07.gcd-dns.com.
americanmedicalresponse.med.	172800	in	ns	ns08.gcd-dns.com.
ami.med.	172800	in	ns	ns1.101domain.com.
ami.med.	172800	in	ns	ns2.101domain.com.
amo.med.	172800	in	ns	ns1.101domain.com.
amo.med.	172800	in	ns	ns2.101domain.com.
amorcey.med.	172800	in	ns	ns1.markmonitor.com.
amorcey.med.	172800	in	ns	ns2.markmonitor.com.
amorcey.med.	172800	in	ns	ns3.markmonitor.com.
amorcey.med.	172800	in	ns	ns4.markmonitor.com.
amorcey.med.	172800	in	ns	ns5.markmonitor.com.
amr.med.	172800	in	ns	ns07.gcd-dns.com.
amr.med.	172800	in	ns	ns08.gcd-dns.com.
amterby.med.	172800	in	ns	pdns1.cscdns.net.
amterby.med.	172800	in	ns	pdns2.cscdns.net.
amwell.med.	172800	in	ns	ns1.101domain.com.
amwell.med.	172800	in	ns	ns2.101domain.com.
anatomie-mensch.med.	172800	in	ns	ns1.variomedia.de.
anatomie-mensch.med.	172800	in	ns	ns2.variomedia.de.
android.med.	172800	in	ns	ns1.googledomains.com.
android.med.	172800	in	ns	ns2.googledomains.com.
android.med.	172800	in	ns	ns3.googledomains.com.
android.med.	172800	in	ns	ns4.googledomains.com.
angiologe.med.	172800	in	ns	ns.udag.de.
angiologe.med.	172800	in	ns	ns.udag.net.
angiologe.med.	172800	in	ns	ns.udag.org.
angusta.med.	172800	in	ns	dns1.cscdns.net.
angusta.med.	172800	in	ns	dns2.cscdns.net.
anwalt.med.	172800	in	ns	ns.udag.de.
anwalt.med.	172800	in	ns	ns.udag.net.
anwalt.med.	172800	in	ns	ns.udag.org.
apotheke.med.	172800	in	ns	ns.udag.de.
apotheke.med.	172800	in	ns	ns.udag.net.
apotheke.med.	172800	in	ns	ns.udag.org.
app.med.	172800	in	ns	ns1.nameshare.com.
app.med.	172800	in	ns	ns2.nameshare.com.
apperture.med.	172800	in	ns	extns01.wellspan.org.
apperture.med.	172800	in	ns	extns02.wellspan.org.
apple.med.	172800	in	ns	a.ns.apple.com.
apple.med.	172800	in	ns	b.ns.apple.com.
apple.med.	172800	in	ns	c.ns.apple.com.
apple.med.	172800	in	ns	d.ns.apple.com.
aqua.med.	172800	in	ns	dns2015a.trouble-free.net.
aqua.med.	172800	in	ns	dns2015b.trouble-free.net.
ar.med.	172800	in	ns	garret.ns.cloudflare.com.
ar.med.	172800	in	ns	paityn.ns.cloudflare.com.
archi.med.	172800	in	ns	ns1.atom.com.
archi.med.	172800	in	ns	ns2.atom.com.
ardonhealth.med.	172800	in	ns	ns01.dns.nexus.
ardonhealth.med.	172800	in	ns	ns02.dns.nexus.
arkansasautismconnection.med.	172800	in	ns	ns1.101domain.com.
arkansasautismconnection.med.	172800	in	ns	ns2.101domain.com.
arkautismconnection.med.	172800	in	ns	ns1.101domain.com.
arkautismconnection.med.	172800	in	ns	ns2.101domain.com.
arthritis.med.	172800	in	ns	ns01.trademarkarea.com.
arthritis.med.	172800	in	ns	ns02.trademarkarea.com.
arthritis.med.	172800	in	ns	ns03.trademarkarea.com.
arthrose.med.	172800	in	ns	ns1.dnsdienst.de.
arthrose.med.	172800	in	ns	ns2.dnsdienst.de.
arthrose.med.	172800	in	ns	ns3.dnsdienst.de.
arup.med.	172800	in	ns	ns1stv.name.com.
