078paimashqtn9qe4iun1a0b8d0c3u6v.team.	3600	in	nsec3	1 1 0 73 07DNQSDFIG7CTELUOVS5OA3LU0RIQFIL NS DS RRSIG
078paimashqtn9qe4iun1a0b8d0c3u6v.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. Qx6vDIy11qYA9Ezn/+mZe6behqu47CQrhOrPzNZjbJ6IOcNJa0sHwXoZ0XhozNQlKzOlxoZeh6Xu/MuaepT8CoyKVAJq2lAxDpodofO9iIooDlhJUUDoJi8ds0ChfLDPXsaT4xm6Sjbcnr8PvgpDYR/UJT4imByMIh++ja+M47Q=
07dnqsdfig7cteluovs5oa3lu0riqfil.team.	3600	in	nsec3	1 1 0 73 07IUOKLBHJTGJ469V7C16KFSSUV6IJJE NS DS RRSIG
07dnqsdfig7cteluovs5oa3lu0riqfil.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. LJo+KjT/J4fOf/9w3Z61pP24t129tKtSYdJu5MrjxPEy232cC1QJjjlUw3BEWEzLLzwsoiy9tBIVZCQbEfIBgWK1Va7pApK208tOOb137bySw1ef+EpnV4ofaJIDR9Q6Jax+MzfWk5d2EHCmg2b0sdZ4j5Q8p0R1Ojx/1HkC8dA=
07iuoklbhjtgj469v7c16kfssuv6ijje.team.	3600	in	nsec3	1 1 0 73 088VLULO853Q50351RR45G18JBBBDSM8 NS DS RRSIG
07iuoklbhjtgj469v7c16kfssuv6ijje.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. b1djb25xMby2ykDTZEU+zMXr26ypmH/r5vlTlXYIILPIG7qHygl1OJ1sP/RChJObt5t6zzCTzjNZCQD96yODhtYh+SWGp52ZMsO+msA4jV4KU8+NmGbElGQWwbNsFzL3PKHjb0mkmDdtTaKuyBlnwYYz+GFPEZpNrM3Tj3Na118=
0800.team.	3600	in	ds	43826 13 2 3DA73977FF1CD62BFC950C6A5AE099E97B0D43448E98828D609429FAC3C73FD8
0800.team.	3600	in	ns	ns.udag.de.
0800.team.	3600	in	ns	ns.udag.net.
0800.team.	3600	in	ns	ns.udag.org.
0800.team.	3600	in	rrsig	DS 8 2 3600 20251022161829 20251001151829 6636 team. U5e6VRDRaHrlAYY3nc5iIHtiTb8m8T/2P4LJDIpwlS71PJxOGXSF/cxS/D12TEjotq20OU0hKFz8pga00qg0ttfvzn8vL1YjgzA12NpJoMOhZbo8ZFMUZCI9T3asL6ufHRARZRViAO5uUCT/EuHfLvNHpzmA/+BiDTgbkz7z2no=
088vlulo853q50351rr45g18jbbbdsm8.team.	3600	in	nsec3	1 1 0 73 08BTIUI4OAUOOFB94CTIO4U7VP3A3SE0 NS DS RRSIG
088vlulo853q50351rr45g18jbbbdsm8.team.	3600	in	rrsig	NSEC3 8 2 3600 20251022161829 20251001151829 6636 team. go6DwTFS9lAGx0iK0mlGLcmsCae84iKLPJjG6mGaJ9BTwAJnCBAZ8XNlGJ702pcUyj08Kzpoj7rZZn8dPp9M0TI+0HLSOGByWjkR7OKxnTq38YBYNxtGEuQzFq+rPkX75m3Zy33k6PRAsODnR/d1lUey9besUcHMLY5dl44Cgnc=
089.team.	3600	in	ns	docks02.rzone.de.
089.team.	3600	in	ns	shades20.rzone.de.
08btiui4oauoofb94ctio4u7vp3a3se0.team.	3600	in	nsec3	1 1 0 73 08ECG1M8ILBGFOPAC0TL5P0DQJHU9RUQ NS DS RRSIG
